,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes
,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Live_Opp,Dead_Opp,FK_Opp,TB_Opp,Sw_Opp,Crs_Opp,TI_Opp,CK_Opp,In_Opp,Out_Opp,Str_Opp,Cmp_Opp,Off_Opp,Blocks_Opp
Arsenal,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311,17471.0,1569.0,387.0,14.0,111.0,652.0,657.0,166.0,70.0,55.0,9.0,15355.0,53.0,290.0
Aston Villa,15003,1922,590,12,127,779,780,213,106,39,15,12938,71,275,16552.0,1782.0,473.0,16.0,151.0,784.0,735.0,194.0,86.0,62.0,5.0,14251.0,47.0,321.0
Brighton,18111,1708,404,17,164,686,769,219,71,107,2,15772,52,313,17411.0,1775.0,459.0,16.0,102.0,625.0,752.0,165.0,74.0,40.0,2.0,15268.0,54.0,367.0
Burnley,13737,1745,461,10,110,772,721,172,154,5,1,10825,80,263,19780.0,1811.0,443.0,24.0,162.0,801.0,796.0,237.0,76.0,74.0,7.0,16991.0,79.0,323.0
Chelsea,24055,1665,402,29,154,749,732,226,77,113,2,21969,79,362,14807.0,1844.0,485.0,15.0,101.0,533.0,821.0,160.0,64.0,52.0,7.0,12796.0,54.0,381.0
Crystal Palace,13707,1823,473,8,47,533,772,151,67,29,27,11627,67,351,21282.0,1761.0,440.0,19.0,246.0,795.0,815.0,230.0,99.0,91.0,9.0,19019.0,46.0,374.0
Everton,17021,1610,426,28,121,662,660,167,93,53,3,14792,65,362,19747.0,1766.0,423.0,28.0,136.0,746.0,794.0,226.0,101.0,69.0,9.0,17667.0,42.0,364.0
Fulham,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346,18089.0,1849.0,485.0,26.0,116.0,693.0,829.0,192.0,68.0,87.0,5.0,15762.0,103.0,326.0
Leeds United,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364,13322.0,1916.0,478.0,20.0,57.0,613.0,807.0,211.0,104.0,92.0,6.0,11293.0,53.0,312.0
Leicester City,19423,1722,474,35,92,649,738,212,61,85,5,17014,71,376,16109.0,1817.0,458.0,26.0,148.0,647.0,831.0,181.0,107.0,54.0,3.0,13803.0,72.0,352.0
Liverpool,24396,1765,409,44,156,862,811,257,51,147,2,21929,65,357,14279.0,1613.0,431.0,41.0,125.0,531.0,613.0,122.0,70.0,30.0,3.0,11888.0,95.0,313.0
Manchester City,25546,1564,423,38,146,632,656,247,73,86,4,23819,57,320,14096.0,1491.0,391.0,14.0,97.0,426.0,532.0,111.0,56.0,36.0,8.0,12270.0,67.0,251.0
Manchester Utd,20812,1738,433,34,211,640,760,197,83,87,4,18802,76,401,16354.0,1667.0,504.0,18.0,121.0,617.0,648.0,162.0,89.0,45.0,2.0,14217.0,60.0,345.0
Newcastle Utd,12864,1787,464,12,122,652,724,161,67,51,20,10839,58,321,21775.0,1643.0,420.0,19.0,136.0,844.0,723.0,226.0,108.0,80.0,5.0,19529.0,70.0,325.0
Sheffield Utd,14542,1649,347,13,115,666,750,170,118,29,4,12146,73,308,21188.0,1864.0,502.0,24.0,163.0,718.0,841.0,243.0,81.0,101.0,18.0,18988.0,57.0,340.0
Southampton,17388,1824,496,16,87,554,809,177,82,79,8,14928,76,343,16217.0,1861.0,465.0,25.0,120.0,667.0,873.0,196.0,72.0,55.0,11.0,13758.0,89.0,390.0
Tottenham,18738,1788,524,28,147,526,750,168,117,37,0,16508,45,361,17666.0,1643.0,463.0,11.0,109.0,754.0,656.0,201.0,92.0,65.0,12.0,15362.0,76.0,344.0
West Brom,12147,1756,463,13,105,604,727,144,75,21,16,9769,75,275,21362.0,1855.0,441.0,32.0,138.0,841.0,822.0,266.0,129.0,99.0,8.0,18892.0,60.0,355.0
West Ham,15140,1687,398,15,109,775,741,167,92,60,1,12725,74,357,20785.0,1619.0,425.0,34.0,114.0,740.0,670.0,182.0,85.0,59.0,9.0,18302.0,59.0,339.0
Wolves,17437,1751,444,20,141,775,735,208,65,70,3,15548,37,336,,,,,,,,,,,,,,
