,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected
,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,xG,npxG,xAG,npxG+xAG,Gls_Opp_Opp,Ast_Opp_Opp,G-PK_Opp_Opp,PK_Opp_Opp,PKatt_Opp_Opp,CrdY_Opp_Opp,CrdR_Opp_Opp,Gls_Opp_Opp,Ast_Opp_Opp,G+A_Opp_Opp,G-PK_Opp_Opp,G+A-PK_Opp_Opp,xG_Opp_Opp,xAG_Opp_Opp,xG+xAG_Opp_Opp,npxG_Opp_Opp,npxG+xAG_Opp_Opp,xG_Opp_Opp,npxG_Opp_Opp,xAG_Opp_Opp,npxG+xAG_Opp_Opp
Arsenal,53,38,47,6,6,49,5,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,51.8,47.0,35.1,82.1,35.0,25.0,33.0,2.0,3.0,74.0,2.0,0.92,0.66,1.58,0.87,1.53,1.13,0.84,1.97,1.07,1.91,43.0,40.6,31.8,72.4
Aston Villa,52,38,47,5,6,71,4,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,52.5,47.9,37.4,85.3,45.0,30.0,40.0,5.0,6.0,73.0,7.0,1.18,0.79,1.97,1.05,1.84,1.34,0.82,2.16,1.22,2.04,51.1,46.4,31.1,77.5
Brighton,39,24,33,6,9,49,6,1.03,0.63,1.66,0.87,1.5,1.34,0.87,2.21,1.15,2.03,50.9,43.8,33.2,77.0,44.0,30.0,38.0,6.0,7.0,51.0,2.0,1.16,0.79,1.95,1.0,1.79,0.93,0.61,1.54,0.79,1.4,35.3,29.8,23.3,53.2
Burnley,32,20,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.7,39.3,36.9,27.7,64.6,54.0,47.0,51.0,3.0,3.0,32.0,2.0,1.42,1.24,2.66,1.34,2.58,1.44,1.12,2.56,1.38,2.5,54.7,52.3,42.5,94.8
Chelsea,56,38,48,8,10,51,3,1.47,1.0,2.47,1.26,2.26,1.64,1.09,2.74,1.44,2.53,62.4,54.5,41.5,96.1,35.0,26.0,32.0,3.0,4.0,56.0,3.0,0.92,0.68,1.61,0.84,1.53,0.8,0.53,1.33,0.71,1.25,30.3,27.1,20.2,47.3
Crystal Palace,39,29,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,0.9,0.62,1.52,0.82,1.44,34.1,31.0,23.6,54.6,66.0,47.0,63.0,3.0,4.0,44.0,4.0,1.74,1.24,2.97,1.66,2.89,1.53,1.12,2.66,1.45,2.57,58.2,55.1,42.7,97.8
Everton,45,32,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,1.2,0.81,2.01,1.1,1.91,45.7,41.9,30.7,72.6,47.0,33.0,44.0,3.0,4.0,66.0,1.0,1.24,0.87,2.11,1.16,2.03,1.32,0.89,2.21,1.24,2.12,50.1,46.9,33.8,80.7
Fulham,26,18,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,40.5,35.9,26.3,62.2,52.0,34.0,45.0,7.0,7.0,40.0,1.0,1.37,0.89,2.26,1.18,2.08,1.38,0.98,2.37,1.24,2.22,52.6,47.2,37.4,84.5
Leeds United,60,45,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66,1.46,1.1,2.57,1.38,2.48,55.6,52.5,41.9,94.3,52.0,36.0,44.0,8.0,9.0,49.0,2.0,1.37,0.95,2.32,1.16,2.11,1.52,1.03,2.56,1.33,2.37,57.9,50.7,39.3,90.0
Leicester City,64,45,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61,1.47,0.89,2.36,1.22,2.11,55.8,46.3,33.7,80.1,48.0,29.0,44.0,4.0,4.0,61.0,1.0,1.26,0.76,2.03,1.16,1.92,1.21,0.87,2.08,1.13,2.0,46.0,42.9,33.0,75.9
Liverpool,65,43,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.66,2.93,67.5,62.9,48.3,111.2,42.0,29.0,38.0,4.0,8.0,56.0,2.0,1.11,0.76,1.87,1.0,1.76,1.13,0.71,1.84,0.97,1.68,43.0,36.9,27.1,64.0
Manchester City,82,55,77,5,9,46,2,2.16,1.45,3.61,2.03,3.47,1.8,1.19,2.99,1.61,2.81,68.2,61.2,45.4,106.6,31.0,17.0,23.0,8.0,10.0,61.0,2.0,0.82,0.45,1.26,0.61,1.05,0.8,0.4,1.19,0.59,0.98,30.2,22.3,15.0,37.4
Manchester Utd,70,51,60,10,11,64,1,1.84,1.34,3.18,1.58,2.92,1.58,1.1,2.68,1.35,2.45,60.1,51.4,41.6,93.1,42.0,28.0,38.0,4.0,4.0,64.0,3.0,1.11,0.74,1.84,1.0,1.74,1.09,0.75,1.85,1.01,1.76,41.5,38.4,28.7,67.1
Newcastle Utd,44,26,38,6,7,65,3,1.16,0.68,1.84,1.0,1.68,1.14,0.76,1.91,1.0,1.76,43.4,37.8,29.0,66.8,59.0,41.0,55.0,4.0,5.0,60.0,3.0,1.55,1.08,2.63,1.45,2.53,1.54,1.07,2.6,1.43,2.5,58.3,54.4,40.5,94.9
Sheffield Utd,19,13,16,3,4,73,3,0.5,0.34,0.84,0.42,0.76,0.86,0.66,1.52,0.78,1.43,32.6,29.5,24.9,54.4,60.0,45.0,57.0,3.0,4.0,39.0,1.0,1.58,1.18,2.76,1.5,2.68,1.64,1.18,2.82,1.56,2.74,62.2,59.1,45.0,104.1
Southampton,47,33,42,5,6,52,3,1.24,0.87,2.11,1.11,1.97,1.09,0.68,1.77,0.96,1.64,41.2,36.6,25.8,62.5,67.0,44.0,59.0,8.0,9.0,58.0,3.0,1.76,1.16,2.92,1.55,2.71,1.4,0.91,2.31,1.21,2.12,53.1,46.1,34.6,80.6
Tottenham,66,50,61,5,5,57,2,1.74,1.32,3.05,1.61,2.92,1.4,0.93,2.33,1.29,2.22,53.1,49.2,35.3,84.4,42.0,24.0,32.0,10.0,10.0,77.0,1.0,1.11,0.63,1.74,0.84,1.47,1.29,0.84,2.13,1.09,1.92,49.1,41.2,31.8,73.1
West Brom,33,20,29,4,4,51,4,0.87,0.53,1.39,0.76,1.29,0.94,0.64,1.59,0.86,1.5,35.8,32.7,24.4,57.1,73.0,52.0,66.0,7.0,11.0,50.0,1.0,1.92,1.37,3.29,1.74,3.11,1.79,1.16,2.95,1.56,2.72,67.9,59.3,44.1,103.4
West Ham,60,46,58,2,4,50,3,1.58,1.21,2.79,1.53,2.74,1.46,1.04,2.5,1.37,2.41,55.4,52.1,39.6,91.7,43.0,34.0,40.0,3.0,5.0,52.0,1.0,1.13,0.89,2.03,1.05,1.95,1.28,0.96,2.24,1.18,2.14,48.7,44.8,36.6,81.4
Wolves,34,21,30,4,4,55,1,0.89,0.55,1.45,0.79,1.34,0.96,0.63,1.6,0.88,1.51,36.5,33.4,24.1,57.6,,,,,,,,,,,,,,,,,,,,,
