,SCA,SCA,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA,GCA,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,SCA_Opp,SCA_Opp,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA_Opp,GCA_Opp,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types
,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,SCA_Opp,SCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp,GCA_Opp,GCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp
Arsenal,813,21.39,623,44,49,45,46,6,95,2.5,69,2,8,6,8,2,709.0,18.66,515.0,60.0,48.0,39.0,32.0,15.0,59.0,1.55,37.0,5.0,4.0,8.0,4.0,1.0
Aston Villa,940,24.74,669,91,63,47,58,12,94,2.47,66,8,4,6,9,1,938.0,24.68,710.0,58.0,51.0,59.0,55.0,5.0,78.0,2.05,53.0,5.0,5.0,8.0,6.0,1.0
Brighton,845,22.24,628,75,34,53,42,13,63,1.66,47,6,1,4,5,0,625.0,16.45,474.0,51.0,36.0,25.0,31.0,8.0,76.0,2.0,53.0,8.0,2.0,5.0,7.0,1.0
Burnley,666,17.53,472,70,28,36,51,9,52,1.37,32,6,4,3,5,2,1026.0,27.0,802.0,74.0,59.0,54.0,29.0,8.0,101.0,2.66,85.0,2.0,7.0,4.0,3.0,0.0
Chelsea,1018,26.79,790,81,42,55,43,7,95,2.5,69,6,4,6,10,0,587.0,15.45,436.0,41.0,32.0,32.0,37.0,9.0,56.0,1.47,40.0,2.0,5.0,3.0,4.0,2.0
Crystal Palace,617,16.24,434,54,50,23,46,10,70,1.84,49,5,6,3,5,2,954.0,25.11,672.0,96.0,45.0,66.0,65.0,10.0,111.0,2.92,86.0,4.0,4.0,10.0,6.0,1.0
Everton,710,18.68,514,67,34,43,46,6,80,2.11,54,9,2,10,5,0,889.0,23.39,659.0,73.0,46.0,47.0,50.0,14.0,85.0,2.24,61.0,6.0,6.0,3.0,5.0,4.0
Fulham,784,20.63,579,65,52,35,47,6,47,1.24,33,2,4,3,4,1,750.0,19.74,523.0,69.0,43.0,43.0,65.0,7.0,91.0,2.39,65.0,6.0,6.0,4.0,9.0,1.0
Leeds United,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,950.0,25.0,629.0,100.0,69.0,62.0,66.0,24.0,86.0,2.26,47.0,9.0,7.0,13.0,10.0,0.0
Leicester City,861,22.66,633,49,56,46,54,23,114,3.0,85,3,8,4,10,4,657.0,17.29,438.0,77.0,41.0,43.0,52.0,6.0,82.0,2.16,51.0,8.0,8.0,9.0,5.0,1.0
Liverpool,1066,28.05,818,70,57,61,46,14,110,2.89,77,6,4,14,6,3,579.0,15.24,421.0,49.0,32.0,32.0,36.0,9.0,74.0,1.95,54.0,4.0,3.0,5.0,7.0,1.0
Manchester City,1066,28.05,801,61,90,57,43,14,141,3.71,100,3,17,13,6,2,489.0,12.87,350.0,28.0,36.0,32.0,35.0,8.0,54.0,1.42,30.0,3.0,3.0,8.0,10.0,0.0
Manchester Utd,953,25.08,720,73,46,58,46,10,127,3.34,94,5,8,9,9,2,743.0,19.55,565.0,50.0,36.0,46.0,39.0,7.0,67.0,1.76,43.0,10.0,2.0,5.0,7.0,0.0
Newcastle Utd,687,18.08,453,85,51,36,56,6,75,1.97,46,7,6,7,7,2,1030.0,27.11,776.0,87.0,50.0,49.0,53.0,15.0,108.0,2.84,84.0,4.0,7.0,4.0,6.0,3.0
Sheffield Utd,566,14.89,435,48,27,28,23,5,27,0.71,16,3,2,3,3,0,979.0,25.76,701.0,88.0,60.0,63.0,48.0,19.0,105.0,2.76,66.0,9.0,10.0,13.0,5.0,2.0
Southampton,728,19.16,513,63,42,47,51,12,83,2.18,49,8,6,7,11,2,766.0,20.16,532.0,81.0,52.0,42.0,49.0,10.0,117.0,3.08,80.0,3.0,12.0,12.0,7.0,3.0
Tottenham,785,20.66,553,55,56,49,56,16,120,3.16,86,6,13,8,6,1,889.0,23.39,669.0,76.0,52.0,34.0,48.0,10.0,76.0,2.0,49.0,6.0,4.0,4.0,12.0,1.0
West Brom,567,14.92,407,60,26,27,39,8,53,1.39,40,3,1,3,5,1,1073.0,28.24,805.0,80.0,65.0,65.0,48.0,10.0,132.0,3.47,100.0,6.0,7.0,11.0,6.0,2.0
West Ham,818,21.53,573,92,37,56,51,9,106,2.79,73,12,1,13,7,0,826.0,21.74,653.0,47.0,50.0,35.0,35.0,6.0,77.0,2.03,62.0,3.0,5.0,3.0,3.0,1.0
Wolves,820,21.58,573,74,67,47,46,13,63,1.66,39,4,7,7,5,1,,,,,,,,,,,,,,,,
