,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing
,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att_Opp,Cmp%_Opp,TotDist_Opp,PrgDist_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Ast_Opp,xAG_Opp,xA_Opp,A-xAG_Opp,KP_Opp,1/3_Opp,PPA_Opp,CrsPA_Opp,Prog_Opp
Arsenal,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,38,35.1,35.3,2.9,332,1377,325,67,1162,19093.0,80.4,264758.0,88749.0,7194.0,8000.0,89.9,6173.0,7125.0,86.6,1478.0,2802.0,52.7,25.0,31.8,26.6,-6.8,304.0,1095.0,262.0,64.0,813.0
Aston Villa,16996,76.1,235927,93013,5729,6654,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,0.6,403,1086,323,76,1034,18381.0,77.5,241489.0,88873.0,6833.0,7727.0,88.4,5491.0,6601.0,83.2,1347.0,2806.0,48.0,30.0,31.1,30.1,-1.1,375.0,1068.0,362.0,84.0,1088.0
Brighton,19871,79.4,283213,95248,6694,7654,87.5,6893,7960,86.6,1689,3090,54.7,24,33.2,34.9,-9.2,358,1132,358,80,1072,19240.0,79.4,256988.0,89029.0,7274.0,8189.0,88.8,6040.0,7081.0,85.3,1385.0,2707.0,51.2,30.0,23.3,25.0,6.7,264.0,1097.0,264.0,66.0,890.0
Burnley,15562,69.6,196816,82195,5117,6058,84.5,3688,4824,76.5,1553,3535,43.9,20,27.7,26.9,-7.7,267,923,292,80,805,21670.0,78.4,285022.0,96845.0,8139.0,9265.0,87.8,6585.0,7792.0,84.5,1580.0,3182.0,49.7,47.0,42.5,37.7,4.5,454.0,1151.0,402.0,83.0,1170.0
Chelsea,25799,85.2,360452,112419,10454,11454,91.3,8965,9976,89.9,1667,2703,61.7,38,41.5,37.1,-3.5,448,1441,377,70,1278,16705.0,76.6,221216.0,80492.0,5959.0,6859.0,86.9,5039.0,6036.0,83.5,1311.0,2614.0,50.2,26.0,20.2,19.6,5.8,241.0,860.0,188.0,32.0,760.0
Crystal Palace,15597,74.5,193707,81286,5889,6882,85.6,4127,5088,81.1,1131,2449,46.2,29,23.6,23.4,5.4,264,838,232,54,843,23089.0,82.4,325966.0,104947.0,8788.0,9789.0,89.8,7498.0,8536.0,87.8,1917.0,3121.0,61.4,47.0,42.7,37.4,4.3,401.0,1457.0,389.0,113.0,1294.0
Everton,18696,79.1,263228,93925,6563,7438,88.2,6125,7073,86.6,1580,2924,54.0,32,30.7,28.7,1.3,300,944,257,60,868,21555.0,82.0,296851.0,101279.0,8437.0,9335.0,90.4,7182.0,8211.0,87.5,1488.0,2758.0,54.0,33.0,33.8,29.0,-0.8,367.0,1264.0,313.0,59.0,1233.0
Fulham,19512,78.9,270640,94394,6853,7837,87.4,6528,7611,85.8,1529,2866,53.3,18,26.3,25.3,-8.3,334,1019,290,94,963,20041.0,78.6,280391.0,92136.0,6859.0,7867.0,87.2,6751.0,7825.0,86.3,1645.0,3103.0,53.0,34.0,37.4,33.9,-3.4,302.0,1150.0,268.0,82.0,911.0
Leeds United,20629,78.9,286488,99271,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,3.1,394,1110,349,68,1183,15291.0,73.9,188301.0,85038.0,5672.0,6628.0,85.6,3968.0,4993.0,79.5,1131.0,2498.0,45.3,36.0,39.3,30.7,-3.3,422.0,864.0,277.0,36.0,928.0
Leicester City,21216,80.2,285395,94092,7893,8978,87.9,7010,8113,86.4,1461,2737,53.4,45,33.7,30.1,11.3,360,1209,283,57,1061,17998.0,76.7,243608.0,83750.0,6134.0,7146.0,85.8,5785.0,6853.0,84.4,1440.0,2807.0,51.3,29.0,33.0,30.7,-4.0,277.0,984.0,267.0,64.0,922.0
Liverpool,26226,83.6,360990,115405,10789,11862,91.0,8747,9940,88.0,1715,2969,57.8,43,48.3,45.6,-5.3,455,1608,524,82,1566,15987.0,74.4,211718.0,83741.0,5448.0,6343.0,85.9,4442.0,5433.0,81.8,1470.0,2956.0,49.7,29.0,27.1,19.3,1.9,240.0,789.0,198.0,55.0,703.0
Manchester City,27167,87.7,390212,110950,11548,12409,93.1,9673,10628,91.0,1771,2616,67.7,55,45.4,43.3,9.6,433,1772,412,41,1401,15654.0,78.4,210049.0,76179.0,5835.0,6612.0,88.2,4783.0,5559.0,86.0,1198.0,2471.0,48.5,17.0,15.0,14.9,2.0,200.0,707.0,180.0,43.0,634.0
Manchester Utd,22626,83.1,310456,100812,9250,10261,90.1,7258,8255,87.9,1597,2585,61.8,51,41.6,38.2,9.4,414,1419,377,54,1311,18081.0,78.6,248094.0,86185.0,6334.0,7157.0,88.5,6059.0,6998.0,86.6,1350.0,2750.0,49.1,28.0,28.7,23.7,-0.7,314.0,983.0,241.0,58.0,860.0
Newcastle Utd,14709,73.7,197161,77098,4828,5635,85.7,4197,5131,81.8,1387,2879,48.2,26,29.0,21.1,-3.0,289,739,207,83,663,23488.0,83.1,331914.0,107230.0,9151.0,10102.0,90.6,7970.0,9045.0,88.1,1779.0,3027.0,58.8,41.0,40.5,38.1,0.5,435.0,1562.0,377.0,82.0,1226.0
Sheffield Utd,16264,74.7,207510,78610,6006,6905,87.0,4331,5303,81.7,1277,2840,45.0,13,24.9,22.0,-11.9,253,946,253,65,821,23109.0,82.2,332025.0,108643.0,8549.0,9548.0,89.5,7891.0,8978.0,87.9,1931.0,3231.0,59.8,45.0,45.0,38.5,0.0,415.0,1211.0,322.0,62.0,1131.0
Southampton,19288,77.4,239028,85451,7587,8659,87.6,5629,6690,84.1,1099,2547,43.1,33,25.8,22.2,7.2,294,894,261,36,919,18167.0,75.7,242975.0,90632.0,6165.0,7308.0,84.4,5661.0,6801.0,83.2,1460.0,2755.0,53.0,44.0,34.6,30.0,9.4,316.0,1025.0,297.0,63.0,1024.0
Tottenham,20571,80.2,274914,94110,7801,8828,88.4,6561,7603,86.3,1393,2672,52.1,50,35.3,25.3,14.7,316,1035,257,54,993,19385.0,79.2,259562.0,90526.0,7308.0,8243.0,88.7,6007.0,7044.0,85.3,1461.0,2785.0,52.5,24.0,31.8,31.9,-7.8,376.0,1138.0,345.0,77.0,1117.0
West Brom,13978,69.9,177501,75746,4418,5278,83.7,3696,4783,77.3,1273,2924,43.5,20,24.4,21.3,-4.4,241,822,196,60,721,23277.0,81.2,316702.0,107899.0,9018.0,10152.0,88.8,7663.0,8828.0,86.8,1599.0,2948.0,54.2,52.0,44.1,42.0,7.9,452.0,1470.0,395.0,84.0,1316.0
West Ham,16901,75.3,225666,88791,5888,6864,85.8,4948,6052,81.8,1470,2860,51.4,46,39.6,31.9,6.4,340,1037,238,95,850,22463.0,81.5,304474.0,101522.0,8776.0,9741.0,90.1,7354.0,8481.0,86.7,1485.0,2815.0,52.8,34.0,36.6,32.8,-2.6,359.0,1427.0,353.0,83.0,1247.0
