,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Gls_Opp,Sh_Opp,SoT_Opp,SoT%_Opp,Sh/90_Opp,SoT/90_Opp,G/Sh_Opp,G/SoT_Opp,Dist_Opp,FK_Opp,PK_Opp,PKatt_Opp,xG_Opp,npxG_Opp,npxG/Sh_Opp,G-xG_Opp,np:G-xG_Opp
Arsenal,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,23,6,6,51.8,47.0,0.11,1.2,0.0,35.0,412.0,126.0,30.6,10.84,3.32,0.08,0.26,17.8,12.0,2.0,3.0,43.0,40.6,0.1,-8.0,-7.6
Aston Villa,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9,45.0,532.0,180.0,33.8,14.0,4.74,0.08,0.22,18.1,27.0,5.0,6.0,51.1,46.4,0.09,-6.1,-6.4
Brighton,39,478,134,28.0,12.58,3.53,0.07,0.25,17.4,15,6,9,50.9,43.8,0.09,-11.9,-10.8,44.0,351.0,119.0,33.9,9.24,3.13,0.11,0.32,18.6,10.0,6.0,7.0,35.3,29.8,0.09,8.7,8.2
Burnley,32,381,124,32.5,10.03,3.26,0.08,0.23,17.4,15,3,3,39.3,36.9,0.1,-7.3,-7.9,54.0,567.0,176.0,31.0,14.92,4.63,0.09,0.29,17.4,13.0,3.0,3.0,54.7,52.3,0.09,-0.7,-1.3
Chelsea,56,546,193,35.3,14.37,5.08,0.09,0.25,17.1,16,8,10,62.4,54.5,0.1,-6.4,-6.5,35.0,332.0,103.0,31.0,8.74,2.71,0.1,0.31,19.3,15.0,3.0,4.0,30.3,27.1,0.08,4.7,4.9
Crystal Palace,39,345,127,36.8,9.08,3.34,0.1,0.28,17.6,18,3,4,34.1,31.0,0.09,4.9,5.0,66.0,535.0,170.0,31.8,14.08,4.47,0.12,0.37,16.7,29.0,3.0,4.0,58.2,55.1,0.11,7.8,7.9
Everton,45,395,143,36.2,10.39,3.76,0.1,0.29,17.2,15,4,5,45.7,41.9,0.11,-0.7,-0.9,47.0,501.0,158.0,31.5,13.18,4.16,0.09,0.28,18.0,23.0,3.0,4.0,50.1,46.9,0.1,-3.1,-2.9
Fulham,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9,52.0,421.0,163.0,38.7,11.08,4.29,0.11,0.28,17.0,27.0,7.0,7.0,52.6,47.2,0.12,-0.6,-2.2
Leeds United,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5,52.0,549.0,189.0,34.4,14.45,4.97,0.08,0.23,18.0,20.0,8.0,9.0,57.9,50.7,0.09,-5.9,-6.7
Leicester City,64,473,170,35.9,12.45,4.47,0.11,0.32,18.6,20,10,12,55.8,46.3,0.1,8.2,7.7,48.0,366.0,132.0,36.1,9.63,3.47,0.12,0.33,16.1,17.0,4.0,4.0,46.0,42.9,0.12,2.0,1.1
Liverpool,65,602,204,33.9,15.84,5.37,0.1,0.29,17.1,22,6,6,67.5,62.9,0.11,-2.5,-3.9,42.0,324.0,135.0,41.7,8.53,3.55,0.12,0.28,17.4,12.0,4.0,8.0,43.0,36.9,0.12,-1.0,1.1
Manchester City,82,590,211,35.8,15.53,5.55,0.13,0.36,17.2,21,5,9,68.2,61.2,0.11,13.8,15.8,31.0,273.0,90.0,33.0,7.18,2.37,0.08,0.26,18.6,15.0,8.0,10.0,30.2,22.3,0.08,0.8,0.7
Manchester Utd,70,515,196,38.1,13.55,5.16,0.12,0.31,18.1,21,10,11,60.1,51.4,0.1,9.9,8.6,42.0,424.0,137.0,32.3,11.16,3.61,0.09,0.28,17.8,14.0,4.0,4.0,41.5,38.4,0.09,0.5,-0.4
Newcastle Utd,44,390,130,33.3,10.26,3.42,0.1,0.29,18.3,25,6,7,43.4,37.8,0.1,0.6,0.2,59.0,567.0,183.0,32.3,14.92,4.82,0.1,0.3,17.7,17.0,4.0,5.0,58.3,54.4,0.1,0.7,0.6
Sheffield Utd,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5,60.0,539.0,203.0,37.7,14.18,5.34,0.11,0.28,17.5,24.0,3.0,4.0,62.2,59.1,0.11,-2.2,-2.1
Southampton,47,418,157,37.6,11.0,4.13,0.1,0.27,18.6,20,5,6,41.2,36.6,0.09,5.8,5.4,67.0,419.0,169.0,40.3,11.03,4.45,0.14,0.35,16.7,15.0,8.0,9.0,53.1,46.1,0.11,13.9,12.9
