,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels
,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,CrdY_Opp,CrdR_Opp,2CrdY_Opp,Fls_Opp,Fld_Opp,Off_Opp,Crs_Opp,Int_Opp,TklW_Opp,PKwon_Opp,PKcon_Opp,OG_Opp,Recov_Opp,Won_Opp,Lost_Opp,Won%_Opp
Arsenal,49,5,1,346,400,61,751,351,252,5,3,4,1838,504,594,45.9,74.0,2.0,1.0,421.0,335.0,53.0,652.0,369.0,285.0,3.0,6.0,2.0,1822.0,594.0,504.0,54.1
Aston Villa,71,4,4,439,553,71,779,387,282,6,6,1,1906,728,665,52.3,73.0,7.0,2.0,568.0,419.0,47.0,784.0,355.0,322.0,5.0,6.0,3.0,1962.0,665.0,728.0,47.7
Brighton,49,6,2,428,357,52,686,425,334,7,7,2,2040,531,574,48.1,51.0,2.0,0.0,376.0,406.0,54.0,625.0,456.0,316.0,6.0,9.0,1.0,1886.0,574.0,531.0,51.9
Burnley,48,0,0,384,389,80,772,416,293,3,3,1,2000,874,854,50.6,32.0,2.0,0.0,403.0,364.0,79.0,801.0,308.0,261.0,3.0,3.0,1.0,2051.0,854.0,874.0,49.4
Chelsea,51,3,1,433,364,79,749,382,341,10,4,1,1999,569,515,52.5,56.0,3.0,1.0,377.0,415.0,54.0,533.0,430.0,313.0,4.0,10.0,2.0,1845.0,515.0,569.0,47.5
Crystal Palace,56,2,1,409,436,67,533,396,366,2,4,0,1923,685,658,51.0,44.0,4.0,1.0,455.0,387.0,46.0,795.0,378.0,400.0,3.0,4.0,2.0,1995.0,658.0,685.0,49.0
Everton,59,2,0,386,392,65,662,392,381,4,4,1,2030,665,486,57.8,66.0,1.0,0.0,409.0,372.0,42.0,746.0,357.0,314.0,4.0,5.0,2.0,1997.0,486.0,665.0,42.2
Fulham,67,3,0,484,372,43,710,437,329,5,7,1,2010,649,625,50.9,40.0,1.0,0.0,387.0,462.0,103.0,693.0,404.0,373.0,6.0,6.0,1.0,1986.0,625.0,649.0,49.1
Leeds United,61,1,0,432,410,76,786,397,417,3,9,2,2160,538,605,47.1,49.0,2.0,1.0,432.0,422.0,53.0,613.0,426.0,318.0,8.0,4.0,2.0,2165.0,605.0,538.0,52.9
Leicester City,61,0,0,413,421,71,649,438,403,11,4,2,2111,600,590,50.4,61.0,1.0,0.0,439.0,399.0,72.0,647.0,449.0,350.0,2.0,12.0,4.0,2047.0,590.0,600.0,49.6
Liverpool,40,0,0,396,316,65,862,347,303,4,8,0,2202,537,572,48.4,56.0,2.0,0.0,343.0,380.0,95.0,531.0,456.0,343.0,7.0,6.0,3.0,2091.0,572.0,537.0,51.6
Manchester City,46,2,0,361,372,57,632,319,271,7,10,1,1946,479,417,53.5,61.0,2.0,1.0,390.0,345.0,67.0,426.0,405.0,358.0,10.0,9.0,1.0,1743.0,417.0,479.0,46.5
Manchester Utd,64,1,0,452,400,76,640,386,311,9,4,2,2124,546,413,56.9,64.0,3.0,1.0,412.0,437.0,60.0,617.0,478.0,369.0,3.0,11.0,3.0,2048.0,413.0,546.0,43.1
Newcastle Utd,65,3,2,388,420,58,652,362,268,6,5,3,1770,634,655,49.2,60.0,3.0,1.0,432.0,369.0,70.0,844.0,372.0,276.0,3.0,7.0,2.0,1973.0,655.0,634.0,50.8
Sheffield Utd,73,3,0,459,293,73,666,351,356,3,4,3,1802,718,798,47.4,39.0,1.0,1.0,304.0,445.0,57.0,718.0,296.0,301.0,3.0,4.0,1.0,1942.0,798.0,718.0,52.6
Southampton,52,3,0,428,421,76,554,401,419,4,9,1,2010,527,713,42.5,58.0,3.0,2.0,438.0,405.0,89.0,667.0,428.0,355.0,7.0,6.0,0.0,2055.0,713.0,527.0,57.5
Tottenham,57,2,2,440,468,45,526,342,361,5,10,3,1951,618,647,48.9,77.0,1.0,0.0,495.0,428.0,76.0,754.0,429.0,381.0,8.0,5.0,2.0,2165.0,647.0,618.0,51.1
West Brom,51,4,0,404,412,75,604,435,328,4,11,3,1963,709,771,47.9,50.0,1.0,1.0,431.0,382.0,60.0,841.0,328.0,328.0,7.0,4.0,2.0,2044.0,771.0,709.0,52.1
West Ham,50,3,1,375,354,74,775,437,280,3,5,4,2005,738,677,52.2,52.0,1.0,1.0,366.0,352.0,59.0,740.0,364.0,328.0,5.0,4.0,2.0,2001.0,677.0,738.0,47.8
Wolves,55,1,1,426,383,37,775,432,335,3,8,3,1899,576,596,49.1,,,,,,,,,,,,,,,,
