,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks,Blocks,Blocks,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks_Opp,Blocks_Opp,Blocks_Opp,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending
,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Tkl_Opp,TklW_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Tkl_Opp,Att_Opp,Tkl%_Opp,Past_Opp,Blocks_Opp,Sh_Opp,Pass_Opp,Int_Opp,Tkl+Int_Opp,Clr_Opp,Err_Opp
Arsenal,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,499.0,285.0,246.0,192.0,61.0,239.0,535.0,44.7,296.0,391.0,129.0,262.0,369.0,868.0,752.0,16.0
Aston Villa,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,563.0,322.0,309.0,189.0,65.0,226.0,595.0,38.0,369.0,377.0,145.0,232.0,355.0,918.0,804.0,18.0
Brighton,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,528.0,316.0,269.0,207.0,52.0,222.0,572.0,38.8,350.0,417.0,154.0,263.0,456.0,984.0,717.0,15.0
Burnley,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,447.0,261.0,212.0,193.0,42.0,163.0,397.0,41.1,234.0,300.0,87.0,213.0,308.0,755.0,811.0,12.0
Chelsea,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,584.0,313.0,278.0,221.0,85.0,298.0,657.0,45.4,359.0,464.0,153.0,311.0,430.0,1014.0,761.0,16.0
Crystal Palace,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,682.0,400.0,281.0,305.0,96.0,280.0,645.0,43.4,365.0,397.0,97.0,300.0,378.0,1060.0,597.0,11.0
Everton,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,573.0,314.0,238.0,242.0,93.0,229.0,591.0,38.7,362.0,398.0,99.0,299.0,357.0,930.0,655.0,9.0
Fulham,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,682.0,373.0,323.0,271.0,88.0,289.0,795.0,36.4,506.0,426.0,121.0,305.0,404.0,1086.0,729.0,16.0
Leeds United,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,564.0,318.0,242.0,235.0,87.0,245.0,563.0,43.5,318.0,448.0,126.0,322.0,426.0,990.0,812.0,14.0
Leicester City,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,609.0,350.0,287.0,250.0,72.0,287.0,645.0,44.5,358.0,450.0,140.0,310.0,449.0,1058.0,679.0,15.0
Liverpool,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20,675.0,343.0,377.0,238.0,60.0,288.0,695.0,41.4,407.0,469.0,172.0,297.0,456.0,1131.0,1057.0,27.0
Manchester City,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11,647.0,358.0,380.0,219.0,48.0,287.0,772.0,37.2,485.0,451.0,168.0,283.0,405.0,1052.0,713.0,28.0
Manchester Utd,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20,656.0,369.0,360.0,215.0,81.0,296.0,711.0,41.6,415.0,511.0,149.0,362.0,478.0,1134.0,724.0,11.0
Newcastle Utd,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10,534.0,276.0,232.0,223.0,79.0,237.0,587.0,40.4,350.0,387.0,115.0,272.0,372.0,906.0,632.0,9.0
Sheffield Utd,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19,529.0,301.0,288.0,177.0,64.0,206.0,475.0,43.4,269.0,353.0,91.0,262.0,296.0,825.0,690.0,9.0
Southampton,727,419,335,325,67,341,731,46.6,390,439,95,344,401,1128,681,10,644.0,355.0,236.0,315.0,93.0,258.0,601.0,42.9,343.0,399.0,98.0,301.0,428.0,1072.0,680.0,14.0
Tottenham,636,361,313,244,79,277,683,40.6,406,434,147,287,342,978,795,15,646.0,381.0,310.0,260.0,76.0,312.0,715.0,43.6,403.0,433.0,107.0,326.0,429.0,1075.0,615.0,15.0
West Brom,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13,554.0,328.0,256.0,235.0,63.0,241.0,505.0,47.7,264.0,296.0,75.0,221.0,328.0,882.0,672.0,13.0
West Ham,514,280,269,195,50,224,573,39.1,349,405,124,281,437,951,779,11,562.0,328.0,279.0,218.0,65.0,244.0,542.0,45.0,298.0,405.0,116.0,289.0,364.0,926.0,710.0,9.0
Wolves,588,335,322,220,46,277,611,45.3,334,359,117,242,432,1020,727,15,,,,,,,,,,,,,,,,
