,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA_Opp,PKA_Opp,FK_Opp,CK_Opp,OG_Opp,PSxG_Opp,PSxG/SoT_Opp,PSxG+/-_Opp,/90_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Att_Opp,Thr_Opp,Launch%_Opp,AvgLen_Opp,Att_Opp,Launch%_Opp,AvgLen_Opp,Opp_Opp,Stp_Opp,Stp%_Opp,#OPA_Opp,#OPA/90_Opp,AvgDist_Opp
Arsenal,39,2,0,3,4,36.0,0.26,1.0,0.03,81,303,26.7,1022,206,16.7,25.2,237,55.7,42.4,518,24,4.6,37,0.97,15.9,55.0,6.0,2.0,3.0,2.0,47.6,0.29,-5.4,-0.14,239.0,617.0,38.7,1077.0,140.0,42.2,35.7,265.0,61.5,44.3,564.0,21.0,3.7,38.0,1.0,14.7
Aston Villa,46,5,2,4,1,49.2,0.24,4.2,0.11,247,639,38.7,1058,177,45.1,37.1,253,64.0,47.0,613,42,6.9,34,0.89,14.2,55.0,5.0,0.0,6.0,3.0,52.0,0.26,0.0,0.0,194.0,549.0,35.3,866.0,134.0,42.5,36.0,287.0,63.1,45.6,624.0,26.0,4.2,29.0,0.76,14.2
Brighton,46,6,0,8,2,35.9,0.24,-8.1,-0.21,193,522,37.0,1280,179,32.1,32.3,233,47.6,39.1,476,28,5.9,33,0.87,13.7,40.0,6.0,0.0,5.0,1.0,40.8,0.26,1.8,0.05,184.0,535.0,34.4,898.0,197.0,38.2,34.1,321.0,59.8,43.8,535.0,26.0,4.9,35.0,0.92,13.3
Burnley,55,3,0,8,1,49.1,0.26,-4.9,-0.13,317,841,37.7,846,143,69.1,47.0,298,85.9,59.7,600,34,5.7,78,2.05,18.0,33.0,3.0,0.0,6.0,1.0,32.2,0.23,0.2,0.01,165.0,619.0,26.7,1091.0,225.0,39.9,34.5,262.0,70.2,48.5,621.0,51.0,8.2,45.0,1.18,12.1
Chelsea,36,3,1,5,1,31.4,0.26,-3.6,-0.1,93,253,36.8,1066,169,17.7,25.7,231,27.7,26.6,412,20,4.9,31,0.82,14.7,58.0,8.0,0.0,9.0,2.0,58.9,0.25,2.9,0.08,201.0,577.0,34.8,948.0,174.0,42.7,35.9,281.0,61.2,44.8,579.0,22.0,3.8,11.0,0.29,10.1
Crystal Palace,66,3,1,9,0,51.2,0.28,-14.8,-0.39,226,669,33.8,775,158,51.0,38.7,323,84.8,56.3,622,20,3.2,26,0.68,13.6,41.0,3.0,1.0,2.0,2.0,32.5,0.22,-6.5,-0.17,125.0,320.0,39.1,806.0,177.0,29.5,30.7,195.0,42.1,35.5,384.0,26.0,6.8,33.0,0.87,14.7
Everton,48,3,1,5,1,47.8,0.28,0.8,0.02,268,692,38.7,1111,177,46.8,37.5,252,68.3,50.7,560,25,4.5,35,0.92,13.1,47.0,4.0,0.0,10.0,2.0,44.1,0.27,-0.9,-0.02,133.0,406.0,32.8,882.0,186.0,32.7,31.9,238.0,49.6,40.4,494.0,29.0,5.9,35.0,0.92,14.0
Fulham,53,7,0,3,1,54.5,0.29,2.5,0.07,150,402,37.3,800,179,32.5,30.0,258,55.0,39.5,518,27,5.2,33,0.87,13.0,27.0,3.0,0.0,3.0,1.0,31.1,0.21,5.1,0.14,178.0,500.0,35.6,911.0,167.0,38.7,35.4,277.0,53.1,42.9,562.0,32.0,5.7,42.0,1.11,15.0
Leeds United,54,8,1,11,2,49.9,0.21,-2.1,-0.06,105,319,32.9,1166,306,19.1,27.1,298,32.2,28.9,477,28,5.9,20,0.53,11.8,62.0,4.0,2.0,8.0,2.0,60.3,0.29,0.3,0.01,229.0,635.0,36.1,912.0,184.0,42.5,35.4,318.0,77.7,51.5,634.0,33.0,5.2,35.0,0.92,13.4
Leicester City,50,4,0,9,2,42.2,0.29,-5.8,-0.15,159,425,37.4,1038,181,32.1,33.2,210,43.8,37.9,484,20,4.1,19,0.5,13.6,68.0,10.0,1.0,5.0,4.0,56.9,0.25,-7.1,-0.19,175.0,497.0,35.2,915.0,181.0,39.0,34.7,241.0,58.1,43.5,494.0,17.0,3.4,39.0,1.03,15.3
Liverpool,42,4,1,6,0,43.9,0.29,1.9,0.05,87,237,36.7,1107,196,16.4,26.2,209,26.8,29.5,403,21,5.2,95,2.5,18.4,68.0,6.0,0.0,10.0,3.0,60.9,0.27,-4.1,-0.11,264.0,717.0,36.8,968.0,184.0,49.0,38.4,338.0,71.9,48.7,644.0,20.0,3.1,36.0,0.95,13.4
Manchester City,32,8,0,3,1,32.0,0.23,1.0,0.03,108,271,39.9,1003,171,20.1,28.2,163,42.3,37.9,333,19,5.7,44,1.16,16.6,83.0,5.0,1.0,9.0,1.0,71.1,0.31,-10.9,-0.29,218.0,636.0,34.3,1064.0,151.0,41.8,35.0,336.0,56.8,40.6,487.0,21.0,4.3,31.0,0.82,13.6
Manchester Utd,44,4,1,9,2,39.3,0.25,-2.7,-0.07,86,266,32.3,647,154,28.1,30.1,266,31.6,29.4,479,11,2.3,47,1.24,17.0,73.0,10.0,0.0,5.0,3.0,59.9,0.24,-10.1,-0.26,162.0,541.0,29.9,997.0,171.0,40.3,35.1,243.0,57.2,43.0,503.0,22.0,4.4,29.0,0.76,15.0
Newcastle Utd,62,4,1,4,3,53.8,0.26,-5.2,-0.14,245,671,36.5,820,159,52.8,40.1,338,70.4,50.0,645,27,4.2,21,0.55,10.5,46.0,6.0,1.0,7.0,2.0,44.1,0.28,0.1,0.0,156.0,424.0,36.8,945.0,170.0,33.5,32.0,186.0,57.5,42.1,508.0,19.0,3.7,46.0,1.21,16.0
