Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,13,2,4,43,17,26,41,2.16,37.2,14.9,22.3,1.18
2,Manchester Utd,19,9,4,6,38,28,10,31,1.63,31.2,22.3,8.9,0.47
3,Liverpool,19,10,3,6,29,20,9,33,1.74,31.6,21.1,10.4,0.55
4,Chelsea,19,9,6,4,31,18,13,33,1.74,34.1,15.2,18.9,1.0
5,Leicester City,19,9,1,9,34,30,4,28,1.47,28.2,25.6,2.7,0.14
6,West Ham,19,10,4,5,32,22,10,34,1.79,24.7,24.9,-0.2,-0.01
7,Tottenham,19,10,3,6,35,20,15,33,1.74,29.6,21.8,7.8,0.41
8,Arsenal,19,8,4,7,24,21,3,28,1.47,23.0,23.2,-0.2,-0.01
9,Leeds United,19,8,5,6,28,21,7,29,1.53,30.6,22.9,7.7,0.41
10,Everton,19,6,4,9,24,28,-4,22,1.16,23.3,25.1,-1.8,-0.1
11,Aston Villa,19,7,4,8,29,27,2,25,1.32,27.9,25.9,2.0,0.11
12,Newcastle Utd,19,6,5,8,26,33,-7,23,1.21,26.5,24.7,1.8,0.1
13,Wolves,19,7,4,8,21,25,-4,25,1.32,19.9,20.6,-0.7,-0.04
14,Crystal Palace,19,6,5,8,20,32,-12,23,1.21,15.8,28.1,-12.3,-0.65
15,Southampton,19,8,3,8,28,25,3,27,1.42,21.0,22.3,-1.3,-0.07
16,Brighton,19,4,9,6,22,22,0,21,1.11,30.6,14.2,16.4,0.86
17,Burnley,19,4,6,9,14,27,-13,18,0.95,20.5,27.3,-6.8,-0.36
18,Fulham,19,2,4,13,9,28,-19,10,0.53,18.7,25.9,-7.2,-0.38
19,West Brom,19,3,6,10,15,39,-24,15,0.79,18.5,35.4,-16.9,-0.89
20,Sheffield Utd,19,5,1,13,12,27,-15,16,0.84,17.9,30.2,-12.4,-0.65
