,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving
,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Touches_Opp,Def_Pen_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Att_Pen_Opp,Live_Opp,Succ_Opp,Att_Opp,Succ%_Opp,Mis_Opp,Dis_Opp,Rec_Opp,Prog_Opp
Arsenal,25293,2432,7967,11336,6179,907,25287,296,535,55.3,511,260,17849,1135,22671.0,2649.0,7650.0,10035.0,5195.0,718.0,22668.0,335.0,547.0,61.2,507.0,244.0,15159.0,798.0
Aston Villa,20972,2576,6958,8565,5691,940,20966,369,595,62.0,579,337,12757,1008,22312.0,2512.0,7462.0,9235.0,5862.0,942.0,22306.0,321.0,582.0,55.2,551.0,269.0,14053.0,1057.0
Brighton,23594,2483,7910,10192,5733,877,23585,350,573,61.1,549,306,15553,1049,23058.0,2443.0,7575.0,10418.0,5276.0,669.0,23051.0,351.0,603.0,58.2,591.0,376.0,15074.0,872.0
Burnley,19292,2186,5786,9038,4639,689,19289,234,403,58.1,503,278,10666,784,25381.0,2501.0,8163.0,11174.0,6285.0,963.0,25378.0,335.0,565.0,59.3,568.0,278.0,16761.0,1145.0
Chelsea,29654,2501,8831,13861,7191,1002,29644,359,657,54.6,585,286,21744,1250,20602.0,2527.0,7086.0,9044.0,4668.0,557.0,20598.0,339.0,570.0,59.5,572.0,381.0,12601.0,750.0
Crystal Palace,19664,2195,6902,8645,4355,646,19660,365,645,56.6,596,402,11453,819,27028.0,1930.0,7045.0,13465.0,6727.0,885.0,27024.0,337.0,620.0,54.4,606.0,353.0,18837.0,1270.0
Everton,22747,2728,8236,10229,4522,636,22742,362,591,61.3,552,344,14622,853,25487.0,2091.0,7278.0,12036.0,6400.0,871.0,25483.0,398.0,664.0,59.9,635.0,374.0,17463.0,1216.0
Fulham,23639,2409,8037,10388,5494,718,23633,506,795,63.6,721,393,15193,939,24024.0,2376.0,7583.0,11257.0,5419.0,745.0,24017.0,327.0,581.0,56.3,555.0,347.0,15575.0,895.0
Leeds United,24691,2750,9021,10282,5617,874,24687,318,563,56.5,667,319,16053,1166,19668.0,2401.0,6413.0,8211.0,5359.0,870.0,19659.0,459.0,769.0,59.7,663.0,431.0,11072.0,897.0
Leicester City,25202,2268,7889,11952,5601,766,25190,358,645,55.5,549,322,16800,1035,21874.0,2246.0,7001.0,10231.0,4884.0,644.0,21870.0,381.0,676.0,56.4,558.0,386.0,13614.0,899.0
Liverpool,29889,2072,7199,14819,8141,1188,29883,407,696,58.5,592,387,21689,1535,20331.0,3149.0,8661.0,8202.0,3699.0,570.0,20323.0,323.0,543.0,59.5,565.0,306.0,11699.0,678.0
Manchester City,30550,1920,6464,15919,8413,1190,30541,485,783,61.9,510,350,23545,1362,19334.0,2983.0,8099.0,8018.0,3452.0,481.0,19325.0,342.0,576.0,59.4,501.0,264.0,12112.0,616.0
Manchester Utd,26438,2217,7583,11899,7228,910,26427,415,711,58.4,536,360,18566,1285,22161.0,2587.0,8147.0,9288.0,4946.0,699.0,22157.0,341.0,578.0,59.0,540.0,314.0,14029.0,837.0
Newcastle Utd,18643,2525,7157,7837,3885,551,18637,350,587,59.6,519,297,10666,636,27149.0,2008.0,6928.0,13420.0,7041.0,983.0,27144.0,340.0,548.0,62.0,554.0,305.0,19291.0,1202.0
Sheffield Utd,20227,2314,6406,8550,5479,613,20223,269,475,56.6,536,323,11954,803,26783.0,2291.0,8260.0,12456.0,6332.0,901.0,26779.0,426.0,720.0,59.2,553.0,340.0,18770.0,1106.0
Southampton,23455,2302,7476,11497,4711,692,23450,343,601,57.1,638,386,14738,898,22203.0,2210.0,7095.0,10035.0,5274.0,824.0,22194.0,390.0,731.0,53.4,600.0,386.0,13558.0,996.0
Tottenham,24467,2581,7967,11866,4908,695,24462,403,715,56.4,519,334,16315,962,23325.0,2110.0,6710.0,10880.0,5993.0,896.0,23315.0,406.0,683.0,59.4,591.0,359.0,15124.0,1082.0
West Brom,18121,2540,6668,7460,4182,569,18116,264,505,52.3,613,313,9591,708,27017.0,2089.0,7370.0,12614.0,7271.0,1031.0,27007.0,385.0,656.0,58.7,585.0,310.0,18678.0,1282.0
West Ham,20655,2288,6619,9285,4989,754,20651,298,542,55.0,491,318,12541,832,26209.0,2265.0,7360.0,12906.0,6208.0,837.0,26203.0,349.0,573.0,60.9,554.0,290.0,18079.0,1219.0
Wolves,23137,2194,7249,10975,5140,695,23133,468,779,60.1,592,309,15323,834,,,,,,,,,,,,,,
