,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected
,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,xG,npxG,xAG,npxG+xAG,Gls_Opp_Opp,Ast_Opp_Opp,G-PK_Opp_Opp,PK_Opp_Opp,PKatt_Opp_Opp,CrdY_Opp_Opp,CrdR_Opp_Opp,Gls_Opp_Opp,Ast_Opp_Opp,G+A_Opp_Opp,G-PK_Opp_Opp,G+A-PK_Opp_Opp,xG_Opp_Opp,xAG_Opp_Opp,xG+xAG_Opp_Opp,npxG_Opp_Opp,npxG+xAG_Opp_Opp,xG_Opp_Opp,npxG_Opp_Opp,xAG_Opp_Opp,npxG+xAG_Opp_Opp
Arsenal,43,31,42,1,1,33,0,2.26,1.63,3.89,2.21,3.84,1.96,1.38,3.34,1.94,3.32,37.3,36.8,26.2,63.0,15.0,9.0,13.0,2.0,3.0,43.0,1.0,0.79,0.47,1.26,0.68,1.16,0.89,0.63,1.53,0.77,1.4,17.0,14.6,12.1,26.7
Aston Villa,23,15,21,2,2,45,1,1.15,0.75,1.9,1.05,1.8,1.23,0.88,2.11,1.16,2.04,24.6,23.1,17.6,40.7,24.0,13.0,22.0,2.0,3.0,36.0,1.0,1.2,0.65,1.85,1.1,1.75,1.33,0.85,2.18,1.21,2.06,26.5,24.2,17.0,41.2
Bournemouth,19,15,19,0,0,33,0,0.95,0.75,1.7,0.95,1.7,0.76,0.61,1.37,0.76,1.37,15.2,15.2,12.3,27.5,40.0,28.0,34.0,6.0,6.0,26.0,0.0,2.0,1.4,3.4,1.7,3.1,1.65,1.14,2.8,1.42,2.56,33.1,28.4,22.9,51.3
Brentford,31,16,26,5,5,28,0,1.55,0.8,2.35,1.3,2.1,1.37,0.84,2.21,1.18,2.02,27.4,23.6,16.8,40.3,26.0,19.0,25.0,1.0,1.0,32.0,1.0,1.3,0.95,2.25,1.25,2.2,1.28,0.97,2.25,1.25,2.22,25.7,25.0,19.3,44.3
Brighton,33,20,30,3,3,27,0,1.74,1.05,2.79,1.58,2.63,1.53,1.11,2.65,1.41,2.53,29.1,26.9,21.2,48.1,24.0,13.0,19.0,5.0,6.0,44.0,1.0,1.26,0.68,1.95,1.0,1.68,1.26,0.71,1.97,1.0,1.71,23.9,19.1,13.5,32.5
Chelsea,22,15,20,2,2,44,3,1.1,0.75,1.85,1.0,1.75,1.19,0.92,2.11,1.12,2.03,23.8,22.3,18.3,40.7,19.0,14.0,19.0,0.0,0.0,35.0,0.0,0.95,0.7,1.65,0.95,1.65,1.32,1.06,2.38,1.32,2.38,26.4,26.4,21.2,47.6
Crystal Palace,17,15,17,0,2,46,2,0.85,0.75,1.6,0.85,1.6,0.92,0.71,1.62,0.83,1.54,18.3,16.6,14.1,30.7,26.0,19.0,26.0,0.0,0.0,39.0,1.0,1.3,0.95,2.25,1.3,2.25,1.38,1.04,2.42,1.38,2.42,27.6,27.6,20.8,48.5
Everton,14,11,13,1,1,42,0,0.7,0.55,1.25,0.65,1.2,1.02,0.7,1.72,0.98,1.69,20.4,19.6,14.1,33.7,28.0,19.0,26.0,2.0,2.0,44.0,0.0,1.4,0.95,2.35,1.3,2.25,1.67,1.24,2.91,1.6,2.84,33.5,32.0,24.8,56.8
Fulham,29,18,25,4,7,50,1,1.38,0.86,2.24,1.19,2.05,1.36,0.8,2.15,1.09,1.89,28.5,23.0,16.8,39.8,30.0,18.0,27.0,3.0,3.0,33.0,5.0,1.43,0.86,2.29,1.29,2.14,1.69,1.24,2.93,1.6,2.84,35.4,33.6,26.0,59.7
Leeds United,25,18,24,1,2,44,2,1.32,0.95,2.26,1.26,2.21,1.36,0.92,2.28,1.27,2.2,25.8,24.2,17.6,41.8,32.0,19.0,30.0,2.0,2.0,35.0,1.0,1.68,1.0,2.68,1.58,2.58,1.56,1.19,2.76,1.48,2.68,29.7,28.2,22.7,50.9
Leicester City,26,18,25,1,2,24,0,1.3,0.9,2.2,1.25,2.15,1.14,0.91,2.05,1.06,1.97,22.7,21.1,18.3,39.4,32.0,24.0,30.0,2.0,2.0,33.0,1.0,1.6,1.2,2.8,1.5,2.7,1.61,1.27,2.87,1.53,2.8,32.1,30.7,25.3,56.0
Liverpool,30,24,30,0,0,21,1,1.58,1.26,2.84,1.58,2.84,1.76,1.39,3.15,1.76,3.15,33.5,33.5,26.3,59.9,24.0,17.0,22.0,2.0,3.0,26.0,0.0,1.26,0.89,2.16,1.16,2.05,1.43,1.02,2.45,1.32,2.34,27.1,25.1,19.4,44.5
Manchester City,52,41,48,4,4,19,1,2.6,2.05,4.65,2.4,4.45,2.07,1.59,3.66,1.91,3.51,41.4,38.3,31.9,70.1,19.0,12.0,17.0,2.0,2.0,46.0,1.0,0.95,0.6,1.55,0.85,1.45,0.78,0.6,1.38,0.7,1.3,15.6,14.0,11.9,25.9
Manchester Utd,30,25,29,1,1,50,0,1.5,1.25,2.75,1.45,2.7,1.48,1.18,2.65,1.44,2.61,29.6,28.8,23.5,52.3,25.0,15.0,24.0,1.0,1.0,24.0,0.0,1.25,0.75,2.0,1.2,1.95,1.18,0.85,2.02,1.14,1.98,23.5,22.8,16.9,39.7
Newcastle Utd,32,20,29,3,3,35,0,1.6,1.0,2.6,1.45,2.45,1.64,1.2,2.84,1.53,2.73,32.8,30.5,24.1,54.6,11.0,10.0,10.0,1.0,2.0,46.0,1.0,0.55,0.5,1.05,0.5,1.0,0.89,0.7,1.58,0.81,1.51,17.7,16.2,13.9,30.1
