,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks,Blocks,Blocks,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks_Opp,Blocks_Opp,Blocks_Opp,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending
,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Tkl_Opp,TklW_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Tkl_Opp,Att_Opp,Tkl%_Opp,Past_Opp,Blocks_Opp,Sh_Opp,Pass_Opp,Int_Opp,Tkl+Int_Opp,Clr_Opp,Err_Opp
Arsenal,287,177,125,103,59,117,206,56.8,89,179,45,134,139,426,338,13,356.0,192.0,211.0,113.0,32.0,152.0,305.0,49.8,153.0,240.0,98.0,142.0,164.0,520.0,396.0,9.0
Aston Villa,375,188,187,141,47,169,286,59.1,117,249,67,182,186,561,348,5,340.0,191.0,174.0,111.0,55.0,134.0,240.0,55.8,106.0,225.0,71.0,154.0,178.0,518.0,366.0,5.0
Bournemouth,332,200,163,136,33,139,264,52.7,125,251,91,160,158,490,531,1,378.0,219.0,160.0,147.0,71.0,167.0,288.0,58.0,121.0,208.0,36.0,172.0,147.0,525.0,302.0,6.0
Brentford,308,168,143,118,47,134,276,48.6,142,232,97,135,190,498,451,8,327.0,188.0,151.0,119.0,57.0,130.0,235.0,55.3,105.0,174.0,36.0,138.0,153.0,480.0,407.0,6.0
Brighton,313,175,141,124,48,129,235,54.9,106,202,49,153,176,489,243,5,297.0,175.0,165.0,95.0,37.0,125.0,231.0,54.1,106.0,249.0,71.0,178.0,203.0,500.0,397.0,12.0
Chelsea,397,216,187,146,64,180,309,58.3,129,228,54,174,192,589,387,8,383.0,221.0,192.0,139.0,52.0,170.0,297.0,57.2,127.0,253.0,69.0,184.0,205.0,588.0,400.0,6.0
Crystal Palace,391,228,203,141,47,152,270,56.3,118,268,74,194,189,580,450,3,440.0,258.0,215.0,167.0,58.0,177.0,334.0,53.0,157.0,227.0,64.0,163.0,187.0,627.0,313.0,4.0
Everton,365,221,196,131,38,147,245,60.0,98,271,97,174,189,554,465,10,336.0,196.0,139.0,150.0,47.0,160.0,269.0,59.5,109.0,199.0,62.0,137.0,153.0,489.0,366.0,6.0
Fulham,342,191,151,127,64,161,265,60.8,104,270,76,194,168,510,409,5,340.0,192.0,161.0,135.0,44.0,129.0,235.0,54.9,106.0,258.0,62.0,196.0,181.0,521.0,411.0,7.0
Leeds United,438,244,193,185,60,201,390,51.5,189,250,55,195,191,629,338,7,348.0,192.0,172.0,136.0,40.0,160.0,280.0,57.1,120.0,254.0,75.0,179.0,219.0,567.0,354.0,4.0
Leicester City,351,212,172,147,32,156,299,52.2,143,247,68,179,191,542,382,4,290.0,175.0,135.0,120.0,35.0,126.0,214.0,58.9,88.0,248.0,57.0,191.0,201.0,491.0,315.0,4.0
Liverpool,284,175,128,117,39,117,243,48.1,126,191,44,147,180,464,292,7,358.0,190.0,193.0,128.0,37.0,140.0,267.0,52.4,127.0,261.0,78.0,183.0,206.0,564.0,522.0,8.0
Manchester City,249,146,90,107,52,119,213,55.9,94,186,44,142,127,376,188,4,304.0,156.0,181.0,101.0,22.0,130.0,276.0,47.1,146.0,239.0,94.0,145.0,166.0,470.0,448.0,8.0
Manchester Utd,334,187,192,102,40,153,272,56.3,119,251,76,175,202,536,436,4,293.0,151.0,135.0,111.0,47.0,145.0,249.0,58.2,104.0,262.0,80.0,182.0,227.0,520.0,296.0,5.0
Newcastle Utd,338,200,144,142,52,169,306,55.2,137,256,76,180,180,518,383,3,368.0,230.0,182.0,147.0,39.0,174.0,293.0,59.4,119.0,242.0,80.0,162.0,185.0,553.0,432.0,5.0
Nott'ham Forest,343,198,188,111,44,145,234,62.0,89,244,80,164,175,518,491,4,281.0,159.0,109.0,117.0,55.0,113.0,219.0,51.6,106.0,190.0,53.0,137.0,161.0,442.0,361.0,6.0
Southampton,384,218,198,153,33,150,268,56.0,118,267,68,199,211,595,424,5,385.0,216.0,176.0,159.0,50.0,170.0,316.0,53.8,146.0,236.0,63.0,173.0,167.0,552.0,441.0,2.0
Tottenham,342,189,176,116,50,145,264,54.9,119,235,86,149,191,533,398,13,362.0,212.0,167.0,140.0,55.0,153.0,285.0,53.7,132.0,282.0,87.0,195.0,172.0,534.0,418.0,4.0
West Ham,310,160,152,114,44,124,243,51.0,119,208,69,139,205,515,397,3,305.0,181.0,151.0,116.0,38.0,130.0,228.0,57.0,98.0,250.0,91.0,159.0,154.0,459.0,440.0,7.0
Wolves,361,195,211,104,46,157,297,52.9,140,242,79,163,159,520,411,6,,,,,,,,,,,,,,,,
