Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Arsenal,10,8,1,1,20,6,14,25,2.5,15.6,9.7,5.9,0.59
2,Manchester City,9,5,2,2,15,8,7,17,1.89,16.4,8.5,8.0,0.89
3,Newcastle Utd,10,4,5,1,15,6,9,17,1.7,12.9,10.2,2.7,0.27
4,Manchester Utd,11,5,2,4,15,20,-5,17,1.55,14.9,15.0,-0.1,-0.01
5,Tottenham,11,5,3,3,19,16,3,18,1.64,13.2,15.1,-1.9,-0.17
6,Brighton,10,5,2,3,21,17,4,17,1.7,14.5,12.7,1.7,0.17
7,Fulham,10,4,1,5,14,14,0,13,1.3,12.8,18.2,-5.5,-0.55
8,Brentford,10,2,5,3,12,18,-6,11,1.1,11.6,13.5,-1.9,-0.19
9,Liverpool,9,2,2,5,11,16,-5,8,0.89,14.3,15.6,-1.3,-0.15
10,Chelsea,11,3,3,5,9,14,-5,12,1.09,12.6,14.5,-1.8,-0.17
11,Aston Villa,10,3,2,5,8,16,-8,11,1.1,10.3,13.7,-3.3,-0.33
12,Crystal Palace,9,2,3,4,7,11,-4,9,1.0,7.9,13.0,-5.1,-0.56
13,Nott'ham Forest,10,1,3,6,3,23,-20,6,0.6,9.1,17.3,-8.2,-0.82
14,Leicester City,10,3,0,7,17,23,-6,9,0.9,14.2,19.7,-5.5,-0.55
15,Leeds United,9,1,2,6,11,19,-8,5,0.56,13.2,14.3,-1.0,-0.12
16,West Ham,10,1,2,7,6,13,-7,5,0.5,12.8,11.0,1.7,0.17
17,Wolves,10,1,3,6,6,16,-10,6,0.6,9.3,14.5,-5.1,-0.51
18,Bournemouth,10,1,2,7,9,31,-22,5,0.5,6.5,20.4,-13.9,-1.39
19,Everton,10,1,4,5,6,14,-8,7,0.7,8.6,19.0,-10.4,-1.04
20,Southampton,10,3,0,7,8,18,-10,9,0.9,8.4,13.3,-4.8,-0.48
