,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA_Opp,PKA_Opp,FK_Opp,CK_Opp,OG_Opp,PSxG_Opp,PSxG/SoT_Opp,PSxG+/-_Opp,/90_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Att_Opp,Thr_Opp,Launch%_Opp,AvgLen_Opp,Att_Opp,Launch%_Opp,AvgLen_Opp,Opp_Opp,Stp_Opp,Stp%_Opp,#OPA_Opp,#OPA/90_Opp,AvgDist_Opp
Arsenal,16,2,0,2,1,17.2,0.27,2.2,0.11,64,232,27.6,468,91,39.1,35.3,73,67.1,53.8,208,13,6.3,22,1.16,15.2,45.0,1.0,0.0,7.0,2.0,35.6,0.34,-7.4,-0.39,85.0,241.0,35.3,472.0,80.0,33.7,32.2,148.0,55.4,43.1,248.0,16.0,6.5,18.0,0.95,12.4
Aston Villa,27,2,1,6,3,23.8,0.26,-0.2,-0.01,101,286,35.3,597,84,37.2,34.2,131,48.9,41.1,258,34,13.2,25,1.25,15.0,23.0,2.0,1.0,3.0,0.0,21.7,0.25,-1.3,-0.07,82.0,195.0,42.1,493.0,105.0,29.6,31.6,118.0,41.5,36.6,260.0,17.0,6.5,19.0,0.95,14.6
Bournemouth,42,6,0,11,2,36.0,0.31,-4.0,-0.2,141,301,46.8,416,90,43.8,35.3,186,64.0,46.1,396,19,4.8,11,0.55,10.9,19.0,0.0,0.0,3.0,0.0,16.1,0.26,-2.9,-0.15,57.0,157.0,36.3,457.0,97.0,25.8,30.5,99.0,39.4,37.4,215.0,14.0,6.5,18.0,0.9,16.1
Brentford,28,1,0,7,2,27.3,0.24,1.3,0.07,180,459,39.2,700,96,50.0,39.2,153,71.2,52.6,315,29,9.2,29,1.45,15.4,32.0,5.0,1.0,5.0,1.0,30.0,0.31,-1.0,-0.05,78.0,257.0,30.4,438.0,102.0,38.6,35.5,130.0,67.7,48.2,268.0,16.0,6.0,27.0,1.35,15.7
Brighton,27,5,0,4,3,22.8,0.26,-1.2,-0.06,54,193,28.0,538,90,27.0,30.7,112,42.9,38.4,197,15,7.6,11,0.58,12.6,37.0,3.0,1.0,0.0,4.0,29.2,0.27,-3.8,-0.2,91.0,266.0,34.2,534.0,94.0,35.6,33.0,141.0,53.9,41.5,274.0,24.0,8.8,28.0,1.47,13.0
Chelsea,21,0,0,5,2,25.6,0.32,6.6,0.33,56,166,33.7,556,100,19.1,26.3,139,43.2,34.1,284,16,5.6,34,1.7,16.2,22.0,2.0,1.0,3.0,0.0,23.6,0.27,1.6,0.08,91.0,251.0,36.3,514.0,95.0,36.0,33.6,138.0,47.8,40.2,273.0,17.0,6.2,24.0,1.2,15.9
Crystal Palace,27,0,0,4,1,23.8,0.27,-2.2,-0.11,86,241,35.7,488,104,34.6,32.4,156,46.2,35.7,321,22,6.9,23,1.15,13.5,18.0,0.0,1.0,3.0,1.0,21.5,0.28,4.5,0.22,73.0,186.0,39.2,512.0,98.0,28.9,30.3,120.0,31.7,30.6,211.0,10.0,4.7,26.0,1.3,16.3
Everton,28,2,1,4,0,29.0,0.27,1.0,0.05,136,392,34.7,558,95,50.0,39.5,172,65.7,49.9,313,9,2.9,27,1.35,15.2,15.0,1.0,0.0,2.0,1.0,15.6,0.22,1.6,0.08,69.0,198.0,34.8,477.0,101.0,28.3,30.6,129.0,48.8,39.6,287.0,18.0,6.3,30.0,1.5,14.3
Fulham,30,3,1,4,0,33.4,0.29,3.4,0.16,93,273,34.1,609,105,34.0,32.0,146,45.2,38.9,269,22,8.2,27,1.29,14.5,32.0,4.0,0.0,9.0,3.0,30.6,0.29,1.6,0.08,79.0,240.0,32.9,597.0,109.0,30.2,30.8,125.0,48.0,41.1,332.0,22.0,6.6,16.0,0.76,13.7
Leeds United,33,2,1,4,1,27.2,0.28,-4.8,-0.25,47,262,17.9,434,108,41.7,34.8,147,55.1,42.9,232,18,7.8,37,1.95,16.4,26.0,1.0,0.0,5.0,1.0,25.7,0.33,0.7,0.04,84.0,272.0,30.9,529.0,106.0,39.7,34.9,139.0,44.6,38.5,243.0,24.0,9.9,21.0,1.11,13.6
Leicester City,35,2,2,4,3,27.3,0.29,-4.7,-0.24,70,228,30.7,588,132,28.6,30.1,154,39.0,33.5,283,17,6.0,35,1.75,16.0,28.0,1.0,2.0,2.0,2.0,21.2,0.24,-4.8,-0.24,116.0,272.0,42.6,567.0,98.0,34.2,32.6,123.0,63.4,48.5,216.0,19.0,8.8,27.0,1.35,15.6
Liverpool,25,2,0,0,1,32.1,0.34,8.1,0.43,60,139,43.2,604,123,19.2,27.3,101,22.8,30.3,215,8,3.7,38,2.0,19.5,34.0,0.0,0.0,8.0,4.0,31.2,0.29,1.2,0.06,101.0,359.0,28.1,500.0,100.0,48.0,38.3,182.0,65.4,47.8,348.0,20.0,5.7,16.0,0.84,12.8
Manchester City,20,2,1,2,1,15.3,0.27,-3.7,-0.18,55,136,40.4,652,94,17.5,27.3,86,25.6,30.5,161,16,9.9,26,1.3,16.9,53.0,4.0,1.0,6.0,1.0,40.9,0.32,-11.1,-0.56,132.0,372.0,35.5,664.0,106.0,41.1,35.6,174.0,56.9,43.6,327.0,20.0,6.1,19.0,0.95,14.3
Manchester Utd,25,1,2,4,0,22.8,0.28,-2.2,-0.11,67,233,28.8,507,72,33.7,32.7,91,68.1,50.0,301,8,2.7,16,0.8,15.4,32.0,1.0,0.0,2.0,2.0,32.5,0.31,2.5,0.12,116.0,313.0,37.1,693.0,104.0,35.2,32.1,132.0,52.3,41.6,204.0,10.0,4.9,41.0,2.05,19.7
Newcastle Utd,11,1,0,3,0,14.3,0.23,3.3,0.17,72,220,32.7,407,131,34.4,33.6,108,74.1,54.2,253,19,7.5,43,2.15,18.5,33.0,3.0,1.0,5.0,1.0,31.2,0.29,-0.8,-0.04,113.0,373.0,30.3,574.0,128.0,46.0,38.1,154.0,70.8,50.8,304.0,30.0,9.9,28.0,1.4,14.6
Nott'ham Forest,35,2,1,6,0,30.7,0.28,-4.3,-0.21,124,360,34.4,554,115,46.8,38.4,171,59.1,45.0,313,20,6.4,29,1.45,15.7,16.0,1.0,0.0,3.0,1.0,19.3,0.28,4.3,0.21,58.0,175.0,33.1,493.0,110.0,25.8,29.3,125.0,38.4,34.4,254.0,15.0,5.9,34.0,1.7,17.3
Southampton,35,0,1,5,3,22.5,0.27,-9.5,-0.48,146,413,35.4,605,99,51.6,38.9,144,70.1,52.2,282,24,8.5,29,1.45,14.3,17.0,0.0,2.0,1.0,0.0,17.3,0.23,0.3,0.02,91.0,230.0,39.6,538.0,110.0,32.2,32.2,131.0,43.5,39.3,278.0,19.0,6.8,26.0,1.3,15.1
Tottenham,31,1,0,3,1,26.9,0.28,-3.1,-0.15,68,167,40.7,444,98,30.0,31.0,157,21.7,24.1,266,15,5.6,28,1.33,14.4,40.0,2.0,0.0,10.0,2.0,32.0,0.26,-6.0,-0.29,116.0,358.0,32.4,567.0,101.0,48.0,37.4,127.0,67.7,49.6,311.0,16.0,5.1,31.0,1.48,15.5
West Ham,25,2,0,0,1,24.9,0.27,0.9,0.04,112,278,40.3,418,102,48.1,37.7,133,57.9,43.6,282,16,5.7,7,0.35,11.4,17.0,4.0,0.0,3.0,0.0,20.6,0.23,3.6,0.18,85.0,252.0,33.7,557.0,90.0,32.0,32.0,148.0,50.0,41.2,327.0,19.0,5.8,26.0,1.3,15.2
Wolves,30,1,0,4,1,25.9,0.27,-3.1,-0.15,72,220,32.7,530,102,26.4,29.7,152,52.6,42.1,298,22,7.4,17,0.85,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
