Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Arsenal,-1,0,0,-1,5,4,1,0,0.2799999999999998,6.1,-2.499999999999999,8.5,1.0100000000000002
2,Manchester City,2,4,-1,-1,23,4,19,11,0.6599999999999999,8.600000000000001,-1.4000000000000004,9.899999999999999,0.7300000000000001
3,Newcastle Utd,0,2,-1,-1,3,-1,4,5,0.5000000000000002,6.999999999999998,-2.5999999999999996,9.600000000000001,0.96
4,Manchester Utd,-2,2,-1,-3,2,-15,17,5,0.8899999999999999,-0.3000000000000007,-6.4,6.199999999999999,0.68
5,Tottenham,-1,1,-3,1,2,-1,3,0,0.16000000000000014,4.199999999999999,-4.699999999999999,8.8,0.86
6,Brighton,-1,-1,0,0,-5,-7,2,-3,-0.1399999999999999,0.09999999999999964,-1.5,1.7,0.21
7,Fulham,1,1,2,-2,4,2,2,5,0.33999999999999986,2.8999999999999986,-1.0,4.0,0.41000000000000003
8,Brentford,0,3,-1,-2,8,-8,16,8,0.7999999999999998,4.200000000000001,-1.3000000000000007,5.5,0.55
9,Liverpool,1,4,1,-4,12,-7,19,13,1.21,5.0,-4.0,9.0,0.92
10,Chelsea,-2,2,-1,-3,4,-7,11,5,0.7999999999999998,-1.4000000000000004,-2.5999999999999996,1.1,0.09000000000000001
11,Aston Villa,0,2,0,-2,7,-5,12,6,0.5999999999999999,3.8999999999999986,-0.7999999999999989,4.699999999999999,0.47000000000000003
12,Crystal Palace,2,2,0,0,4,5,-1,6,0.3600000000000001,2.5,1.6999999999999993,0.8999999999999995,0.17000000000000004
13,Nott'ham Forest,0,3,0,-3,10,-11,21,9,0.9,4.9,-4.200000000000001,9.1,0.9099999999999999
14,Leicester City,0,-1,3,-2,-6,-11,5,0,0.0,-5.6,-7.299999999999999,1.6,0.16000000000000003
15,Leeds United,1,2,2,-3,4,-5,9,8,0.74,-0.6999999999999993,1.0999999999999996,-1.9,-0.16999999999999998
16,West Ham,0,3,-1,-2,5,-1,6,8,0.8,0.09999999999999964,0.3000000000000007,-0.09999999999999987,-0.010000000000000009
17,Wolves,0,2,-1,-1,0,-2,2,5,0.5000000000000001,0.29999999999999893,-0.09999999999999964,0.1999999999999993,0.020000000000000018
18,Bournemouth,0,2,1,-3,1,-20,21,7,0.7,2.1999999999999993,-7.699999999999999,9.9,0.9899999999999999
19,Everton,0,1,-2,1,3,0,3,1,0.10000000000000009,3.200000000000001,-4.5,7.800000000000001,0.78
20,Southampton,0,-2,3,-1,1,-1,2,-3,-0.30000000000000004,2.799999999999999,-0.5,3.1999999999999997,0.31999999999999995
