,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing
,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att_Opp,Cmp%_Opp,TotDist_Opp,PrgDist_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Ast_Opp,xAG_Opp,xA_Opp,A-xAG_Opp,KP_Opp,1/3_Opp,PPA_Opp,CrsPA_Opp,Prog_Opp
Arsenal,10459,83.1,149555,50347,4031,4453,90.5,3739,4230,88.4,725,1272,57.0,31,26.2,22.3,4.8,227,786,207,29,661,8028.0,76.7,107388.0,38875.0,2887.0,3286.0,87.9,2496.0,2979.0,83.8,601.0,1261.0,47.7,9.0,12.1,10.8,-3.1,120.0,396.0,105.0,22.0,318.0
Aston Villa,9389,78.0,129441,46896,3287,3772,87.1,3082,3617,85.2,743,1452,51.2,15,17.6,14.7,-2.6,160,554,136,44,489,9972.0,78.9,140596.0,49915.0,3608.0,4139.0,87.2,3194.0,3752.0,85.1,890.0,1536.0,57.9,13.0,17.0,14.0,-4.0,166.0,564.0,155.0,32.0,504.0
Bournemouth,8069,75.7,108164,44339,2790,3269,85.3,2484,2976,83.5,633,1279,49.5,15,12.3,12.8,2.7,128,424,120,41,372,11878.0,82.4,173760.0,56591.0,4349.0,4857.0,89.5,4215.0,4815.0,87.5,995.0,1607.0,61.9,28.0,22.9,21.4,5.1,236.0,856.0,224.0,52.0,686.0
Brentford,8111,72.0,107322,44613,2688,3225,83.3,2264,2861,79.1,731,1529,47.8,16,16.8,13.7,-0.8,137,466,132,38,393,10683.0,79.4,138608.0,47778.0,4330.0,4868.0,88.9,3171.0,3788.0,83.7,676.0,1386.0,48.8,19.0,19.3,19.7,-0.3,232.0,716.0,206.0,46.0,586.0
Brighton,10900,82.4,154022,51305,4193,4655,90.1,3755,4282,87.7,788,1378,57.2,20,21.2,19.8,-1.2,205,711,194,38,624,8195.0,77.9,110006.0,41442.0,3026.0,3450.0,87.7,2604.0,3076.0,84.7,582.0,1220.0,47.7,13.0,13.5,12.5,-0.5,134.0,467.0,118.0,24.0,402.0
Chelsea,11826,82.8,160699,54119,4933,5476,90.1,3885,4417,88.0,721,1304,55.3,15,18.3,16.3,-3.3,180,681,177,40,589,8640.0,76.7,117160.0,45228.0,3041.0,3533.0,86.1,2696.0,3242.0,83.2,711.0,1343.0,52.9,14.0,21.2,14.4,-7.2,170.0,543.0,128.0,36.0,499.0
Crystal Palace,9196,77.9,127283,47378,3259,3723,87.5,3039,3560,85.4,703,1458,48.2,15,14.1,10.9,0.9,163,503,105,16,453,11071.0,80.6,153753.0,55178.0,4166.0,4705.0,88.5,3630.0,4200.0,86.4,859.0,1521.0,56.5,19.0,20.8,19.9,-1.8,200.0,675.0,224.0,55.0,677.0
Everton,9084,77.9,129446,45969,3119,3530,88.4,3032,3539,85.7,792,1595,49.7,11,14.1,12.7,-3.1,139,539,112,32,394,10562.0,80.4,146127.0,50724.0,3954.0,4461.0,88.6,3557.0,4165.0,85.4,751.0,1361.0,55.2,19.0,24.8,19.9,-5.8,247.0,636.0,183.0,61.0,578.0
Fulham,9681,76.5,136361,48039,3108,3656,85.0,3289,3919,83.9,841,1562,53.8,18,16.8,12.6,1.2,176,541,159,56,496,10762.0,79.1,149068.0,53052.0,3965.0,4553.0,87.1,3488.0,4022.0,86.7,836.0,1555.0,53.8,18.0,26.0,20.1,-8.0,204.0,617.0,198.0,49.0,601.0
Leeds United,8955,74.5,107141,42475,3320,3880,85.6,2557,3186,80.3,496,1221,40.6,18,17.6,13.5,0.4,182,567,136,24,529,9025.0,75.5,126528.0,46649.0,2838.0,3343.0,84.9,2968.0,3585.0,82.8,827.0,1540.0,53.7,19.0,22.7,15.4,-3.7,182.0,494.0,131.0,26.0,480.0
Leicester City,10874,81.3,148426,51260,4221,4741,89.0,3667,4217,87.0,705,1325,53.2,18,18.3,14.5,-0.3,166,671,136,33,545,10490.0,80.0,150584.0,51029.0,3672.0,4144.0,88.6,3645.0,4217.0,86.4,873.0,1545.0,56.5,24.0,25.3,17.8,-1.3,200.0,661.0,163.0,46.0,548.0
Liverpool,12134,81.2,175737,60802,4399,4949,88.9,4133,4784,86.4,1052,1757,59.9,24,26.3,25.2,-2.3,236,828,236,48,759,8354.0,74.7,109900.0,42994.0,2910.0,3431.0,84.8,2492.0,3020.0,82.5,652.0,1395.0,46.7,17.0,19.4,15.7,-2.4,149.0,479.0,139.0,36.0,461.0
Manchester City,14306,87.4,214320,62675,5895,6358,92.7,5281,5816,90.8,1082,1558,69.4,41,31.9,33.1,9.1,269,968,269,49,782,7683.0,78.0,108981.0,39658.0,2591.0,2953.0,87.7,2602.0,2974.0,87.5,633.0,1318.0,48.0,12.0,11.9,10.4,0.1,110.0,338.0,99.0,27.0,337.0
Manchester Utd,10452,79.9,138256,47877,4275,4816,88.8,3097,3606,85.9,731,1403,52.1,25,23.5,21.5,1.5,219,626,183,31,571,9723.0,78.0,132563.0,48022.0,3537.0,4066.0,87.0,3149.0,3721.0,84.6,724.0,1414.0,51.2,15.0,16.9,18.4,-1.9,179.0,530.0,161.0,41.0,524.0
Newcastle Utd,9146,76.9,125665,47401,3220,3726,86.4,2831,3379,83.8,801,1494,53.6,20,24.1,23.5,-4.1,221,555,210,42,598,8915.0,75.8,119894.0,44112.0,3151.0,3605.0,87.4,2780.0,3353.0,82.9,693.0,1464.0,47.3,10.0,13.9,15.5,-3.9,165.0,548.0,119.0,32.0,475.0
Nott'ham Forest,7817,72.7,104986,40166,2324,2804,82.9,2516,3075,81.8,683,1472,46.4,9,17.0,11.7,-8.0,145,382,101,34,350,11677.0,81.8,162387.0,54393.0,4497.0,5009.0,89.8,4000.0,4572.0,87.5,810.0,1504.0,53.9,24.0,21.3,20.4,2.7,219.0,756.0,194.0,39.0,644.0
Southampton,8605,73.7,111098,42765,3051,3557,85.8,2429,3025,80.3,678,1475,46.0,12,16.2,15.1,-4.2,169,508,140,43,426,10922.0,78.8,153211.0,55856.0,3893.0,4477.0,87.0,3605.0,4242.0,85.0,894.0,1605.0,55.7,28.0,20.6,18.8,7.4,189.0,685.0,176.0,47.0,644.0
Tottenham,11393,81.8,161932,54109,4239,4739,89.4,3913,4468,87.6,884,1500,58.9,25,22.8,20.1,2.2,218,619,192,62,637,11060.0,81.6,155516.0,50071.0,4286.0,4778.0,89.7,3666.0,4178.0,87.7,856.0,1565.0,54.7,22.0,18.2,18.6,3.8,234.0,779.0,159.0,38.0,570.0
West Ham,9115,77.1,125987,47347,3291,3749,87.8,2766,3311,83.5,814,1520,53.6,7,15.5,12.8,-8.5,189,568,119,48,486,11437.0,82.2,158435.0,53867.0,4497.0,4941.0,91.0,3835.0,4387.0,87.4,774.0,1478.0,52.4,18.0,15.7,14.3,2.3,171.0,700.0,152.0,28.0,589.0
Wolves,9559,80.2,140491,46799,3323,3755,88.5,3349,3830,87.4,835,1480,56.4,8,13.6,11.5,-5.6,169,624,149,40,544,,,,,,,,,,,,,,,,,,,,,,
