,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks
,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,GA_Opp,GA90_Opp,SoTA_Opp,Saves_Opp,Save%_Opp,CS_Opp,CS%_Opp,PKatt_Opp,PKA_Opp,PKsv_Opp,PKm_Opp,Save%_Opp
Arsenal,16,0.84,58,43,75.9,9,47.4,3,2,0,1,0.0,45.0,2.37,104.0,61.0,57.7,1.0,5.3,1.0,1.0,0.0,0.0,0.0
Aston Villa,27,1.35,82,57,69.5,5,25.0,3,2,1,0,33.3,23.0,1.15,81.0,58.0,74.1,6.0,30.0,2.0,2.0,0.0,0.0,0.0
Bournemouth,42,2.1,100,60,64.0,4,20.0,6,6,0,0,0.0,19.0,0.95,63.0,44.0,69.8,11.0,55.0,0.0,0.0,0.0,0.0,
Brentford,28,1.4,112,86,75.9,7,35.0,1,1,0,0,0.0,32.0,1.6,83.0,52.0,67.5,5.0,25.0,5.0,5.0,0.0,0.0,0.0
Brighton,27,1.42,67,42,67.2,5,26.3,6,5,1,0,16.7,37.0,1.95,101.0,68.0,66.3,4.0,21.1,3.0,3.0,0.0,0.0,0.0
Chelsea,21,1.05,85,66,75.3,7,35.0,0,0,0,0,,22.0,1.1,80.0,57.0,75.0,6.0,30.0,2.0,2.0,0.0,0.0,0.0
Crystal Palace,27,1.35,88,62,69.3,5,25.0,0,0,0,0,,18.0,0.9,74.0,56.0,75.7,9.0,45.0,2.0,0.0,1.0,1.0,100.0
Everton,28,1.4,105,77,75.2,4,20.0,2,2,0,0,0.0,15.0,0.75,67.0,53.0,79.1,8.0,40.0,1.0,1.0,0.0,0.0,0.0
Fulham,30,1.43,113,83,76.1,5,23.8,3,3,0,0,0.0,32.0,1.52,86.0,55.0,67.4,4.0,19.0,7.0,4.0,2.0,1.0,33.3
Leeds United,33,1.74,90,58,65.6,4,21.1,2,2,0,0,0.0,26.0,1.37,74.0,49.0,66.2,6.0,31.6,2.0,1.0,0.0,1.0,0.0
Leicester City,35,1.75,90,57,63.3,6,30.0,2,2,0,0,0.0,28.0,1.4,80.0,53.0,66.3,6.0,30.0,2.0,1.0,1.0,0.0,50.0
Liverpool,25,1.32,88,63,73.9,5,26.3,3,2,1,0,33.3,34.0,1.79,111.0,81.0,69.4,4.0,21.1,0.0,0.0,0.0,0.0,
Manchester City,20,1.0,49,30,63.3,8,40.0,2,2,0,0,0.0,53.0,2.65,115.0,63.0,57.4,1.0,5.0,4.0,4.0,0.0,0.0,0.0
Manchester Utd,25,1.25,78,53,69.2,8,40.0,1,1,0,0,0.0,32.0,1.6,102.0,72.0,69.6,2.0,10.0,1.0,1.0,0.0,0.0,0.0
Newcastle Utd,11,0.55,62,51,83.9,12,60.0,2,1,0,1,0.0,33.0,1.65,99.0,67.0,69.7,6.0,30.0,3.0,3.0,0.0,0.0,0.0
Nott'ham Forest,35,1.75,96,59,65.6,6,30.0,5,2,2,1,50.0,16.0,0.8,63.0,47.0,76.2,8.0,40.0,2.0,1.0,1.0,0.0,50.0
Southampton,35,1.75,80,47,56.3,1,5.0,1,0,1,0,100.0,17.0,0.85,71.0,53.0,76.1,7.0,35.0,1.0,0.0,1.0,0.0,100.0
Tottenham,31,1.48,94,64,68.1,6,28.6,1,1,0,0,0.0,40.0,1.9,113.0,74.0,66.4,3.0,14.3,3.0,2.0,1.0,0.0,33.3
West Ham,25,1.25,82,57,72.0,4,20.0,3,2,1,0,33.3,17.0,0.85,75.0,56.0,82.7,9.0,45.0,6.0,4.0,2.0,0.0,33.3
Wolves,30,1.5,86,55,66.3,5,25.0,3,1,2,0,66.7,,,,,,,,,,,,
