,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes
,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Live_Opp,Dead_Opp,FK_Opp,TB_Opp,Sw_Opp,Crs_Opp,TI_Opp,CK_Opp,In_Opp,Out_Opp,Str_Opp,Cmp_Opp,Off_Opp,Blocks_Opp
Arsenal,9637,796,266,31,47,310,298,108,82,4,1,8695,26,163,7107.0,869.0,210.0,27.0,62.0,280.0,363.0,76.0,46.0,22.0,3.0,6159.0,52.0,159.0
Aston Villa,8415,937,285,24,60,328,396,77,45,12,4,7323,37,176,8984.0,952.0,244.0,24.0,114.0,329.0,434.0,106.0,53.0,34.0,3.0,7865.0,36.0,204.0
Bournemouth,7113,938,231,14,48,272,381,76,44,13,5,6110,18,192,10982.0,861.0,213.0,17.0,73.0,501.0,372.0,135.0,61.0,49.0,1.0,9789.0,35.0,207.0
Brentford,7159,915,235,33,56,327,384,90,43,21,9,5842,37,153,9735.0,915.0,197.0,27.0,56.0,408.0,413.0,113.0,58.0,43.0,3.0,8482.0,33.0,166.0
Brighton,9970,895,211,35,86,349,399,114,64,32,2,8979,35,200,7317.0,855.0,222.0,18.0,46.0,240.0,348.0,75.0,26.0,38.0,2.0,6388.0,23.0,167.0
Chelsea,10828,957,265,25,75,335,400,109,58,30,2,9795,41,205,7656.0,956.0,243.0,15.0,46.0,362.0,420.0,103.0,63.0,16.0,1.0,6625.0,28.0,199.0
Crystal Palace,8207,967,281,13,71,274,395,88,39,28,4,7162,22,174,10087.0,946.0,256.0,23.0,79.0,403.0,419.0,104.0,50.0,31.0,4.0,8919.0,38.0,213.0
Everton,8122,926,244,28,64,348,367,94,67,23,0,7078,36,150,9569.0,967.0,210.0,31.0,66.0,408.0,453.0,132.0,63.0,34.0,1.0,8488.0,26.0,211.0
Fulham,8637,1010,238,10,94,418,464,104,39,42,0,7407,34,226,9748.0,963.0,234.0,44.0,86.0,336.0,425.0,116.0,50.0,35.0,1.0,8508.0,51.0,220.0
Leeds United,7912,1015,244,20,42,314,468,103,49,40,4,6667,28,203,7998.0,991.0,262.0,32.0,86.0,301.0,454.0,90.0,41.0,31.0,5.0,6815.0,36.0,212.0
Leicester City,9942,901,229,40,50,277,385,78,39,26,4,8839,31,207,9541.0,911.0,225.0,34.0,96.0,360.0,395.0,118.0,69.0,28.0,2.0,8397.0,38.0,208.0
Liverpool,11170,919,205,45,101,422,439,130,33,88,0,9848,45,202,7453.0,859.0,212.0,39.0,67.0,269.0,343.0,67.0,39.0,18.0,1.0,6243.0,42.0,159.0
Manchester City,13470,807,219,48,116,429,325,131,47,51,2,12503,29,173,6886.0,761.0,188.0,16.0,66.0,193.0,269.0,48.0,26.0,11.0,2.0,5989.0,36.0,146.0
Manchester Utd,9609,797,156,48,99,265,360,84,35,23,0,8353,46,198,8778.0,925.0,262.0,16.0,64.0,379.0,358.0,113.0,57.0,28.0,3.0,7586.0,20.0,197.0
Newcastle Utd,8200,901,240,36,83,387,373,143,50,46,11,7033,45,188,7931.0,946.0,251.0,27.0,69.0,309.0,396.0,86.0,41.0,37.0,0.0,6760.0,38.0,202.0
Nott'ham Forest,6864,922,250,19,38,317,380,66,33,30,1,5680,31,166,10681.0,962.0,234.0,39.0,60.0,411.0,432.0,128.0,49.0,53.0,5.0,9549.0,34.0,196.0
Southampton,7660,921,212,17,55,355,422,84,38,41,1,6340,24,200,9951.0,944.0,244.0,24.0,101.0,344.0,423.0,106.0,42.0,39.0,3.0,8604.0,27.0,216.0
Tottenham,10410,948,206,28,97,424,406,126,72,22,0,9325,35,237,10123.0,913.0,245.0,25.0,80.0,350.0,375.0,96.0,35.0,35.0,10.0,9022.0,24.0,174.0
West Ham,8210,875,178,19,103,428,403,102,60,31,1,7027,30,204,10546.0,864.0,215.0,46.0,61.0,363.0,357.0,97.0,52.0,34.0,0.0,9404.0,27.0,160.0
Wolves,8648,876,215,22,84,354,358,101,36,44,2,7667,35,184,,,,,,,,,,,,,,
