,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels
,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,CrdY_Opp,CrdR_Opp,2CrdY_Opp,Fls_Opp,Fld_Opp,Off_Opp,Crs_Opp,Int_Opp,TklW_Opp,PKwon_Opp,PKcon_Opp,OG_Opp,Recov_Opp,Won_Opp,Lost_Opp,Won%_Opp
Arsenal,33,0,0,196,219,26,310,139,177,1,3,1,1003,213,270,44.1,43.0,1.0,0.0,225.0,184.0,52.0,280.0,164.0,192.0,2.0,1.0,2.0,916.0,270.0,213.0,55.9
Aston Villa,45,1,0,223,255,37,328,186,188,2,3,3,1034,255,278,47.8,36.0,1.0,1.0,262.0,213.0,36.0,329.0,178.0,191.0,0.0,2.0,0.0,1069.0,278.0,255.0,52.2
Bournemouth,33,0,0,211,203,18,272,158,200,0,6,2,989,269,279,49.1,26.0,0.0,0.0,206.0,202.0,35.0,501.0,147.0,219.0,3.0,0.0,0.0,1124.0,279.0,269.0,50.9
Brentford,28,0,0,173,207,37,327,190,168,4,1,2,1036,321,312,50.7,32.0,1.0,0.0,215.0,163.0,33.0,408.0,153.0,188.0,1.0,5.0,1.0,1071.0,312.0,321.0,49.3
Brighton,27,0,0,199,187,35,349,176,175,3,6,3,977,223,212,51.3,44.0,1.0,0.0,198.0,192.0,23.0,240.0,203.0,175.0,5.0,3.0,4.0,931.0,212.0,223.0,48.7
Chelsea,44,3,2,210,240,41,335,192,216,2,0,2,1089,268,250,51.7,35.0,0.0,0.0,243.0,203.0,28.0,362.0,205.0,221.0,0.0,2.0,0.0,1047.0,250.0,268.0,48.3
Crystal Palace,46,2,1,242,254,22,274,189,228,1,0,1,1108,247,274,47.4,39.0,1.0,0.0,261.0,232.0,38.0,403.0,187.0,258.0,0.0,2.0,1.0,1167.0,274.0,247.0,52.6
Everton,42,0,0,186,214,36,348,189,221,1,2,0,1015,249,306,44.9,44.0,0.0,0.0,227.0,180.0,26.0,408.0,153.0,196.0,2.0,1.0,1.0,1057.0,306.0,249.0,55.1
Fulham,50,1,0,215,198,34,418,168,191,6,3,0,1093,292,285,50.6,33.0,5.0,1.0,206.0,206.0,51.0,336.0,181.0,192.0,3.0,7.0,3.0,1131.0,285.0,292.0,49.4
Leeds United,44,2,2,248,212,28,314,191,244,1,2,1,1075,275,281,49.5,35.0,1.0,1.0,222.0,242.0,36.0,301.0,219.0,192.0,2.0,2.0,1.0,1098.0,281.0,275.0,50.5
Leicester City,24,0,0,206,195,31,277,191,212,2,2,3,1036,239,279,46.1,33.0,1.0,1.0,202.0,197.0,38.0,360.0,201.0,175.0,2.0,2.0,2.0,1092.0,279.0,239.0,53.9
Liverpool,21,1,0,180,159,45,422,180,175,0,3,1,1136,228,242,48.5,26.0,0.0,0.0,167.0,165.0,42.0,269.0,206.0,190.0,3.0,0.0,4.0,1056.0,242.0,228.0,51.5
Manchester City,19,1,0,169,188,29,429,127,146,4,2,1,991,250,185,57.5,46.0,1.0,0.0,195.0,164.0,36.0,193.0,166.0,156.0,2.0,4.0,1.0,860.0,185.0,250.0,42.5
Manchester Utd,50,0,0,232,143,46,265,202,187,1,1,0,1122,245,225,52.1,24.0,0.0,0.0,150.0,225.0,20.0,379.0,227.0,151.0,1.0,1.0,2.0,1095.0,225.0,245.0,47.9
Newcastle Utd,35,0,0,212,210,45,387,180,200,1,2,0,1099,285,234,54.9,46.0,1.0,0.0,220.0,202.0,38.0,309.0,185.0,230.0,1.0,3.0,1.0,1024.0,234.0,285.0,45.1
Nott'ham Forest,44,0,0,225,219,31,317,175,198,1,5,0,1002,287,266,51.9,37.0,0.0,0.0,231.0,212.0,34.0,411.0,161.0,159.0,2.0,2.0,1.0,1034.0,266.0,287.0,48.1
Southampton,32,0,0,227,186,24,355,211,218,1,1,3,1150,318,348,47.7,33.0,0.0,0.0,196.0,216.0,27.0,344.0,167.0,216.0,1.0,1.0,0.0,1161.0,348.0,318.0,52.3
Tottenham,42,1,0,222,180,35,424,191,189,2,1,1,1084,292,241,54.8,44.0,1.0,1.0,196.0,217.0,24.0,350.0,172.0,212.0,1.0,3.0,2.0,1105.0,241.0,292.0,45.2
West Ham,26,0,0,197,160,30,428,205,160,4,3,1,1053,312,279,52.8,34.0,0.0,0.0,167.0,191.0,27.0,363.0,154.0,181.0,3.0,6.0,0.0,1061.0,279.0,312.0,47.2
Wolves,41,3,0,224,194,35,354,159,195,0,3,1,1047,227,249,47.7,,,,,,,,,,,,,,,,
