,SCA,SCA,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA,GCA,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,SCA_Opp,SCA_Opp,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA_Opp,GCA_Opp,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types
,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,SCA_Opp,SCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp,GCA_Opp,GCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp
Arsenal,539,28.37,391,45,23,42,26,12,75,3.95,60,4,0,10,1,0,265.0,13.95,192.0,27.0,11.0,16.0,14.0,5.0,27.0,1.42,23.0,0.0,1.0,1.0,2.0,0.0
Aston Villa,389,19.45,298,22,23,21,20,5,40,2.0,25,1,4,5,4,1,395.0,19.75,279.0,45.0,16.0,31.0,20.0,4.0,41.0,2.05,28.0,3.0,2.0,5.0,2.0,1.0
Bournemouth,289,14.45,209,24,17,20,15,4,33,1.65,23,3,0,5,1,1,570.0,28.5,422.0,60.0,13.0,36.0,27.0,12.0,69.0,3.45,41.0,12.0,0.0,12.0,4.0,0.0
Brentford,340,17.0,226,49,12,26,22,5,50,2.5,29,5,1,6,7,2,536.0,26.8,420.0,42.0,17.0,37.0,13.0,7.0,46.0,2.3,32.0,6.0,2.0,4.0,1.0,1.0
Brighton,457,24.05,355,35,22,25,15,5,57,3.0,46,0,4,3,4,0,328.0,17.26,226.0,33.0,15.0,27.0,21.0,6.0,39.0,2.05,24.0,0.0,3.0,7.0,4.0,1.0
Chelsea,416,20.8,338,30,12,19,13,4,41,2.05,34,1,1,2,3,0,395.0,19.75,298.0,30.0,19.0,25.0,14.0,9.0,29.0,1.45,16.0,3.0,1.0,6.0,1.0,2.0
Crystal Palace,381,19.05,261,36,27,23,27,7,31,1.55,18,5,3,2,2,1,473.0,23.65,351.0,46.0,20.0,30.0,22.0,4.0,46.0,2.3,34.0,1.0,5.0,6.0,0.0,0.0
Everton,340,17.0,241,36,11,24,20,8,24,1.2,17,3,1,1,1,1,568.0,28.4,418.0,58.0,20.0,37.0,21.0,14.0,48.0,2.4,32.0,1.0,4.0,7.0,4.0,0.0
Fulham,430,20.48,304,49,15,30,26,6,49,2.33,29,6,3,7,3,1,497.0,23.67,374.0,35.0,17.0,43.0,25.0,3.0,52.0,2.48,35.0,1.0,1.0,11.0,4.0,0.0
Leeds United,400,21.05,285,48,16,22,23,6,37,1.95,23,3,2,6,2,1,435.0,22.89,301.0,44.0,33.0,26.0,24.0,7.0,58.0,3.05,36.0,3.0,8.0,5.0,4.0,2.0
Leicester City,376,18.8,293,22,14,23,18,6,45,2.25,31,1,2,6,4,1,467.0,23.35,341.0,44.0,22.0,24.0,26.0,10.0,54.0,2.7,40.0,3.0,3.0,2.0,4.0,2.0
Liverpool,547,28.79,402,51,28,43,14,9,55,2.89,39,5,4,5,1,1,350.0,18.42,267.0,29.0,17.0,18.0,18.0,1.0,41.0,2.16,30.0,1.0,5.0,2.0,3.0,0.0
Manchester City,613,30.65,479,46,19,43,19,7,98,4.9,81,3,2,5,5,2,252.0,12.6,195.0,12.0,11.0,14.0,12.0,8.0,28.0,1.4,17.0,3.0,1.0,2.0,4.0,1.0
Manchester Utd,485,24.25,400,23,15,27,14,6,55,2.75,45,2,4,2,2,0,416.0,20.8,289.0,48.0,20.0,32.0,22.0,5.0,41.0,2.05,30.0,2.0,0.0,4.0,4.0,1.0
Newcastle Utd,512,25.6,357,59,21,36,33,6,49,2.45,33,3,5,5,2,1,371.0,18.55,270.0,27.0,24.0,25.0,17.0,8.0,21.0,1.05,17.0,2.0,1.0,1.0,0.0,0.0
Nott'ham Forest,347,17.35,249,28,16,24,19,11,22,1.1,9,2,1,9,1,0,510.0,25.5,379.0,44.0,19.0,37.0,27.0,4.0,61.0,3.05,49.0,5.0,0.0,4.0,2.0,1.0
Southampton,389,19.45,280,45,18,20,22,4,30,1.5,18,3,5,1,3,0,438.0,21.9,337.0,32.0,17.0,27.0,15.0,10.0,57.0,2.85,44.0,5.0,2.0,2.0,3.0,1.0
Tottenham,519,24.71,400,35,23,27,21,13,65,3.1,47,5,3,6,2,2,514.0,24.48,402.0,36.0,18.0,27.0,25.0,6.0,55.0,2.62,42.0,2.0,5.0,5.0,1.0,0.0
West Ham,476,23.8,350,42,16,41,18,9,27,1.35,14,2,2,6,3,0,416.0,20.8,322.0,31.0,18.0,24.0,16.0,5.0,43.0,2.15,33.0,2.0,2.0,4.0,2.0,0.0
Wolves,407,20.35,305,31,19,26,19,7,21,1.05,19,0,1,1,0,0,,,,,,,,,,,,,,,,
