,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Gls_Opp,Sh_Opp,SoT_Opp,SoT%_Opp,Sh/90_Opp,SoT/90_Opp,G/Sh_Opp,G/SoT_Opp,Dist_Opp,FK_Opp,PK_Opp,PKatt_Opp,xG_Opp,npxG_Opp,npxG/Sh_Opp,G-xG_Opp,np:G-xG_Opp
Arsenal,43,307,103,33.6,16.16,5.42,0.14,0.41,15.8,10,1,1,37.3,36.8,0.12,5.7,5.2,15.0,159.0,56.0,35.2,8.37,2.95,0.08,0.23,17.0,4.0,2.0,3.0,17.0,14.6,0.09,-2.0,-1.6
Aston Villa,23,227,79,34.8,11.35,3.95,0.09,0.27,18.5,9,2,2,24.6,23.1,0.1,-1.6,-2.1,24.0,226.0,79.0,35.0,11.3,3.95,0.1,0.28,16.6,8.0,2.0,3.0,26.5,24.2,0.11,-2.5,-2.2
Bournemouth,19,167,63,37.7,8.35,3.15,0.11,0.3,16.0,9,0,0,15.2,15.2,0.09,3.8,3.8,40.0,315.0,94.0,29.8,15.75,4.7,0.11,0.36,17.4,9.0,6.0,6.0,33.1,28.4,0.09,6.9,5.6
Brentford,31,197,78,39.6,9.85,3.9,0.13,0.33,15.9,7,5,5,27.4,23.6,0.12,3.6,2.4,26.0,304.0,111.0,36.5,15.2,5.55,0.08,0.23,19.0,7.0,1.0,1.0,25.7,25.0,0.08,0.3,0.0
Brighton,33,256,98,38.3,13.47,5.16,0.12,0.31,16.9,6,3,3,29.1,26.9,0.11,3.9,3.1,24.0,181.0,61.0,33.7,9.53,3.21,0.1,0.31,16.2,6.0,5.0,6.0,23.9,19.1,0.11,0.1,-0.1
Chelsea,22,230,78,33.9,11.5,3.9,0.09,0.26,16.4,3,2,2,23.8,22.3,0.1,-1.8,-2.3,19.0,225.0,85.0,37.8,11.25,4.25,0.08,0.22,16.4,5.0,0.0,0.0,26.4,26.4,0.12,-7.4,-7.4
Crystal Palace,17,216,73,33.8,10.8,3.65,0.08,0.23,18.4,12,0,2,18.3,16.6,0.08,-1.3,0.4,26.0,270.0,88.0,32.6,13.5,4.4,0.1,0.3,15.6,7.0,0.0,0.0,27.6,27.6,0.11,-1.6,-1.6
Everton,14,197,66,33.5,9.85,3.3,0.07,0.2,16.9,5,1,1,20.4,19.6,0.1,-6.4,-6.6,28.0,318.0,103.0,32.4,15.9,5.15,0.08,0.25,16.2,9.0,2.0,2.0,33.5,32.0,0.1,-5.5,-6.0
Fulham,29,240,80,33.3,11.43,3.81,0.1,0.31,16.2,8,4,7,28.5,23.0,0.1,0.5,2.0,30.0,280.0,110.0,39.3,13.33,5.24,0.1,0.25,16.0,11.0,3.0,3.0,35.4,33.6,0.12,-5.4,-6.6
Leeds United,25,236,73,30.9,12.42,3.84,0.1,0.33,17.2,12,1,2,25.8,24.2,0.11,-0.8,-0.2,32.0,251.0,88.0,35.1,13.21,4.63,0.12,0.34,17.1,9.0,2.0,2.0,29.7,28.2,0.11,2.3,1.8
Leicester City,26,212,78,36.8,10.6,3.9,0.12,0.32,18.3,8,1,2,22.7,21.1,0.1,3.3,3.9,32.0,269.0,88.0,32.7,13.45,4.4,0.11,0.34,17.1,8.0,2.0,2.0,32.1,30.7,0.12,-0.1,-0.7
Liverpool,30,314,111,35.4,16.53,5.84,0.1,0.27,15.7,2,0,0,33.5,33.5,0.11,-3.5,-3.5,24.0,194.0,85.0,43.8,10.21,4.47,0.11,0.26,15.6,6.0,2.0,3.0,27.1,25.1,0.13,-3.1,-3.1
Manchester City,52,331,111,33.5,16.55,5.55,0.15,0.43,16.8,7,4,4,41.4,38.3,0.12,10.6,9.7,19.0,146.0,47.0,32.2,7.3,2.35,0.12,0.36,18.2,6.0,2.0,2.0,15.6,14.0,0.1,3.4,3.0
Manchester Utd,30,272,101,37.1,13.6,5.05,0.11,0.29,18.2,11,1,1,29.6,28.8,0.11,0.4,0.2,25.0,242.0,77.0,31.8,12.1,3.85,0.1,0.31,16.7,12.0,1.0,1.0,23.5,22.8,0.1,1.5,1.2
Newcastle Utd,32,287,96,33.4,14.35,4.8,0.1,0.3,15.9,10,3,3,32.8,30.5,0.11,-0.8,-1.5,11.0,209.0,61.0,29.2,10.45,3.05,0.05,0.16,17.8,5.0,1.0,2.0,17.7,16.2,0.08,-6.7,-6.2
Nott'ham Forest,15,211,61,28.9,10.55,3.05,0.07,0.23,17.7,9,1,2,23.1,21.5,0.1,-8.1,-7.5,35.0,278.0,92.0,33.1,13.9,4.6,0.12,0.36,16.7,14.0,2.0,5.0,30.4,26.7,0.1,4.6,6.3
Southampton,17,224,70,31.3,11.2,3.5,0.08,0.24,17.3,9,0,1,19.7,18.7,0.09,-2.7,-1.7,32.0,248.0,79.0,31.9,12.4,3.95,0.13,0.41,16.6,7.0,0.0,1.0,26.1,25.3,0.11,5.9,6.7
Tottenham,38,289,110,38.1,13.76,5.24,0.12,0.33,16.3,8,2,3,30.5,28.2,0.1,7.5,7.8,30.0,297.0,93.0,31.3,14.14,4.43,0.1,0.31,18.7,11.0,1.0,1.0,25.5,24.7,0.08,4.5,4.3
West Ham,17,267,69,25.8,13.35,3.45,0.05,0.19,18.4,7,4,6,25.6,21.6,0.08,-8.6,-8.6,24.0,232.0,79.0,34.1,11.6,3.95,0.09,0.28,18.0,7.0,2.0,3.0,22.3,19.9,0.09,1.7,2.1
Wolves,12,229,61,26.6,11.45,3.05,0.04,0.16,18.3,12,2,2,18.9,17.4,0.08,-6.9,-7.4,,,,,,,,,,,,,,,,,
