,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving
,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Touches_Opp,Def_Pen_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Att_Pen_Opp,Live_Opp,Succ_Opp,Att_Opp,Succ%_Opp,Mis_Opp,Dis_Opp,Rec_Opp,Prog_Opp
Arsenal,12497,962,3164,5726,3712,640,12496,153,352,43.5,284,204,8575,639,9986.0,1449.0,3986.0,4090.0,2008.0,300.0,9982.0,89.0,242.0,36.8,246.0,170.0,6089.0,309.0
Aston Villa,11533,1355,3981,5061,2598,365,11530,106,296,35.8,305,206,7211,478,12076.0,1162.0,4015.0,5427.0,2737.0,431.0,12073.0,117.0,325.0,36.0,286.0,206.0,7756.0,492.0
Bournemouth,10314,1498,4193,4099,2156,330,10314,121,317,38.2,304,211,6033,361,13955.0,1021.0,3721.0,6296.0,4055.0,517.0,13949.0,125.0,299.0,41.8,306.0,193.0,9694.0,674.0
Brentford,10317,1403,3941,4057,2400,386,10312,105,282,37.2,297,197,5752,384,12877.0,1148.0,3531.0,5701.0,3760.0,498.0,12876.0,142.0,316.0,44.9,333.0,174.0,8377.0,571.0
Brighton,12780,1235,4007,5563,3297,506,12777,106,275,38.5,282,172,8867,613,10230.0,1337.0,3930.0,4156.0,2231.0,356.0,10224.0,106.0,278.0,38.1,278.0,184.0,6284.0,393.0
Chelsea,14059,1374,4597,6147,3422,469,14057,127,342,37.1,307,213,9716,578,10927.0,1310.0,3818.0,4449.0,2767.0,387.0,10927.0,129.0,366.0,35.2,309.0,217.0,6533.0,484.0
Crystal Palace,11588,1479,4249,4954,2509,358,11586,157,390,40.3,352,263,7100,445,13316.0,1232.0,4056.0,5985.0,3382.0,560.0,13316.0,118.0,322.0,36.6,317.0,239.0,8837.0,665.0
Everton,11329,1412,4116,4881,2449,370,11328,109,311,35.0,327,176,7001,385,12633.0,1164.0,3788.0,5602.0,3347.0,547.0,12631.0,98.0,274.0,35.8,301.0,218.0,8398.0,569.0
Fulham,11940,1366,3926,5193,2947,425,11933,106,276,38.4,323,211,7311,489,13094.0,1424.0,4665.0,5679.0,2862.0,501.0,13091.0,104.0,316.0,32.9,319.0,181.0,8388.0,589.0
Leeds United,11202,1040,3517,4960,2832,387,11200,120,322,37.3,311,188,6568,518,11317.0,1224.0,4040.0,4907.0,2464.0,403.0,11315.0,189.0,441.0,42.9,312.0,237.0,6725.0,473.0
Leicester City,13000,1414,4592,5921,2582,352,12998,88,254,34.6,310,164,8745,533,12517.0,1178.0,3955.0,5563.0,3108.0,440.0,12515.0,143.0,353.0,40.5,263.0,195.0,8308.0,539.0
Liverpool,14119,1231,4153,6575,3472,634,14119,127,302,42.1,300,219,9747,744,10703.0,1576.0,4380.0,4237.0,2191.0,382.0,10700.0,126.0,281.0,44.8,315.0,167.0,6164.0,449.0
Manchester City,15981,1067,3794,7723,4563,713,15977,146,334,43.7,214,174,12334,769,9644.0,1863.0,4731.0,3333.0,1669.0,254.0,9642.0,94.0,242.0,38.8,232.0,130.0,5918.0,333.0
Manchester Utd,12653,1383,4207,5317,3228,483,12652,104,289,36.0,263,148,8254,565,11851.0,1395.0,4074.0,4794.0,3092.0,514.0,11850.0,119.0,341.0,34.9,302.0,181.0,7480.0,513.0
Newcastle Utd,11384,1143,3545,4643,3310,581,11381,119,354,33.6,280,194,6944,583,11141.0,1435.0,4067.0,4645.0,2542.0,401.0,11139.0,137.0,347.0,39.5,277.0,169.0,6662.0,465.0
Nott'ham Forest,10024,1449,4051,3908,2182,314,10022,106,263,40.3,286,168,5603,339,13677.0,1128.0,3931.0,6320.0,3528.0,535.0,13672.0,89.0,284.0,31.3,302.0,198.0,9422.0,623.0
Southampton,10988,1255,3827,4552,2734,403,10987,146,350,41.7,302,215,6242,415,13167.0,1291.0,4328.0,5900.0,3064.0,472.0,13166.0,118.0,308.0,38.3,327.0,235.0,8505.0,634.0
Tottenham,13638,1515,4861,5850,3020,478,13635,132,327,40.4,314,209,9227,624,13400.0,1341.0,3826.0,5959.0,3722.0,503.0,13399.0,119.0,308.0,38.6,297.0,197.0,8911.0,557.0
West Ham,11122,1222,3773,4772,2669,385,11116,98,275,35.6,252,175,6931,479,13615.0,1420.0,4377.0,6146.0,3213.0,447.0,13612.0,119.0,296.0,40.2,299.0,186.0,9307.0,582.0
Wolves,11728,1500,4457,4625,2777,385,11726,145,371,39.1,293,174,7573,533,,,,,,,,,,,,,,
