Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Arsenal,9,8,1,0,25,10,15,25,2.78,21.7,7.2,14.4,1.6
2,Manchester City,11,9,1,1,38,12,26,28,2.55,25.0,7.1,17.9,1.62
3,Newcastle Utd,10,6,4,0,18,5,13,22,2.2,19.9,7.6,12.3,1.23
4,Manchester Utd,9,7,1,1,17,5,12,22,2.44,14.6,8.6,6.1,0.67
5,Tottenham,10,6,0,4,21,15,6,18,1.8,17.4,10.4,6.9,0.69
6,Brighton,9,4,2,3,16,10,6,14,1.56,14.6,11.2,3.4,0.38
7,Fulham,11,5,3,3,18,16,2,18,1.64,15.7,17.2,-1.5,-0.14
8,Brentford,10,5,4,1,20,10,10,19,1.9,15.8,12.2,3.6,0.36
9,Liverpool,10,6,3,1,23,9,14,21,2.1,19.3,11.6,7.7,0.77
10,Chelsea,9,5,2,2,13,7,6,17,1.89,11.2,11.9,-0.7,-0.08
11,Aston Villa,10,5,2,3,15,11,4,17,1.7,14.2,12.9,1.4,0.14
12,Crystal Palace,11,4,3,4,11,16,-5,15,1.36,10.4,14.7,-4.2,-0.39
13,Nott'ham Forest,10,4,3,3,13,12,1,15,1.5,14.0,13.1,0.9,0.09
14,Leicester City,10,2,3,5,11,12,-1,9,0.9,8.6,12.4,-3.9,-0.39
15,Leeds United,10,3,4,3,15,14,1,13,1.3,12.5,15.4,-2.9,-0.29
16,West Ham,10,4,1,5,11,12,-1,13,1.3,12.9,11.3,1.6,0.16
17,Wolves,10,3,2,5,6,14,-8,11,1.1,9.6,14.4,-4.9,-0.49
18,Bournemouth,10,3,3,4,10,11,-1,12,1.2,8.7,12.7,-4.0,-0.4
19,Everton,10,2,2,6,9,14,-5,8,0.8,11.8,14.5,-2.6,-0.26
20,Southampton,10,1,3,6,9,17,-8,6,0.6,11.2,12.8,-1.6,-0.16
