,SCA,SCA,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA,GCA,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,SCA_Opp,SCA_Opp,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA_Opp,GCA_Opp,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types
,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,SCA_Opp,SCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp,GCA_Opp,GCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp
Arsenal,1079,28.39,830,53,70,65,53,8,131,3.45,95,8,7,12,7,2,730,19.21,504,78,53,38,42,15,89,2.34,69,4,7,4,4,1
Bournemouth,809,21.29,582,78,52,43,39,15,83,2.18,53,8,5,8,7,2,954,25.11,702,77,67,53,37,18,108,2.84,77,5,9,10,6,1
Brighton,684,18.0,489,73,46,37,31,8,60,1.58,43,3,4,4,6,0,968,25.47,683,71,85,60,59,10,86,2.26,53,10,13,7,3,0
Burnley,665,17.5,441,88,36,43,48,9,58,1.53,37,4,4,11,2,0,1032,27.16,784,78,60,59,39,12,68,1.79,45,4,6,8,3,2
Chelsea,1115,29.34,840,83,81,54,46,11,110,2.89,84,7,8,3,8,0,665,17.5,482,50,43,37,37,16,57,1.5,40,3,5,6,3,0
Crystal Palace,834,21.95,528,83,90,56,60,17,78,2.05,50,3,7,9,9,0,807,21.24,573,73,65,45,35,16,90,2.37,55,6,12,11,4,2
Everton,627,16.5,454,58,31,31,41,12,71,1.87,41,4,8,9,5,4,948,24.95,675,87,71,59,41,15,106,2.79,76,7,11,9,2,1
Huddersfield,621,16.34,444,52,38,35,36,16,45,1.18,29,4,6,3,3,0,766,20.16,531,83,53,43,44,12,99,2.61,70,6,6,8,6,3
Leicester City,728,19.16,495,83,60,45,38,7,94,2.47,68,8,6,5,7,0,865,22.76,647,63,62,46,32,15,105,2.76,71,10,7,9,6,2
Liverpool,1138,29.95,861,71,96,58,35,17,144,3.79,98,5,27,8,5,1,493,12.97,332,53,35,25,42,6,66,1.74,41,5,5,8,6,1
Manchester City,1209,31.82,943,73,76,52,52,13,193,5.08,150,8,16,7,10,2,406,10.68,242,48,44,22,36,14,41,1.08,30,1,6,2,2,0
Manchester Utd,916,24.11,700,54,68,45,38,11,117,3.08,81,6,12,12,5,1,787,20.71,583,62,62,40,30,10,46,1.21,30,4,3,4,4,1
Newcastle Utd,782,20.58,561,72,45,45,39,20,63,1.66,43,7,2,10,1,0,859,22.61,629,77,58,47,36,12,81,2.13,63,2,5,6,4,1
Southampton,797,20.97,589,71,54,41,32,10,65,1.71,40,5,9,6,5,0,884,23.26,644,74,52,55,50,9,98,2.58,72,9,1,12,4,0
Stoke City,669,17.61,463,69,41,44,41,11,62,1.63,39,8,4,7,3,1,1030,27.11,755,78,67,60,61,9,111,2.92,82,5,8,8,8,0
Swansea City,581,15.29,396,57,47,37,33,11,40,1.05,23,7,1,6,1,2,953,25.08,720,67,53,49,47,17,87,2.29,54,6,6,11,9,1
Tottenham,1091,28.71,811,75,68,72,51,14,114,3.0,81,7,8,11,7,0,609,16.03,417,70,43,30,34,15,57,1.5,36,8,3,3,6,1
Watford,764,20.11,526,73,59,47,40,19,69,1.82,41,5,8,10,5,0,715,18.82,501,76,51,35,46,6,113,2.97,69,10,17,8,9,0
West Brom,648,17.05,449,78,39,33,38,11,51,1.34,35,6,4,3,3,0,924,24.32,680,68,68,49,49,10,100,2.63,67,7,14,7,5,0
West Ham,657,17.29,457,64,58,23,48,7,79,2.08,51,5,9,7,5,2,1019,26.82,775,75,63,54,42,10,119,3.13,82,6,11,10,10,0
