Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,16,2,1,61,14,47,50,2.63,43.5,10.7,32.7,1.72
2,Manchester Utd,19,15,2,2,38,9,29,47,2.47,31.9,15.1,16.8,0.88
3,Tottenham,19,13,4,2,40,16,24,43,2.26,34.4,15.0,19.4,1.02
4,Liverpool,19,12,7,0,45,10,35,43,2.26,40.9,10.6,30.3,1.6
5,Chelsea,19,11,4,4,30,16,14,37,1.95,30.3,14.9,15.4,0.81
6,Arsenal,19,15,2,2,54,20,34,47,2.47,44.5,21.0,23.6,1.24
7,Burnley,19,7,5,7,16,17,-1,26,1.37,17.2,24.2,-7.0,-0.37
8,Everton,19,10,4,5,28,22,6,34,1.79,21.3,22.9,-1.7,-0.09
9,Leicester City,19,7,6,6,25,22,3,27,1.42,26.9,19.4,7.5,0.39
10,Newcastle Utd,19,8,4,7,21,17,4,28,1.47,22.3,20.7,1.5,0.08
11,Crystal Palace,19,7,5,7,29,27,2,26,1.37,33.8,20.7,13.2,0.69
12,Bournemouth,19,7,5,7,26,30,-4,26,1.37,23.5,28.0,-4.5,-0.24
13,West Ham,19,7,6,6,24,26,-2,27,1.42,18.2,21.4,-3.2,-0.17
14,Watford,19,7,6,6,27,31,-4,27,1.42,22.7,25.7,-3.0,-0.16
15,Brighton,19,7,8,4,24,25,-1,29,1.53,23.8,22.0,1.8,0.1
16,Huddersfield,19,6,5,8,16,25,-9,23,1.21,17.4,21.2,-3.8,-0.2
17,Southampton,19,4,7,8,20,26,-6,19,1.0,23.4,18.0,5.4,0.28
18,Swansea City,19,6,3,10,17,24,-7,21,1.11,21.0,25.5,-4.5,-0.23
19,Stoke City,19,5,5,9,20,30,-10,20,1.05,20.0,29.3,-9.4,-0.49
20,West Brom,19,3,9,7,21,29,-8,18,0.95,22.1,20.3,1.9,0.1
