,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA_Opp,PKA_Opp,FK_Opp,CK_Opp,OG_Opp,PSxG_Opp,PSxG/SoT_Opp,PSxG+/-_Opp,/90_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Att_Opp,Thr_Opp,Launch%_Opp,AvgLen_Opp,Att_Opp,Launch%_Opp,AvgLen_Opp,Opp_Opp,Stp_Opp,Stp%_Opp,#OPA_Opp,#OPA/90_Opp,AvgDist_Opp
Arsenal,51,5,0,6,0,48.4,0.29,-2.6,-0.07,164,460,35.7,925,250,32.9,33.7,253,61.7,47.3,508,39,7.7,59,1.55,14.3,74,4,0,10,1,78.7,0.33,5.7,0.15,310,817,37.9,879,129,62.1,45.1,311,87.1,60.6,455,16,3.5,46,1.21,14.8
Bournemouth,61,2,2,7,1,54.8,0.31,-5.2,-0.14,223,647,34.5,832,215,45.7,38.9,328,81.4,55.5,611,35,5.7,18,0.47,10.2,45,3,1,10,0,40.5,0.25,-4.5,-0.12,320,830,38.6,968,108,61.8,44.5,273,85.0,57.7,545,24,4.4,29,0.76,13.7
Brighton,54,1,1,15,5,48.8,0.28,-0.2,-0.01,345,875,39.4,823,122,66.5,44.5,352,93.2,57.9,623,38,6.1,17,0.45,10.2,34,5,0,3,1,33.7,0.25,0.7,0.02,233,675,34.5,964,165,46.3,38.6,282,81.2,57.8,526,36,6.8,46,1.21,13.4
Burnley,39,3,0,4,1,47.3,0.28,9.3,0.25,382,1074,35.6,1004,140,76.5,43.6,329,93.0,66.1,662,59,8.9,40,1.05,12.5,36,0,1,3,1,33.0,0.27,-2.0,-0.05,285,833,34.2,1058,149,55.7,42.0,279,87.5,59.9,561,41,7.3,57,1.5,14.7
Chelsea,38,2,0,2,2,35.1,0.29,-0.9,-0.02,169,468,36.1,1034,226,32.0,33.4,263,52.1,45.7,479,27,5.6,29,0.76,13.8,62,3,2,5,2,59.9,0.27,-0.1,0.0,274,756,36.2,953,173,52.3,41.3,310,83.2,58.8,544,26,4.8,37,0.97,13.6
Crystal Palace,55,2,1,11,2,51.5,0.3,-1.5,-0.04,312,826,37.8,777,110,68.5,46.7,316,93.0,62.8,612,37,6.0,32,0.84,13.5,45,8,1,7,1,48.6,0.29,4.6,0.12,274,632,43.4,790,138,50.4,40.8,328,71.3,54.4,533,25,4.7,31,0.82,14.3
Everton,58,3,0,6,0,56.1,0.3,-1.9,-0.05,322,945,34.1,984,162,64.0,43.4,340,92.6,67.2,591,27,4.6,51,1.34,14.9,44,5,0,3,2,41.4,0.29,-0.6,-0.02,273,689,39.6,910,141,52.4,41.1,268,79.1,56.2,504,25,5.0,51,1.34,14.6
Huddersfield,58,4,0,6,1,51.7,0.3,-5.3,-0.14,360,891,40.4,1083,103,59.4,44.2,304,81.6,57.9,493,31,6.3,55,1.45,14.4,28,2,0,3,3,29.9,0.26,4.9,0.13,219,632,34.7,940,144,47.0,38.6,264,72.0,53.5,601,23,3.8,57,1.5,17.0
Leicester City,60,2,3,11,2,50.5,0.29,-7.5,-0.2,338,875,38.6,973,134,60.4,43.5,307,93.5,63.3,563,28,5.0,66,1.74,16.4,56,5,1,8,3,47.0,0.29,-6.0,-0.16,235,665,35.3,838,141,53.1,41.5,275,80.0,55.7,568,45,7.9,47,1.24,13.2
