Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,0,0,0,0,16,1,15,0,0.0,8.299999999999997,-2.4000000000000004,10.600000000000001,0.56
2,Manchester Utd,0,5,-2,-3,8,-10,18,13,0.6800000000000002,8.099999999999998,-10.500000000000002,18.5,0.97
3,Tottenham,0,3,0,-3,6,-4,10,9,0.46999999999999975,4.099999999999998,-3.8999999999999986,7.999999999999998,0.42000000000000004
4,Liverpool,0,3,2,-5,6,-18,24,11,0.5799999999999998,9.0,-12.500000000000002,21.5,1.1400000000000001
5,Chelsea,0,1,1,-2,-2,-6,4,4,0.20999999999999996,6.199999999999999,-3.9999999999999982,10.2,0.54
6,Arsenal,0,11,-2,-9,34,-11,45,31,1.6300000000000003,20.8,-5.800000000000001,26.700000000000003,1.4
7,Burnley,0,0,-2,2,-4,-5,1,-2,-0.09999999999999987,2.0999999999999996,-2.8000000000000007,4.800000000000001,0.25
8,Everton,0,7,-2,-5,12,-14,26,19,1.0,2.1000000000000014,-6.5,8.5,0.45000000000000007
9,Leicester City,0,2,1,-3,-6,-16,10,7,0.3699999999999999,3.799999999999997,-9.3,13.1,0.6799999999999999
10,Newcastle Utd,0,4,0,-4,3,-13,16,12,0.63,2.900000000000002,-11.0,13.8,0.73
11,Crystal Palace,0,3,-1,-2,13,-1,14,8,0.42000000000000015,14.099999999999998,-6.900000000000002,21.1,1.1099999999999999
12,Bournemouth,0,3,-1,-2,7,-1,8,8,0.42000000000000015,8.3,-3.1999999999999993,11.4,0.6
13,West Ham,0,4,0,-4,0,-16,16,12,0.6299999999999999,-0.40000000000000213,-12.399999999999999,12.0,0.63
14,Watford,0,3,4,-7,10,-2,12,13,0.6799999999999999,0.3999999999999986,-0.40000000000000213,0.7999999999999998,0.04000000000000001
15,Brighton,0,5,3,-8,14,-4,18,18,0.9500000000000001,10.600000000000001,-6.800000000000001,17.4,0.9199999999999999
16,Huddersfield,0,3,0,-3,4,-8,12,9,0.47,3.4999999999999982,-6.100000000000001,9.600000000000001,0.49999999999999994
17,Southampton,0,1,-1,0,3,-4,7,2,0.10999999999999999,6.899999999999999,-9.2,16.1,0.8400000000000001
18,Swansea City,0,4,-3,-1,6,-8,14,9,0.4800000000000001,10.4,-7.700000000000003,18.1,0.96
19,Stoke City,0,3,-2,-1,5,-8,13,7,0.37,3.5,-3.900000000000002,7.299999999999999,0.39
20,West Brom,0,0,5,-5,11,2,9,5,0.2699999999999999,7.800000000000001,-7.399999999999999,15.200000000000001,0.7999999999999999
