Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,16,2,1,45,13,32,50,2.63,35.2,13.1,22.1,1.16
2,Manchester Utd,19,10,4,5,30,19,11,34,1.79,23.8,25.6,-1.7,-0.09
3,Tottenham,19,10,4,5,34,20,14,34,1.79,30.3,18.9,11.4,0.6
4,Liverpool,19,9,5,5,39,28,11,32,1.68,31.9,23.1,8.8,0.46
5,Chelsea,19,10,3,6,32,22,10,33,1.74,24.1,18.9,5.2,0.27
6,Arsenal,19,4,4,11,20,31,-11,16,0.84,23.7,26.8,-3.1,-0.16
7,Burnley,19,7,7,5,20,22,-2,28,1.47,15.1,27.0,-11.8,-0.62
8,Everton,19,3,6,10,16,36,-20,15,0.79,19.2,29.4,-10.2,-0.54
9,Leicester City,19,5,5,9,31,38,-7,20,1.05,23.1,28.7,-5.6,-0.29
10,Newcastle Utd,19,4,4,11,18,30,-12,16,0.84,19.4,31.7,-12.3,-0.65
11,Crystal Palace,19,4,6,9,16,28,-12,18,0.95,19.7,27.6,-7.9,-0.42
12,Bournemouth,19,4,6,9,19,31,-12,18,0.95,15.2,31.2,-15.9,-0.84
13,West Ham,19,3,6,10,24,42,-18,15,0.79,18.6,33.8,-15.2,-0.8
14,Watford,19,4,2,13,17,33,-16,14,0.74,22.3,26.1,-3.8,-0.2
15,Brighton,19,2,5,12,10,29,-19,11,0.58,13.2,28.8,-15.6,-0.82
16,Huddersfield,19,3,5,11,12,33,-21,14,0.74,13.9,27.3,-13.4,-0.7
17,Southampton,19,3,8,8,17,30,-13,17,0.89,16.5,27.2,-10.7,-0.56
18,Swansea City,19,2,6,11,11,32,-21,12,0.63,10.6,33.2,-22.6,-1.19
19,Stoke City,19,2,7,10,15,38,-23,13,0.68,16.5,33.2,-16.7,-0.88
20,West Brom,19,3,4,12,10,27,-17,13,0.68,14.3,27.7,-13.3,-0.7
