Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,1.0,1.0,1.0,1.0,1.3555555555555556,1.0769230769230769,1.46875,1.0,1.0,1.2357954545454544,0.8167938931297709,1.4796380090497738,1.4827586206896552
2,Manchester Utd,1.0,1.5,0.5,0.4,1.2666666666666666,0.47368421052631576,2.6363636363636362,1.3823529411764706,1.3798882681564246,1.3403361344537814,0.58984375,-9.882352941176471,-9.777777777777779
3,Tottenham,1.0,1.3,1.0,0.4,1.1764705882352942,0.8,1.7142857142857142,1.2647058823529411,1.2625698324022345,1.1353135313531353,0.7936507936507937,1.701754385964912,1.7000000000000002
4,Liverpool,1.0,1.3333333333333333,1.4,0.0,1.1538461538461537,0.35714285714285715,3.1818181818181817,1.34375,1.3452380952380951,1.2821316614420062,0.4588744588744588,3.443181818181818,3.4782608695652173
5,Chelsea,1.0,1.1,1.3333333333333333,0.6666666666666666,0.9375,0.7272727272727273,1.4,1.121212121212121,1.1206896551724137,1.2572614107883817,0.7883597883597885,2.9615384615384617,3.0
6,Arsenal,1.0,3.75,0.5,0.18181818181818182,2.7,0.6451612903225806,-3.090909090909091,2.9375,2.9404761904761907,1.877637130801688,0.7835820895522387,-7.612903225806452,-7.75
7,Burnley,1.0,1.0,0.7142857142857143,1.4,0.8,0.7727272727272727,0.5,0.9285714285714286,0.9319727891156463,1.1390728476821192,0.8962962962962963,0.5932203389830508,0.5967741935483871
8,Everton,1.0,3.3333333333333335,0.6666666666666666,0.5,1.75,0.6111111111111112,-0.3,2.2666666666666666,2.2658227848101267,1.109375,0.7789115646258503,0.16666666666666669,0.16666666666666666
9,Leicester City,1.0,1.4,1.2,0.6666666666666666,0.8064516129032258,0.5789473684210527,-0.42857142857142855,1.35,1.3523809523809522,1.1645021645021643,0.6759581881533101,-1.3392857142857144,-1.3448275862068968
10,Newcastle Utd,1.0,2.0,1.0,0.6363636363636364,1.1666666666666667,0.5666666666666667,-0.3333333333333333,1.75,1.75,1.1494845360824744,0.6529968454258674,-0.12195121951219512,-0.12307692307692307
11,Crystal Palace,1.0,1.75,0.8333333333333334,0.7777777777777778,1.8125,0.9642857142857143,-0.16666666666666666,1.4444444444444444,1.442105263157895,1.7157360406091369,0.7499999999999999,-1.670886075949367,-1.6428571428571428
12,Bournemouth,1.0,1.75,0.8333333333333334,0.7777777777777778,1.368421052631579,0.967741935483871,0.3333333333333333,1.4444444444444444,1.442105263157895,1.5460526315789473,0.8974358974358975,0.2830188679245283,0.2857142857142857
13,West Ham,1.0,2.3333333333333335,1.0,0.6,1.0,0.6190476190476191,0.1111111111111111,1.8,1.7974683544303796,0.9784946236559139,0.6331360946745562,0.2105263157894737,0.2125
14,Watford,1.0,1.75,3.0,0.46153846153846156,1.588235294117647,0.9393939393939394,0.25,1.9285714285714286,1.9189189189189189,1.0179372197309415,0.9846743295019156,0.7894736842105263,0.7999999999999999
15,Brighton,1.0,3.5,1.6,0.3333333333333333,2.4,0.8620689655172413,0.05263157894736842,2.6363636363636362,2.637931034482759,1.8030303030303032,0.7638888888888888,-0.11538461538461539,-0.12195121951219513
16,Huddersfield,1.0,2.0,1.0,0.7272727272727273,1.3333333333333333,0.7575757575757576,0.42857142857142855,1.6428571428571428,1.635135135135135,1.251798561151079,0.7765567765567765,0.2835820895522388,0.28571428571428575
17,Southampton,1.0,1.3333333333333333,0.875,1.0,1.1764705882352942,0.8666666666666667,0.46153846153846156,1.1176470588235294,1.1235955056179776,1.418181818181818,0.6617647058823529,-0.5046728971962617,-0.5
18,Swansea City,1.0,3.0,0.5,0.9090909090909091,1.5454545454545454,0.75,0.3333333333333333,1.75,1.761904761904762,1.9811320754716981,0.7680722891566264,0.1991150442477876,0.19327731092436976
19,Stoke City,1.0,2.5,0.7142857142857143,0.9,1.3333333333333333,0.7894736842105263,0.43478260869565216,1.5384615384615385,1.5441176470588236,1.2121212121212122,0.8825301204819277,0.562874251497006,0.5568181818181818
20,West Brom,1.0,1.0,2.25,0.5833333333333334,2.1,1.0740740740740742,0.47058823529411764,1.3846153846153846,1.3970588235294117,1.5454545454545454,0.7328519855595669,-0.14285714285714285,-0.14285714285714288
