,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing
,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Cmp_Opp,Att_Opp,Cmp%_Opp,TotDist_Opp,PrgDist_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Ast_Opp,xAG_Opp,xA_Opp,A-xAG_Opp,KP_Opp,1/3_Opp,PPA_Opp,CrsPA_Opp,Prog_Opp
Arsenal,20878,25193,82.9,353044,121347,9800,10957,89.4,8683,9926,87.5,1749,2912,60.1,61,53.3,55.2,7.7,444,1658,478,49,1631,11792,15903,74.1,215755,86237,5290,6114,86.5,4568,5677,80.5,1472,3072,47.9,38,32.9,30.5,5.1,306,926,257,73,875
Bournemouth,13450,17962,74.9,251393,100293,5626,6838,82.3,5928,7241,81.9,1638,3176,51.6,36,29.1,30.3,6.9,348,1220,291,67,1119,14958,19663,76.1,277808,102645,6472,7432,87.1,6057,7353,82.4,1930,3701,52.1,44,43.7,41.6,0.3,400,1277,364,87,1244
Brighton,11838,16372,72.3,227791,89036,4898,5881,83.3,4601,5764,79.8,1872,3610,51.9,25,26.2,22.5,-1.2,283,885,193,65,901,17192,21606,79.6,297958,104866,8012,9029,88.7,6962,8240,84.5,1682,3235,52.0,36,34.1,39.3,1.9,396,1456,329,72,1318
Burnley,10524,15340,68.6,209049,89785,4349,5306,82.0,4168,5417,76.9,1695,3719,45.6,26,23.6,23.5,2.4,278,974,213,89,826,15271,20149,75.8,269569,103168,7060,8121,86.9,5989,7369,81.3,1686,3498,48.2,29,38.0,33.3,-9.0,443,1216,358,98,1153
Chelsea,18967,23101,82.1,329238,111568,8564,9566,89.5,7753,8910,87.0,1892,3091,61.2,42,41.5,43.3,0.5,482,1431,398,74,1424,14641,18643,78.5,267666,97036,6332,7201,87.9,6090,7148,85.2,1764,3272,53.9,26,24.4,26.3,1.6,280,1209,240,60,991
Crystal Palace,11809,16114,73.3,208774,89988,5714,6694,85.4,4344,5524,78.6,1358,2967,45.8,26,33.3,28.6,-7.3,331,1037,273,58,974,15474,20017,77.3,281019,104003,6857,7987,85.9,6149,7418,82.9,1897,3311,57.3,40,36.2,36.5,3.8,334,1302,324,82,1211
Everton,11953,16472,72.6,221336,88826,5380,6360,84.6,4511,5598,80.6,1579,3385,46.6,26,24.7,24.5,1.3,263,1044,211,70,867,15346,20161,76.1,269335,102578,7164,8319,86.1,5926,7307,81.1,1688,3339,50.6,51,38.2,34.0,12.8,389,1285,344,69,1212
Huddersfield,12036,16822,71.5,222821,88700,5283,6357,83.1,4787,6127,78.1,1549,3270,47.4,19,23.7,19.8,-4.7,260,937,180,77,816,16103,20856,77.2,292360,111839,6810,7967,85.5,6920,8151,84.9,1883,3462,54.4,41,32.4,31.7,8.6,313,1379,286,59,1309
Leicester City,12357,17124,72.2,226358,89043,5532,6632,83.4,4543,5830,77.9,1720,3430,50.1,38,34.9,31.1,3.1,297,1010,225,72,911,14205,18852,75.4,251349,96968,6646,7717,86.1,5483,6826,80.3,1612,3171,50.8,47,36.7,34.0,10.3,378,1282,314,73,1200
