,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Gls_Opp,Sh_Opp,SoT_Opp,SoT%_Opp,Sh/90_Opp,SoT/90_Opp,G/Sh_Opp,G/SoT_Opp,Dist_Opp,FK_Opp,PK_Opp,PKatt_Opp,xG_Opp,npxG_Opp,npxG/Sh_Opp,G-xG_Opp,np:G-xG_Opp
Arsenal,73,589,223,37.9,15.5,5.87,0.12,0.31,17.9,30,4,5,68.3,64.3,0.11,4.7,4.7,51,418,141,33.7,11.0,3.71,0.11,0.33,17.3,12,5,6,47.8,43.1,0.1,3.2,2.9
Bournemouth,45,462,153,33.1,12.16,4.03,0.09,0.27,18.3,15,3,3,38.8,36.4,0.08,6.2,5.6,60,544,167,30.7,14.32,4.39,0.11,0.35,17.4,15,2,3,59.2,56.8,0.11,0.8,1.2
Brighton,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37.0,31.8,0.09,-4.0,-3.8,49,552,169,30.6,14.53,4.45,0.09,0.28,18.6,33,1,3,50.8,48.4,0.09,-1.8,-0.4
Burnley,35,378,126,33.3,9.95,3.32,0.09,0.28,17.0,16,0,0,32.3,32.3,0.09,2.7,2.7,38,565,156,27.6,14.87,4.11,0.06,0.22,18.6,13,3,5,51.2,47.7,0.09,-13.2,-12.7
Chelsea,60,603,210,34.8,15.87,5.53,0.09,0.27,17.9,20,3,3,54.4,52.0,0.09,5.6,5.0,36,375,115,30.7,9.87,3.03,0.09,0.3,18.3,11,2,2,33.8,32.2,0.09,2.2,1.8
Crystal Palace,44,466,134,28.8,12.26,3.53,0.08,0.27,17.8,20,8,10,53.5,45.9,0.1,-9.5,-9.9,53,464,168,36.2,12.21,4.42,0.11,0.3,17.4,20,2,2,48.2,46.7,0.1,4.8,4.3
Everton,42,351,110,31.3,9.24,2.89,0.11,0.34,17.6,8,5,8,40.5,34.1,0.1,1.5,2.9,58,536,174,32.5,14.11,4.58,0.1,0.32,18.8,19,3,5,52.4,48.7,0.09,5.6,6.3
Huddersfield,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8,57,433,152,35.1,11.39,4.0,0.12,0.35,17.4,19,4,6,48.5,43.8,0.11,8.5,9.2
Leicester City,53,417,137,32.9,10.97,3.61,0.12,0.35,17.6,11,5,6,50.0,45.3,0.11,3.0,2.7,58,485,160,33.0,12.76,4.21,0.12,0.35,18.7,16,2,4,48.1,45.0,0.09,9.9,11.0
Liverpool,82,635,226,35.6,16.71,5.95,0.13,0.35,17.7,22,2,3,72.9,70.6,0.11,9.1,9.4,38,276,98,35.5,7.26,2.58,0.12,0.35,17.6,11,4,6,33.8,29.0,0.11,4.2,5.0
Manchester City,103,656,254,38.7,17.26,6.68,0.15,0.38,17.8,30,6,8,78.6,72.7,0.11,24.4,24.3,25,234,83,35.5,6.16,2.18,0.11,0.3,18.5,10,0,2,23.8,22.2,0.1,1.2,2.8
Manchester Utd,67,509,170,33.4,13.39,4.47,0.13,0.39,18.4,21,1,3,55.7,53.3,0.11,11.3,12.7,26,435,142,32.6,11.45,3.74,0.06,0.18,17.9,12,1,1,40.7,39.9,0.09,-14.7,-14.9
Newcastle Utd,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9,44,471,142,30.1,12.39,3.74,0.08,0.28,17.5,13,4,6,52.4,47.6,0.1,-8.4,-7.6
Southampton,36,447,136,30.4,11.76,3.58,0.07,0.24,18.1,11,3,3,39.9,37.6,0.09,-3.9,-4.6,56,490,163,33.3,12.89,4.29,0.11,0.34,18.7,19,1,2,45.2,43.6,0.09,10.8,11.4
Stoke City,34,380,122,32.1,10.0,3.21,0.09,0.28,18.1,11,0,3,36.5,34.1,0.09,-2.5,-0.1,66,574,211,36.8,15.11,5.55,0.11,0.29,17.7,26,5,5,62.5,58.6,0.11,3.5,2.4
Swansea City,27,338,95,28.1,8.89,2.5,0.08,0.27,18.2,15,1,1,31.6,30.8,0.1,-4.6,-4.8,54,533,184,34.5,14.03,4.84,0.1,0.28,17.7,16,3,6,58.6,53.8,0.1,-4.6,-2.8
Tottenham,70,620,209,33.7,16.32,5.5,0.11,0.33,18.4,28,2,3,64.7,62.3,0.1,5.3,5.7,35,353,122,34.6,9.29,3.21,0.09,0.27,16.9,10,2,3,33.9,31.5,0.09,1.1,1.5
Watford,42,434,126,29.0,11.42,3.32,0.09,0.31,17.9,10,3,6,45.0,40.2,0.09,-3.0,-1.2,63,407,150,36.9,10.71,3.95,0.14,0.38,17.0,17,6,6,51.8,47.2,0.12,11.2,9.8
West Brom,31,377,111,29.4,9.92,2.92,0.08,0.27,17.7,15,1,1,36.5,35.7,0.1,-5.5,-5.7,54,515,153,29.7,13.55,4.03,0.1,0.35,18.9,28,1,1,47.9,47.1,0.09,6.1,5.9
West Ham,48,368,127,34.5,9.68,3.34,0.13,0.36,18.2,17,2,4,36.7,33.6,0.09,11.3,12.4,67,557,181,32.5,14.66,4.76,0.11,0.34,18.9,19,5,6,55.1,50.7,0.09,11.9,11.3
