,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks,Blocks,Blocks,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks_Opp,Blocks_Opp,Blocks_Opp,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending
,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Tkl_Opp,TklW_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Tkl_Opp,Att_Opp,Tkl%_Opp,Past_Opp,Blocks_Opp,Sh_Opp,Pass_Opp,Int_Opp,Tkl+Int_Opp,Clr_Opp,Err_Opp
Arsenal,623,425,312,227,84,218,581,37.5,363,372,103,269,427,1050,879,33,576,347,293,216,67,164,547,30.0,383,508,164,344,584,1160,1079,15
Bournemouth,509,324,272,187,50,198,525,37.7,327,453,160,293,367,876,1129,25,714,500,316,316,82,293,636,46.1,343,441,129,312,555,1269,980,13
Brighton,599,380,360,205,34,205,642,31.9,437,430,190,240,449,1048,1182,18,483,327,239,182,62,188,487,38.6,299,351,96,255,385,868,854,14
Burnley,533,355,272,217,44,204,553,36.9,349,457,191,266,400,933,1300,8,472,332,244,185,43,127,345,36.8,218,318,92,226,339,811,1134,14
Chelsea,636,426,321,251,64,208,550,37.8,342,365,107,258,424,1060,842,24,635,427,326,236,73,221,734,30.1,513,478,173,305,547,1182,1006,19
Crystal Palace,686,447,393,237,56,260,666,39.0,406,466,117,349,552,1238,1110,22,721,447,332,288,101,239,718,33.3,479,404,137,267,409,1130,1034,25
Everton,644,447,360,206,78,223,612,36.4,389,426,160,266,514,1158,1308,22,578,374,279,232,67,197,461,42.7,264,417,88,329,408,986,929,19
Huddersfield,743,502,354,306,83,249,630,39.5,381,453,118,335,518,1261,1129,22,631,433,316,272,43,215,491,43.8,276,408,106,302,440,1071,1081,15
Leicester City,630,417,332,249,49,208,616,33.8,408,465,130,335,414,1044,1007,17,653,437,326,253,74,294,716,41.1,422,374,115,259,402,1055,1084,18
Liverpool,637,450,265,285,87,196,521,37.6,325,388,71,317,379,1016,788,12,658,435,373,240,45,210,649,32.4,439,465,174,291,506,1164,1111,39
Manchester City,563,381,257,215,91,195,561,34.8,366,328,53,275,346,909,620,19,635,416,418,169,48,229,732,31.3,503,473,152,321,599,1234,989,24
Manchester Utd,564,369,275,218,71,173,555,31.2,382,382,112,270,481,1045,926,20,669,447,388,218,63,270,736,36.7,466,456,165,291,438,1107,1068,15
Newcastle Utd,645,426,338,255,52,221,638,34.6,417,475,117,358,441,1086,1219,17,640,429,306,248,86,229,533,43.0,304,389,118,271,379,1019,1058,25
Southampton,658,454,342,250,66,244,605,40.3,361,455,128,327,462,1120,1034,25,530,343,281,191,58,151,530,28.5,379,452,117,335,420,950,1057,19
Stoke City,678,437,370,252,56,228,600,38.0,372,424,142,282,461,1139,1265,20,585,408,281,237,67,182,507,35.9,325,346,96,250,330,915,908,17
Swansea City,610,417,286,241,83,221,550,40.2,329,411,124,287,390,1000,1019,21,644,423,322,245,77,205,523,39.2,318,379,102,277,399,1043,936,10
Tottenham,618,399,272,259,87,212,537,39.5,325,360,74,286,380,998,878,22,743,485,427,266,50,282,718,39.3,436,503,181,322,531,1274,1192,33
Watford,668,432,337,263,68,237,609,38.9,372,359,98,261,467,1135,997,17,643,426,315,261,67,233,565,41.2,332,463,115,348,439,1082,1183,18
West Brom,603,385,336,204,63,218,625,34.9,407,420,148,272,470,1073,1087,9,652,424,314,260,78,205,526,39.0,321,323,88,235,344,996,1059,20
West Ham,621,410,327,238,56,235,620,37.9,385,437,154,283,482,1103,1085,17,606,423,285,250,71,219,642,34.1,423,378,89,289,370,976,1062,18
