,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks
,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,GA_Opp,GA90_Opp,SoTA_Opp,Saves_Opp,Save%_Opp,CS_Opp,CS%_Opp,PKatt_Opp,PKA_Opp,PKsv_Opp,PKm_Opp,Save%_Opp
Arsenal,51,1.34,147,94,68.7,13,34.2,6,5,1,0,16.7,74,1.95,228,154,69.3,6,15.8,5,4,1,0,20.0
Bournemouth,61,1.61,170,109,65.3,6,15.8,3,2,1,0,33.3,45,1.18,156,111,73.1,12,31.6,3,3,0,0,0.0
Brighton,54,1.42,172,121,69.2,10,26.3,3,1,2,0,66.7,34,0.89,116,82,75.0,17,44.7,7,5,1,1,16.7
Burnley,39,1.03,160,121,77.5,12,31.6,5,3,1,1,25.0,36,0.95,126,91,71.4,13,34.2,0,0,0,0,
Chelsea,38,1.0,117,81,69.2,16,42.1,2,2,0,0,0.0,62,1.63,213,153,72.3,8,21.1,3,3,0,0,0.0
Crystal Palace,55,1.45,170,117,68.8,9,23.7,2,2,0,0,0.0,45,1.18,144,98,74.3,14,36.8,10,8,2,0,20.0
Everton,58,1.53,178,119,69.1,10,26.3,5,3,1,1,25.0,44,1.16,118,73,66.9,11,28.9,8,5,3,0,37.5
Huddersfield,58,1.53,158,99,65.8,10,26.3,6,4,2,0,33.3,28,0.74,108,82,75.9,21,55.3,2,2,0,0,0.0
Leicester City,60,1.58,164,104,64.6,9,23.7,4,2,2,0,50.0,56,1.47,143,89,64.3,8,21.1,6,5,1,0,16.7
Liverpool,38,1.0,104,64,67.3,17,44.7,6,4,2,0,33.3,84,2.21,229,146,64.2,7,18.4,3,2,1,0,33.3
Manchester City,27,0.71,85,58,68.2,18,47.4,2,0,2,0,100.0,106,2.79,261,157,61.7,2,5.3,8,6,1,1,14.3
Manchester Utd,28,0.74,143,117,81.1,19,50.0,1,1,0,0,0.0,68,1.79,173,104,61.3,8,21.1,3,1,2,0,66.7
Newcastle Utd,47,1.24,148,102,70.9,9,23.7,6,4,2,0,33.3,39,1.03,147,108,73.5,14,36.8,1,0,1,0,100.0
Southampton,56,1.47,165,108,66.7,8,21.1,2,1,1,0,50.0,37,0.97,139,103,75.5,14,36.8,3,3,0,0,0.0
Stoke City,68,1.79,216,150,70.8,6,15.8,5,5,0,0,0.0,35,0.92,125,88,72.0,13,34.2,3,0,3,0,100.0
Swansea City,56,1.47,190,133,72.1,9,23.7,6,3,3,0,50.0,28,0.74,96,69,71.9,18,47.4,1,1,0,0,0.0
Tottenham,36,0.95,124,89,72.6,16,42.1,3,2,0,1,0.0,74,1.95,212,141,66.0,4,10.5,3,2,1,0,33.3
Watford,64,1.68,156,93,62.8,9,23.7,6,6,0,0,0.0,44,1.16,131,87,68.7,14,36.8,6,3,2,1,40.0
West Brom,56,1.47,154,100,64.3,10,26.3,1,1,0,0,0.0,31,0.82,112,81,73.2,13,34.2,1,1,0,0,0.0
West Ham,68,1.79,187,119,66.3,10,26.3,6,5,1,0,16.7,48,1.26,131,81,64.9,9,23.7,4,2,2,0,50.0
