,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving
,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Touches_Opp,Def_Pen_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Att_Pen_Opp,Live_Opp,Succ_Opp,Att_Opp,Succ%_Opp,Mis_Opp,Dis_Opp,Rec_Opp,Prog_Opp
Arsenal,29053,2215,7507,13534,8229,1098,29048,383,547,70.0,540,412,20681,1612,20177,2500,6879,8788,4764,686,20171,363,581,62.5,496,405,11593,851
Bournemouth,22169,2423,7646,9442,5325,780,22166,343,638,53.8,564,419,13269,1095,23898,2308,6919,11094,6139,926,23895,327,525,62.3,540,311,14750,1224
Brighton,20405,2540,7482,8745,4410,585,20398,299,487,61.4,496,296,11679,883,25318,1929,6239,12533,6807,874,25315,437,642,68.1,530,394,17045,1300
Burnley,19387,2386,6339,8939,4291,586,19387,218,345,63.2,489,345,10359,806,24067,2190,7403,10698,6199,893,24062,349,553,63.1,539,329,15050,1113
Chelsea,27032,2311,8072,12024,7255,992,27029,513,734,69.9,533,414,18771,1395,22793,2380,6868,10992,5158,593,22791,342,552,62.0,541,428,14470,960
Crystal Palace,20724,2199,6624,9112,5240,797,20714,479,718,66.7,618,482,11644,950,24313,2165,6931,11283,6344,826,24311,406,666,61.0,546,426,15267,1181
Everton,20931,2432,7102,9188,4846,599,20923,264,461,57.3,616,381,11776,846,24200,1975,6923,11018,6516,868,24195,389,612,63.6,567,421,15118,1176
Huddersfield,21271,2283,7050,9481,5004,526,21269,276,491,56.2,546,416,11815,794,25019,2108,7090,12509,5655,744,25014,381,630,60.5,592,494,15925,1283
Leicester City,21251,2225,6517,10083,4918,673,21245,422,718,58.8,516,358,12160,887,23023,2127,6728,10517,6041,813,23019,408,618,66.0,549,420,14008,1174
Liverpool,28648,1845,6981,14741,7209,1056,28645,440,652,67.5,574,447,20158,1735,20500,2841,7442,9453,3825,461,20494,325,521,62.4,556,441,11683,797
Manchester City,33531,1774,6972,17196,9637,1250,33523,503,732,68.7,553,406,25968,1727,16106,2752,7040,6312,2958,356,16104,366,562,65.1,460,369,8261,536
Manchester Utd,25803,2218,6990,11998,7031,891,25801,466,736,63.3,512,399,17580,1168,21902,2379,6968,9859,5327,737,21901,383,556,68.9,500,390,13481,1075
Newcastle Utd,20102,2275,6896,8953,4486,598,20101,304,535,56.8,523,410,10901,885,26080,2092,6862,12975,6495,804,26074,417,640,65.2,529,422,17058,1284
Southampton,23078,2062,6339,11412,5589,698,23075,379,531,71.4,495,379,14124,1130,22296,2210,6695,9928,5917,743,22294,361,605,59.7,529,414,13466,1005
Stoke City,18885,2513,6398,8529,4222,593,18882,325,507,64.1,532,403,9933,861,24966,1943,6646,12197,6412,933,24961,372,600,62.0,550,450,16202,1261
Swansea City,21191,2452,7069,9865,4489,529,21190,318,523,60.8,503,439,13047,844,25785,1966,6720,12583,6724,887,25779,329,550,59.8,492,389,17490,1319
Tottenham,27705,2087,7159,13440,7379,938,27702,436,719,60.6,534,460,19042,1650,19121,2722,7410,7981,3944,591,19118,325,538,60.4,538,405,10130,752
Watford,21628,2101,6330,10194,5338,778,21622,332,565,58.8,547,410,12556,1027,22363,2350,7175,10304,5116,746,22357,372,610,61.0,576,432,13263,1002
West Brom,19132,2311,6723,8196,4425,584,19131,321,527,60.9,532,446,10303,772,26142,2041,6954,12407,7055,787,26141,407,626,65.0,537,386,17424,1367
West Ham,20404,2280,6224,9832,4602,590,20400,423,642,65.9,503,389,11584,819,24261,1954,6528,11473,6529,873,24255,385,621,62.0,559,385,15666,1226
