,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels
,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,CrdY_Opp,CrdR_Opp,2CrdY_Opp,Fls_Opp,Fld_Opp,Off_Opp,Crs_Opp,Int_Opp,TklW_Opp,PKwon_Opp,PKcon_Opp,OG_Opp,Recov_Opp,Won_Opp,Lost_Opp,Won%_Opp
Arsenal,,,0,383,377,89,572,427,425,5,6,0,2148,630,660,48.8,52,4,1,391,362,78,666,584,347,5,5,1,2086,660,630,51.2
Bournemouth,,,1,339,411,52,707,367,324,2,3,1,1956,698,750,48.2,73,1,1,439,323,122,806,555,500,3,3,0,2225,750,698,51.8
Brighton,,,0,413,277,98,680,449,380,7,3,5,2122,796,777,50.6,30,2,1,293,397,51,802,385,327,3,7,1,1981,777,796,49.4
Burnley,,,0,350,422,100,707,400,355,0,5,1,1875,912,967,48.5,45,6,2,443,332,54,876,339,332,5,0,1,2065,967,912,51.5
Chelsea,,,2,363,405,108,755,424,426,3,2,2,2233,602,506,54.3,75,1,1,417,341,55,626,547,427,2,3,2,2062,506,602,45.7
Crystal Palace,,,0,425,404,56,703,552,447,9,2,2,2156,752,708,51.5,72,3,2,414,409,76,792,409,447,2,10,1,2163,708,752,48.5
Everton,,,2,460,364,82,629,514,447,8,5,0,2046,760,852,47.1,49,5,3,383,444,59,802,408,374,3,8,2,2115,852,760,52.9
Huddersfield,,,2,397,363,67,765,518,502,2,6,1,2141,788,800,49.6,56,4,1,377,384,118,637,440,433,6,2,3,2157,800,788,50.4
Leicester City,,,4,364,357,92,744,414,417,6,4,2,2154,787,752,51.1,52,1,0,368,353,79,752,402,437,3,6,3,2135,752,787,48.9
Liverpool,,,0,344,305,70,764,379,450,3,6,0,2258,585,650,47.4,50,0,0,324,329,97,504,506,435,6,3,2,2093,650,585,52.6
Manchester City,,,2,344,354,67,691,346,381,8,2,2,2104,512,418,55.1,77,3,1,366,324,97,364,599,416,2,8,3,1832,418,512,44.9
Manchester Utd,,,0,405,422,88,753,481,369,1,1,2,2133,617,493,55.6,69,1,1,435,392,52,642,438,447,1,3,1,2104,493,617,44.4
Newcastle Utd,,,1,409,369,63,616,441,426,1,6,3,2021,884,927,48.8,62,0,0,388,391,79,805,379,429,6,1,1,2104,927,884,51.2
Southampton,,,1,416,377,73,800,462,454,3,2,0,2222,687,821,45.6,51,2,0,397,409,46,718,420,343,2,3,1,2009,821,687,54.4
Stoke City,,,0,436,375,87,598,461,437,2,5,2,1832,974,774,55.7,49,0,0,392,418,90,844,330,408,5,3,1,2054,774,974,44.3
Swansea City,,,0,377,400,38,694,390,417,1,6,2,1877,687,769,47.2,68,0,0,414,358,79,789,399,423,5,1,1,2086,769,687,52.8
Tottenham,,,1,384,394,88,825,380,399,3,3,1,2142,605,583,50.9,75,1,0,407,368,113,596,531,485,3,3,4,2130,583,605,49.1
Watford,,,1,441,381,74,713,467,432,6,6,1,2105,841,883,48.8,65,3,2,393,425,117,676,439,426,5,6,2,2125,883,841,51.2
West Brom,,,0,440,345,79,784,470,385,0,1,2,2094,785,784,50.0,56,1,1,365,423,52,783,344,424,1,1,0,2019,784,785,50.0
West Ham,,,1,379,450,97,733,482,410,4,6,1,2017,743,771,49.1,55,1,1,463,370,54,753,370,423,6,4,0,2091,771,743,50.9
