,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected
,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,xG,npxG,xAG,npxG+xAG,Gls_Opp_Opp,Ast_Opp_Opp,G-PK_Opp_Opp,PK_Opp_Opp,PKatt_Opp_Opp,CrdY_Opp_Opp,CrdR_Opp_Opp,Gls_Opp_Opp,Ast_Opp_Opp,G+A_Opp_Opp,G-PK_Opp_Opp,G+A-PK_Opp_Opp,xG_Opp_Opp,xAG_Opp_Opp,xG+xAG_Opp_Opp,npxG_Opp_Opp,npxG+xAG_Opp_Opp,xG_Opp_Opp,npxG_Opp_Opp,xAG_Opp_Opp,npxG+xAG_Opp_Opp
Arsenal,69,52,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,1.58,1.23,2.81,1.47,2.7,60.1,56.0,46.7,102.7,50.0,32.0,43.0,7.0,7.0,76.0,2.0,1.32,0.84,2.16,1.13,1.97,1.43,0.97,2.39,1.28,2.25,54.2,48.7,36.8,85.5
Bournemouth,55,43,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,1.4,1.02,2.42,1.22,2.24,53.3,46.2,38.8,85.0,67.0,48.0,62.0,5.0,5.0,91.0,9.0,1.76,1.26,3.03,1.63,2.89,1.5,1.03,2.53,1.4,2.43,57.2,53.2,39.0,92.2
Brighton,35,24,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,0.93,0.64,1.57,0.81,1.45,35.3,30.7,24.5,55.2,60.0,39.0,50.0,10.0,10.0,52.0,2.0,1.58,1.03,2.61,1.32,2.34,1.56,1.02,2.58,1.35,2.37,59.1,51.4,38.7,90.1
Burnley,43,32,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,1.17,0.82,1.99,1.13,1.95,44.4,42.8,31.2,74.0,64.0,43.0,62.0,2.0,3.0,58.0,3.0,1.68,1.13,2.82,1.63,2.76,1.63,1.19,2.82,1.57,2.76,62.1,59.7,45.2,104.9
Cardiff City,33,20,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,1.11,0.73,1.84,1.03,1.76,42.4,39.2,27.6,66.8,69.0,53.0,65.0,4.0,7.0,49.0,3.0,1.82,1.39,3.21,1.71,3.11,1.62,1.14,2.76,1.47,2.61,61.5,56.0,43.4,99.3
Chelsea,61,52,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,1.54,1.18,2.72,1.44,2.62,58.6,54.6,44.9,99.6,39.0,30.0,38.0,1.0,2.0,63.0,0.0,1.03,0.79,1.82,1.0,1.79,0.96,0.72,1.67,0.91,1.63,36.4,34.7,27.2,62.0
Crystal Palace,48,33,38,10,11,58,2,1.26,0.87,2.13,1.0,1.87,1.25,0.78,2.03,1.03,1.81,47.6,39.2,29.5,68.7,52.0,35.0,48.0,4.0,5.0,62.0,2.0,1.37,0.92,2.29,1.26,2.18,1.32,0.94,2.26,1.23,2.17,50.1,46.6,35.7,82.3
Everton,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,1.31,0.89,2.19,1.2,2.09,49.7,45.7,33.7,79.4,44.0,24.0,42.0,2.0,5.0,77.0,2.0,1.16,0.63,1.79,1.11,1.74,1.2,0.82,2.02,1.1,1.92,45.7,41.7,31.2,72.9
Fulham,33,24,31,2,3,70,2,0.87,0.63,1.5,0.82,1.45,1.09,0.79,1.88,1.03,1.82,41.3,39.0,30.0,69.0,79.0,59.0,74.0,5.0,7.0,43.0,0.0,2.08,1.55,3.63,1.95,3.5,1.79,1.27,3.06,1.65,2.92,68.2,62.7,48.2,110.9
Huddersfield,21,13,20,1,1,56,4,0.55,0.34,0.89,0.53,0.87,0.76,0.52,1.28,0.74,1.26,28.8,28.0,19.9,47.9,75.0,56.0,68.0,7.0,8.0,66.0,2.0,1.97,1.47,3.45,1.79,3.26,1.6,1.19,2.79,1.44,2.63,60.9,54.7,45.2,99.9
Leicester City,48,34,43,5,7,60,5,1.26,0.89,2.16,1.13,2.03,1.38,0.99,2.37,1.24,2.23,52.4,47.3,37.6,84.9,48.0,36.0,43.0,5.0,5.0,70.0,6.0,1.26,0.95,2.21,1.13,2.08,1.15,0.81,1.96,1.05,1.86,43.7,39.8,30.7,70.5
