,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels
,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,CrdY_Opp,CrdR_Opp,2CrdY_Opp,Fls_Opp,Fld_Opp,Off_Opp,Crs_Opp,Int_Opp,TklW_Opp,PKwon_Opp,PKcon_Opp,OG_Opp,Recov_Opp,Won_Opp,Lost_Opp,Won%_Opp
Arsenal,73,2,1,412,455,89,605,412,366,4,7,1,2000,555,637,46.6,76.0,2.0,1.0,469.0,385.0,94.0,627.0,525.0,362.0,7.0,5.0,4.0,2025.0,637.0,555.0,53.4
Bournemouth,60,1,0,340,441,57,613,371,299,8,5,3,1910,701,736,48.8,91.0,9.0,4.0,456.0,326.0,84.0,753.0,423.0,388.0,4.0,9.0,1.0,2044.0,736.0,701.0,51.2
Brighton,61,4,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4,52.0,2.0,1.0,322.0,441.0,37.0,725.0,399.0,346.0,9.0,6.0,0.0,1989.0,780.0,824.0,48.6
Burnley,75,1,0,360,356,106,692,367,311,1,3,4,1955,1016,1025,49.8,58.0,3.0,1.0,376.0,344.0,46.0,811.0,307.0,291.0,2.0,2.0,2.0,1976.0,1025.0,1016.0,50.2
Cardiff City,66,1,0,374,390,77,562,529,375,2,7,0,1975,966,966,50.0,49.0,3.0,0.0,415.0,360.0,36.0,662.0,314.0,326.0,6.0,4.0,1.0,1976.0,966.0,966.0,50.0
Chelsea,49,0,0,339,424,83,692,353,365,5,2,0,2171,523,504,50.9,63.0,0.0,0.0,431.0,326.0,77.0,511.0,568.0,403.0,2.0,5.0,2.0,2047.0,504.0,523.0,49.1
Crystal Palace,58,2,1,386,391,78,577,445,446,10,5,1,1996,680,706,49.1,62.0,2.0,1.0,408.0,375.0,61.0,840.0,426.0,422.0,4.0,11.0,3.0,2147.0,706.0,680.0,50.9
Everton,56,4,1,432,418,69,814,453,441,4,5,2,2157,872,877,49.9,77.0,2.0,1.0,440.0,420.0,85.0,568.0,410.0,430.0,5.0,5.0,1.0,2116.0,877.0,872.0,50.1
Fulham,70,2,2,423,342,90,611,434,362,2,7,2,2072,742,718,50.8,43.0,0.0,0.0,354.0,405.0,79.0,808.0,446.0,428.0,5.0,3.0,1.0,2094.0,718.0,742.0,49.2
Huddersfield,56,4,1,420,370,63,768,531,425,1,9,1,2063,844,807,51.1,66.0,2.0,0.0,385.0,399.0,75.0,526.0,427.0,387.0,7.0,1.0,1.0,2151.0,807.0,844.0,48.9
Leicester City,60,5,3,351,378,72,779,438,393,6,5,0,2087,811,679,54.4,70.0,6.0,3.0,401.0,334.0,88.0,698.0,480.0,378.0,3.0,7.0,3.0,2095.0,679.0,811.0,45.6
Liverpool,39,2,2,315,347,77,721,314,377,7,1,0,2111,593,587,50.3,48.0,1.0,0.0,367.0,297.0,124.0,472.0,499.0,412.0,1.0,7.0,3.0,2013.0,587.0,593.0,49.7
Manchester City,44,1,0,328,301,98,783,362,327,4,4,0,2000,540,522,50.8,54.0,2.0,0.0,310.0,311.0,62.0,359.0,448.0,379.0,4.0,4.0,4.0,1679.0,522.0,540.0,49.2
Manchester Utd,75,4,2,433,397,90,638,355,347,11,6,3,1969,687,550,55.5,67.0,1.0,1.0,409.0,411.0,72.0,662.0,442.0,385.0,5.0,12.0,0.0,2020.0,550.0,687.0,44.5
Newcastle Utd,57,2,0,423,332,59,711,506,433,2,6,1,2034,785,914,46.2,58.0,1.0,0.0,349.0,410.0,63.0,834.0,351.0,367.0,5.0,3.0,1.0,2080.0,914.0,785.0,53.8
Southampton,73,3,2,420,341,61,666,549,428,4,3,3,2053,767,873,46.8,62.0,1.0,1.0,352.0,403.0,88.0,710.0,377.0,348.0,2.0,5.0,1.0,2035.0,873.0,767.0,53.2
Tottenham,57,3,1,376,364,74,643,325,373,3,5,3,2107,599,611,49.5,61.0,2.0,0.0,386.0,361.0,107.0,662.0,504.0,383.0,4.0,4.0,1.0,2082.0,611.0,599.0,50.5
Watford,79,4,1,433,382,89,570,428,391,1,5,3,2021,753,797,48.6,50.0,3.0,3.0,403.0,423.0,115.0,741.0,451.0,392.0,5.0,1.0,1.0,2154.0,797.0,753.0,51.4
West Ham,59,1,0,331,388,71,631,457,393,5,5,1,2104,636,620,50.6,57.0,1.0,0.0,401.0,319.0,125.0,711.0,409.0,414.0,5.0,6.0,1.0,2209.0,620.0,636.0,49.4
Wolves,73,1,0,409,325,73,622,501,408,4,4,4,2239,803,788,50.5,,,,,,,,,,,,,,,,
