,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks,Blocks,Blocks,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks_Opp,Blocks_Opp,Blocks_Opp,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending
,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Tkl_Opp,TklW_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Tkl_Opp,Att_Opp,Tkl%_Opp,Past_Opp,Blocks_Opp,Sh_Opp,Pass_Opp,Int_Opp,Tkl+Int_Opp,Clr_Opp,Err_Opp
Arsenal,609,366,294,236,79,228,535,42.6,307,424,118,306,412,1021,798,28,641.0,362.0,306.0,247.0,88.0,232.0,536.0,43.3,304.0,496.0,132.0,364.0,525.0,1166.0,841.0,28.0
Bournemouth,525,299,285,185,55,216,494,43.7,278,405,152,253,371,896,1098,21,643.0,388.0,297.0,272.0,74.0,287.0,578.0,49.7,291.0,472.0,102.0,370.0,423.0,1066.0,830.0,14.0
Brighton,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17,583.0,346.0,272.0,223.0,88.0,247.0,516.0,47.9,269.0,367.0,87.0,280.0,399.0,982.0,711.0,13.0
Burnley,584,311,280,246,58,237,539,44.0,302,516,222,294,367,951,1156,19,477.0,291.0,236.0,189.0,52.0,163.0,370.0,44.1,207.0,329.0,84.0,245.0,307.0,784.0,952.0,11.0
Cardiff City,655,375,357,234,64,241,607,39.7,366,490,147,343,529,1184,1034,18,546.0,326.0,283.0,217.0,46.0,214.0,474.0,45.1,260.0,373.0,117.0,256.0,314.0,860.0,987.0,15.0
Chelsea,618,365,280,245,93,241,541,44.5,300,357,73,284,353,971,645,16,712.0,403.0,371.0,266.0,75.0,253.0,702.0,36.0,449.0,561.0,194.0,367.0,568.0,1280.0,978.0,21.0
Crystal Palace,733,446,398,270,65,281,590,47.6,309,441,141,300,445,1178,1011,17,763.0,422.0,358.0,307.0,98.0,290.0,667.0,43.5,377.0,432.0,132.0,300.0,426.0,1189.0,886.0,14.0
Everton,699,441,326,290,83,220,511,43.1,291,414,85,329,453,1152,877,21,728.0,430.0,329.0,324.0,75.0,258.0,586.0,44.0,328.0,462.0,139.0,323.0,410.0,1138.0,1046.0,20.0
Fulham,596,362,310,231,55,224,524,42.7,300,425,144,281,434,1030,1030,28,700.0,428.0,298.0,306.0,96.0,214.0,566.0,37.8,352.0,377.0,110.0,267.0,446.0,1146.0,765.0,18.0
Huddersfield,708,425,323,315,70,263,625,42.1,362,496,130,366,531,1239,682,15,612.0,387.0,302.0,269.0,41.0,213.0,443.0,48.1,230.0,437.0,115.0,322.0,427.0,1039.0,1014.0,19.0
Leicester City,675,393,344,277,54,237,549,43.2,312,429,96,333,438,1113,1034,24,629.0,378.0,292.0,262.0,75.0,272.0,664.0,41.0,392.0,434.0,134.0,300.0,480.0,1109.0,928.0,19.0
Liverpool,613,377,257,280,76,251,556,45.1,305,361,78,283,314,927,670,16,687.0,412.0,411.0,231.0,45.0,263.0,619.0,42.5,356.0,477.0,141.0,336.0,499.0,1186.0,1101.0,21.0
Manchester City,518,327,214,215,89,193,467,41.3,274,319,63,256,362,880,570,15,688.0,379.0,469.0,192.0,27.0,296.0,733.0,40.4,437.0,493.0,191.0,302.0,448.0,1136.0,1133.0,27.0
Manchester Utd,581,347,280,239,62,240,544,44.1,304,445,128,317,355,936,847,26,655.0,385.0,330.0,249.0,76.0,231.0,552.0,41.8,321.0,430.0,129.0,301.0,442.0,1097.0,898.0,21.0
Newcastle Utd,711,433,356,291,64,241,565,42.7,324,472,135,337,506,1217,1204,16,608.0,367.0,281.0,257.0,70.0,207.0,443.0,46.7,236.0,389.0,116.0,273.0,351.0,959.0,922.0,18.0
Southampton,698,428,335,283,80,277,646,42.9,369,533,153,380,549,1247,1128,18,601.0,348.0,320.0,222.0,59.0,221.0,508.0,43.5,287.0,406.0,134.0,272.0,377.0,978.0,889.0,23.0
Tottenham,627,373,310,237,80,268,577,46.4,309,415,112,303,325,952,823,20,651.0,383.0,338.0,245.0,68.0,302.0,672.0,44.9,370.0,501.0,141.0,360.0,504.0,1155.0,937.0,33.0
Watford,656,391,350,243,63,257,622,41.3,365,404,120,284,428,1084,1022,18,669.0,392.0,328.0,255.0,86.0,251.0,543.0,46.2,292.0,418.0,125.0,293.0,451.0,1120.0,998.0,17.0
West Ham,723,393,385,279,59,295,697,42.3,402,488,142,346,457,1180,926,16,669.0,414.0,307.0,290.0,72.0,279.0,668.0,41.8,389.0,457.0,115.0,342.0,409.0,1078.0,807.0,16.0
Wolves,720,408,385,284,51,283,664,42.6,381,499,148,351,501,1221,895,23,,,,,,,,,,,,,,,,
