,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,M_G_Indv
0,1,Manchester City,38,32,2,4,95,23,72,98,2.58,84.3,24.7,59.6,1.57,54130, 21
1,2,Liverpool,38,30,7,1,89,22,67,97,2.55,73.7,28.8,44.9,1.18,52983, 22
2,3,Chelsea,38,21,9,8,63,39,24,72,1.89,58.6,36.4,22.2,0.58,40437, 16
3,4,Tottenham,38,23,2,13,67,39,28,71,1.87,54.9,47.1,7.8,0.2,54216, 17
4,5,Arsenal,38,21,7,10,73,51,22,70,1.84,60.1,54.2,5.9,0.15,59899, 22
5,6,Manchester Utd,38,19,9,10,65,54,11,66,1.74,61.4,50.6,10.8,0.29,74498, 13
6,7,Wolves,38,16,9,13,47,46,1,57,1.5,52.1,42.1,10.1,0.26,31030, 13
7,8,Everton,38,15,9,14,54,46,8,54,1.42,49.7,45.7,4.0,0.1,39043, 13
8,9,Leicester City,38,15,7,16,51,48,3,52,1.37,52.4,43.7,8.7,0.23,31851, 18
9,10,West Ham,38,15,7,16,52,55,-3,52,1.37,47.6,61.9,-14.3,-0.38,58336, 10
10,11,Watford,38,14,8,16,52,59,-7,50,1.32,48.2,59.2,-11.0,-0.29,20016, 10
11,12,Crystal Palace,38,14,7,17,51,53,-2,49,1.29,47.6,50.1,-2.5,-0.07,25455, 12
12,13,Newcastle Utd,38,12,9,17,42,48,-6,45,1.18,39.1,53.6,-14.5,-0.38,51121, 12
13,14,Bournemouth,38,13,6,19,56,70,-14,45,1.18,53.3,57.2,-3.9,-0.1,10532, 14
14,15,Burnley,38,11,7,20,45,68,-23,40,1.05,44.4,62.1,-17.7,-0.47,20534, 12
15,16,Southampton,38,9,12,17,45,65,-20,39,1.03,46.9,55.1,-8.2,-0.22,30139, 7
16,17,Brighton,38,9,9,20,35,60,-25,36,0.95,35.3,59.1,-23.8,-0.63,30426, 13
17,18,Cardiff City,38,10,4,24,34,69,-35,34,0.89,42.4,61.5,-19.1,-0.5,31408, 5
18,19,Fulham,38,7,5,26,34,81,-47,26,0.68,41.3,68.2,-26.8,-0.71,24371, 11
19,20,Huddersfield,38,3,7,28,22,76,-54,16,0.42,28.8,60.9,-32.2,-0.85,23203, 4
