,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA_Opp,PKA_Opp,FK_Opp,CK_Opp,OG_Opp,PSxG_Opp,PSxG/SoT_Opp,PSxG+/-_Opp,/90_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Att_Opp,Thr_Opp,Launch%_Opp,AvgLen_Opp,Att_Opp,Launch%_Opp,AvgLen_Opp,Opp_Opp,Stp_Opp,Stp%_Opp,#OPA_Opp,#OPA/90_Opp,AvgDist_Opp
Arsenal,51,7,1,3,1,53.5,0.26,3.5,0.09,159,478,33.3,1093,227,29.2,31.5,280,56.8,45.5,489,16,3.3,48,1.26,14.9,73.0,4.0,3.0,8.0,4.0,58.0,0.33,-11.0,-0.29,280.0,687.0,40.8,837.0,145.0,53.4,40.7,305.0,78.7,54.6,455.0,13.0,2.9,30.0,0.79,13.8
Bournemouth,70,5,2,6,3,55.2,0.3,-11.8,-0.31,191,512,37.3,744,203,40.9,35.8,318,65.4,48.7,596,28,4.7,30,0.79,12.8,56.0,7.0,0.0,8.0,1.0,55.7,0.3,0.7,0.02,288.0,727.0,39.6,889.0,125.0,52.6,40.1,306.0,84.6,58.0,475.0,13.0,2.7,28.0,0.74,13.5
Brighton,60,10,1,5,0,55.9,0.28,-4.1,-0.11,328,822,39.9,776,109,62.8,43.2,358,93.6,59.4,561,20,3.6,13,0.34,11.9,35.0,5.0,0.0,10.0,0.0,32.0,0.26,-3.0,-0.08,185.0,549.0,33.7,828.0,127.0,43.1,36.4,262.0,73.3,53.0,523.0,24.0,4.6,42.0,1.11,15.8
Burnley,68,2,2,8,4,58.0,0.28,-6.0,-0.16,381,957,39.8,848,95,74.6,48.7,353,91.8,63.0,643,14,2.2,43,1.13,15.1,45.0,2.0,0.0,10.0,2.0,39.7,0.34,-3.3,-0.09,243.0,711.0,34.2,1038.0,148.0,44.6,37.1,300.0,82.7,56.5,545.0,40.0,7.3,33.0,0.87,13.5
Cardiff City,69,4,1,12,0,68.2,0.3,-0.8,-0.02,337,1076,31.3,876,51,86.6,50.9,319,99.4,65.6,536,15,2.8,46,1.21,15.4,34.0,3.0,0.0,4.0,1.0,35.6,0.29,2.6,0.07,183.0,472.0,38.8,902.0,173.0,30.6,32.4,286.0,68.5,51.0,441.0,21.0,4.8,35.0,0.92,13.7
Chelsea,39,1,0,6,0,36.8,0.28,-2.2,-0.06,123,250,49.2,950,165,15.9,26.1,272,36.4,37.1,395,16,4.1,35,0.92,17.6,63.0,5.0,0.0,8.0,2.0,61.3,0.29,0.3,0.01,310.0,771.0,40.2,932.0,134.0,54.1,41.0,338.0,79.0,55.3,547.0,19.0,3.5,18.0,0.47,13.8
Crystal Palace,53,4,1,7,1,46.7,0.26,-5.3,-0.14,245,769,31.9,793,159,58.6,42.8,347,87.6,60.4,635,27,4.3,25,0.66,12.7,51.0,10.0,1.0,3.0,3.0,43.2,0.23,-4.8,-0.13,240.0,529.0,45.4,708.0,109.0,46.6,38.2,306.0,65.0,49.8,449.0,19.0,4.2,37.0,0.97,14.8
Everton,46,2,2,9,2,45.3,0.3,1.3,0.03,253,724,34.9,979,152,54.0,42.3,291,67.0,53.7,431,14,3.2,40,1.05,17.3,54.0,2.0,2.0,8.0,1.0,45.8,0.26,-7.2,-0.19,231.0,667.0,34.6,881.0,139.0,49.1,39.5,303.0,77.2,54.8,636.0,23.0,3.6,33.0,0.87,13.5
Fulham,81,5,1,10,2,72.4,0.3,-6.6,-0.17,332,777,42.7,834,137,57.7,40.5,356,83.1,54.8,629,9,1.4,42,1.11,14.5,34.0,2.0,0.0,4.0,1.0,39.1,0.25,6.1,0.16,273.0,647.0,42.2,990.0,150.0,45.4,38.5,286.0,69.2,52.8,467.0,26.0,5.6,30.0,0.79,14.0
Huddersfield,76,7,3,7,1,61.1,0.29,-13.9,-0.37,339,815,41.6,1062,109,55.9,42.0,281,78.6,56.0,426,30,7.0,34,0.89,13.3,22.0,1.0,1.0,3.0,1.0,25.1,0.21,4.1,0.11,235.0,642.0,36.6,964.0,155.0,43.7,36.9,293.0,75.4,53.4,602.0,17.0,2.8,42.0,1.11,16.3
Leicester City,48,5,0,4,0,40.0,0.26,-8.0,-0.21,282,639,44.1,935,127,44.3,37.7,310,72.6,52.3,534,12,2.2,25,0.66,12.5,51.0,5.0,3.0,5.0,3.0,52.2,0.26,4.2,0.11,230.0,634.0,36.3,823.0,153.0,47.5,38.2,315.0,77.1,53.1,593.0,23.0,3.9,31.0,0.82,14.5
Liverpool,22,0,0,5,0,27.2,0.29,5.2,0.14,129,311,41.5,1072,212,20.1,28.8,216,44.0,41.3,385,16,4.2,59,1.55,16.6,89.0,7.0,1.0,12.0,3.0,77.7,0.33,-8.3,-0.22,250.0,779.0,32.1,885.0,140.0,55.8,41.5,367.0,77.7,54.9,573.0,20.0,3.5,36.0,0.95,12.8
Manchester City,23,4,1,5,0,23.3,0.25,0.3,0.01,98,239,41.0,919,188,17.1,26.8,189,43.4,42.9,282,19,6.7,41,1.08,16.9,95.0,3.0,2.0,5.0,4.0,80.9,0.31,-10.1,-0.27,345.0,892.0,38.7,935.0,109.0,57.4,41.8,406.0,87.4,58.4,601.0,19.0,3.2,19.0,0.5,11.1
Manchester Utd,54,6,2,7,3,49.9,0.26,-1.1,-0.03,265,620,42.7,769,153,46.6,38.2,332,78.9,54.6,524,9,1.7,25,0.66,13.4,65.0,9.0,2.0,7.0,0.0,66.7,0.25,1.7,0.04,212.0,657.0,32.3,837.0,161.0,52.3,40.1,277.0,79.1,55.6,495.0,14.0,2.8,33.0,0.87,13.5
