,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes
,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Live_Opp,Dead_Opp,FK_Opp,TB_Opp,Sw_Opp,Crs_Opp,TI_Opp,CK_Opp,In_Opp,Out_Opp,Str_Opp,Cmp_Opp,Off_Opp,Blocks_Opp
Arsenal,20518,1942,543,65,152,605,823,209,59,65,2,18425,89,453,14430.0,1795.0,464.0,68.0,150.0,627.0,733.0,184.0,71.0,82.0,5.0,12313.0,94.0,360.0
Bournemouth,15632,1961,512,57,84,613,832,191,74,58,2,13505,57,435,18560.0,1786.0,368.0,72.0,142.0,753.0,793.0,225.0,99.0,80.0,6.0,16091.0,84.0,340.0
Brighton,13912,1822,330,15,188,636,880,156,90,44,4,11491,90,342,19966.0,1899.0,513.0,43.0,139.0,725.0,835.0,216.0,68.0,91.0,15.0,17677.0,37.0,334.0
Burnley,12804,1883,395,35,108,692,891,139,98,22,9,10134,106,327,19291.0,1994.0,448.0,55.0,185.0,811.0,918.0,245.0,81.0,67.0,13.0,16631.0,46.0,380.0
Cardiff City,9823,1815,423,39,60,562,799,168,102,35,19,7170,77,313,20080.0,1972.0,421.0,58.0,109.0,662.0,923.0,270.0,111.0,99.0,15.0,17574.0,36.0,409.0
Chelsea,24894,1797,471,146,216,692,762,215,74,86,19,22960,83,434,13989.0,1718.0,407.0,32.0,169.0,511.0,731.0,141.0,54.0,31.0,10.0,12084.0,77.0,347.0
Crystal Palace,14898,1894,435,26,101,577,816,205,89,30,62,12697,78,367,19077.0,1858.0,430.0,54.0,237.0,840.0,818.0,216.0,74.0,114.0,8.0,16735.0,61.0,397.0
Everton,16376,2032,495,44,140,814,947,215,79,114,4,13878,69,416,15626.0,2018.0,470.0,79.0,137.0,568.0,975.0,179.0,79.0,58.0,11.0,13146.0,85.0,395.0
Fulham,17396,1817,412,33,145,611,769,161,57,62,7,15096,90,339,18494.0,1935.0,480.0,64.0,185.0,808.0,871.0,226.0,102.0,71.0,12.0,16080.0,79.0,370.0
Huddersfield,15783,1931,444,22,130,768,930,162,80,55,11,13045,63,418,18262.0,1911.0,441.0,67.0,135.0,526.0,947.0,170.0,67.0,62.0,10.0,15904.0,75.0,415.0
Leicester City,17065,1931,453,88,186,779,872,210,82,86,14,14640,72,395,16602.0,1911.0,395.0,46.0,136.0,698.0,911.0,202.0,97.0,75.0,10.0,14135.0,88.0,437.0
Liverpool,23583,1911,463,98,185,721,923,249,82,102,5,21146,77,394,13964.0,1722.0,363.0,41.0,155.0,472.0,740.0,125.0,55.0,35.0,11.0,11572.0,124.0,331.0
Manchester City,26660,1631,344,112,226,783,739,298,85,121,1,24678,98,384,11859.0,1643.0,407.0,29.0,129.0,359.0,615.0,82.0,39.0,28.0,6.0,9950.0,62.0,289.0
Manchester Utd,18934,1918,435,63,207,638,859,200,78,70,20,16834,90,373,15643.0,1814.0,492.0,45.0,151.0,662.0,756.0,186.0,68.0,74.0,12.0,13430.0,72.0,391.0
Newcastle Utd,13359,1813,389,50,217,711,835,181,73,71,11,10774,59,353,21078.0,1968.0,442.0,73.0,163.0,834.0,960.0,231.0,101.0,94.0,16.0,18449.0,63.0,437.0
Southampton,14072,1797,409,35,139,666,805,193,97,63,22,11463,61,349,18875.0,2088.0,462.0,63.0,152.0,710.0,1012.0,214.0,78.0,60.0,25.0,16244.0,88.0,460.0
Tottenham,21115,1867,457,87,136,643,851,194,54,81,5,18808,74,445,14084.0,1791.0,430.0,72.0,208.0,662.0,776.0,187.0,86.0,57.0,16.0,11840.0,107.0,379.0
Watford,15065,1820,483,32,117,570,755,177,84,55,0,12550,89,348,17653.0,1818.0,491.0,87.0,169.0,741.0,769.0,210.0,92.0,66.0,10.0,15141.0,115.0,360.0
West Ham,16053,1914,501,75,161,631,824,188,86,82,4,13847,71,416,17686.0,1737.0,375.0,86.0,129.0,711.0,799.0,207.0,89.0,85.0,5.0,15357.0,125.0,434.0
Wolves,16415,1773,361,51,194,622,843,195,63,87,3,13961,73,394,,,,,,,,,,,,,,
