,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing
,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att_Opp,Cmp%_Opp,TotDist_Opp,PrgDist_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Ast_Opp,xAG_Opp,xA_Opp,A-xAG_Opp,KP_Opp,1/3_Opp,PPA_Opp,CrsPA_Opp,Prog_Opp
Arsenal,22549,81.7,313400,105044,8573,9619,89.1,7384,8450,87.4,1716,2882,59.5,52,46.7,43.9,5.3,363,1220,417,63,1348,16319.0,75.5,218281.0,85800.0,5823.0,6698.0,86.9,4500.0,5597.0,80.4,1500.0,2840.0,52.8,32.0,36.8,31.7,-4.8,367.0,973.0,288.0,65.0,946.0
Bournemouth,17650,76.5,231203,90991,6643,7752,85.7,5284,6436,82.1,1261,2489,50.7,43,38.8,34.0,4.2,330,979,330,76,1090,20430.0,78.8,277972.0,97687.0,7637.0,8629.0,88.5,6097.0,7231.0,84.3,1709.0,3238.0,52.8,48.0,39.0,36.3,9.0,385.0,1267.0,350.0,74.0,1215.0
Brighton,15824,72.6,217603,86066,5120,6084,84.2,4413,5549,79.5,1639,3202,51.2,24,24.5,23.1,-0.5,281,887,223,81,809,21902.0,80.7,291899.0,97168.0,8772.0,9872.0,88.9,6753.0,7880.0,85.7,1482.0,2868.0,51.7,39.0,38.7,38.7,0.3,426.0,1316.0,370.0,74.0,1256.0
Burnley,14793,68.5,194079,85015,4537,5520,82.2,3643,4790,76.1,1595,3463,46.1,32,31.2,27.6,0.8,254,879,239,82,825,21331.0,78.0,287084.0,101194.0,7841.0,8946.0,87.6,6394.0,7673.0,83.3,1753.0,3363.0,52.1,43.0,45.2,41.7,-2.2,503.0,1187.0,385.0,103.0,1208.0
Cardiff City,11715,61.2,138500,66941,3143,4097,76.7,2540,3622,70.1,1160,2987,38.8,20,27.6,25.4,-7.6,294,768,175,57,659,22088.0,79.6,287097.0,106936.0,8802.0,9958.0,88.4,6446.0,7742.0,83.3,1535.0,2833.0,54.2,53.0,43.4,37.4,9.6,439.0,1261.0,360.0,56.0,1309.0
Chelsea,26774,85.8,357355,116579,12272,13378,91.7,7956,8992,88.5,1700,2561,66.4,52,44.9,45.9,7.1,482,1640,415,65,1472,15784.0,76.6,227292.0,84907.0,5137.0,5934.0,86.6,4930.0,5813.0,84.8,1629.0,3020.0,53.9,30.0,27.2,24.8,2.8,256.0,887.0,235.0,70.0,848.0
Crystal Palace,16870,75.3,222304,89989,6129,7072,86.7,4802,5866,81.9,1371,2862,47.9,33,29.5,27.1,3.5,358,1003,275,63,1082,20996.0,79.7,296419.0,103193.0,7882.0,9030.0,87.3,6305.0,7413.0,85.1,1967.0,3238.0,60.7,35.0,35.7,33.7,-0.7,389.0,1469.0,331.0,91.0,1288.0
Everton,18477,75.1,242908,92894,6427,7566,84.9,5206,6428,81.0,1589,3045,52.2,34,33.7,30.4,0.3,353,1102,298,94,1126,17729.0,74.1,233950.0,90410.0,6047.0,7110.0,85.0,5045.0,6259.0,80.6,1543.0,3100.0,49.8,24.0,31.2,31.1,-7.2,288.0,1002.0,255.0,57.0,1003.0
Fulham,19303,78.2,265652,102125,7060,7958,88.7,6054,7206,84.0,1538,3015,51.0,24,30.0,26.3,-6.0,350,1106,233,69,1085,20508.0,78.4,285688.0,103832.0,7371.0,8429.0,87.4,6152.0,7397.0,83.2,1897.0,3317.0,57.2,59.0,48.2,40.1,10.8,426.0,1259.0,382.0,101.0,1250.0
Huddersfield,17777,73.4,237346,93900,6045,7200,84.0,4765,6029,79.0,1792,3398,52.7,13,19.9,17.4,-6.9,283,1023,208,93,842,20248.0,78.5,273887.0,101737.0,7466.0,8591.0,86.9,6201.0,7373.0,84.1,1614.0,2911.0,55.4,56.0,45.2,36.1,10.8,407.0,1241.0,314.0,68.0,1272.0
Leicester City,19068,76.8,259605,95052,6805,7883,86.3,5513,6788,81.2,1752,3120,56.2,34,37.6,31.5,-3.6,381,1181,264,66,1111,18601.0,76.0,242955.0,90894.0,6766.0,7803.0,86.7,5322.0,6533.0,81.5,1495.0,2935.0,50.9,36.0,30.7,30.5,5.3,301.0,1126.0,273.0,52.0,1049.0
Liverpool,25571,82.7,364398,118593,9634,10759,89.5,8817,10042,87.8,1982,3284,60.4,55,49.8,52.6,5.2,422,1520,495,75,1532,15810.0,73.2,202870.0,80749.0,5535.0,6452.0,85.8,4228.0,5296.0,79.8,1327.0,2872.0,46.2,16.0,20.2,20.2,-4.2,221.0,795.0,203.0,59.0,762.0
