,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Gls_Opp,Sh_Opp,SoT_Opp,SoT%_Opp,Sh/90_Opp,SoT/90_Opp,G/Sh_Opp,G/SoT_Opp,Dist_Opp,FK_Opp,PK_Opp,PKatt_Opp,xG_Opp,npxG_Opp,npxG/Sh_Opp,G-xG_Opp,np:G-xG_Opp
Arsenal,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56.0,0.12,8.9,9.0,50.0,492.0,175.0,35.6,12.95,4.61,0.09,0.25,18.4,18.0,7.0,7.0,54.2,48.7,0.1,-4.2,-5.7
Bournemouth,55,437,153,35.0,11.5,4.03,0.11,0.31,17.4,16,7,9,53.3,46.2,0.11,1.7,1.8,67.0,516.0,168.0,32.6,13.58,4.42,0.12,0.37,17.9,18.0,5.0,5.0,57.2,53.2,0.11,9.8,8.8
Brighton,35,364,99,27.2,9.58,2.61,0.08,0.3,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7,60.0,573.0,160.0,27.9,15.08,4.21,0.09,0.31,18.1,27.0,10.0,10.0,59.1,51.4,0.09,0.9,-1.4
Burnley,43,358,112,31.3,9.42,2.95,0.11,0.37,15.8,14,2,2,44.4,42.8,0.12,-1.4,-1.8,64.0,650.0,196.0,30.2,17.11,5.16,0.1,0.32,17.9,13.0,2.0,3.0,62.1,59.7,0.09,1.9,2.3
Cardiff City,33,413,113,27.4,10.87,2.97,0.07,0.27,17.7,13,3,4,42.4,39.2,0.1,-9.4,-9.2,69.0,564.0,200.0,35.5,14.84,5.26,0.12,0.33,17.8,22.0,4.0,7.0,61.5,56.0,0.1,7.5,9.0
Chelsea,61,602,192,31.9,15.84,5.05,0.09,0.29,17.8,30,5,5,58.6,54.6,0.09,2.4,1.4,39.0,347.0,122.0,35.2,9.13,3.21,0.11,0.31,17.5,9.0,1.0,2.0,36.4,34.7,0.1,2.6,3.3
Crystal Palace,48,482,135,28.0,12.68,3.55,0.08,0.28,18.4,16,10,11,47.6,39.2,0.08,0.4,-1.2,52.0,520.0,158.0,30.4,13.68,4.16,0.09,0.3,18.2,20.0,4.0,5.0,50.1,46.6,0.09,1.9,1.4
Everton,53,493,163,33.1,12.97,4.29,0.1,0.31,16.9,20,2,5,49.7,45.7,0.1,3.3,5.3,44.0,398.0,131.0,32.9,10.47,3.45,0.11,0.32,17.7,17.0,2.0,5.0,45.7,41.7,0.11,-1.7,0.3
Fulham,33,451,140,31.0,11.87,3.68,0.07,0.22,19.0,10,2,3,41.3,39.0,0.09,-8.3,-8.0,79.0,580.0,220.0,37.9,15.26,5.79,0.13,0.34,17.1,16.0,5.0,7.0,68.2,62.7,0.11,10.8,11.3
