,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Huddersfield,21,400,116,29.0,10.53,3.05,0.05,0.17,19.1,15,1,1,28.8,28.0,0.07,-7.8,-8.0,75.0,514.0,178.0,34.6,13.53,4.68,0.13,0.38,17.4,25.0,7.0,8.0,60.9,54.7,0.11,14.1,13.3
Leicester City,48,508,173,34.1,13.37,4.55,0.08,0.25,18.6,19,5,7,52.4,47.3,0.1,-4.4,-4.3,48.0,422.0,133.0,31.5,11.11,3.5,0.1,0.32,18.4,18.0,5.0,5.0,43.7,39.8,0.1,4.3,3.2
Liverpool,86,568,211,37.1,14.95,5.55,0.14,0.37,17.0,20,7,7,73.7,68.4,0.12,12.3,10.6,22.0,306.0,96.0,31.4,8.05,2.53,0.07,0.23,18.2,9.0,0.0,1.0,28.8,28.0,0.1,-6.8,-6.0
Manchester City,91,679,252,37.1,17.87,6.63,0.13,0.35,16.9,21,3,4,84.3,81.3,0.12,6.7,6.7,23.0,234.0,77.0,32.9,6.16,2.03,0.08,0.25,18.3,9.0,4.0,4.0,24.7,21.7,0.1,-1.7,-2.7
Manchester Utd,65,514,210,40.9,13.53,5.53,0.11,0.27,18.7,27,9,12,61.4,52.0,0.1,3.6,4.0,51.0,490.0,165.0,33.7,12.89,4.34,0.09,0.27,18.5,21.0,6.0,6.0,50.6,45.9,0.1,0.4,-0.9
Newcastle Utd,41,443,136,30.7,11.66,3.58,0.09,0.29,18.8,16,1,3,39.1,36.7,0.09,1.9,3.3,47.0,482.0,134.0,27.8,12.68,3.53,0.09,0.31,16.7,31.0,6.0,6.0,53.6,49.2,0.1,-6.6,-8.2
Southampton,44,479,155,32.4,12.61,4.08,0.08,0.26,18.9,20,4,5,46.9,43.4,0.1,-2.9,-3.4,62.0,519.0,172.0,33.1,13.66,4.53,0.12,0.35,17.7,12.0,2.0,3.0,55.1,52.9,0.1,6.9,7.1
Tottenham,66,533,182,34.1,14.03,4.79,0.12,0.34,18.1,23,4,4,54.9,51.8,0.1,11.1,10.2,36.0,456.0,151.0,33.1,12.0,3.97,0.07,0.22,17.4,13.0,3.0,5.0,47.1,43.0,0.1,-11.1,-10.0
Watford,51,436,148,33.9,11.47,3.89,0.11,0.34,17.3,22,1,1,48.2,47.4,0.11,2.8,2.6,56.0,486.0,175.0,36.0,12.79,4.61,0.11,0.3,16.9,18.0,4.0,5.0,59.2,55.3,0.12,-3.2,-3.3
West Ham,51,436,149,34.2,11.47,3.92,0.11,0.31,17.2,17,5,5,47.6,43.8,0.1,3.4,2.2,54.0,523.0,193.0,36.9,13.76,5.08,0.1,0.26,17.1,19.0,4.0,5.0,61.9,58.0,0.12,-7.9,-8.0
Wolves,46,473,144,30.4,12.45,3.79,0.09,0.29,17.7,12,4,4,52.1,49.0,0.11,-6.1,-7.0,,,,,,,,,,,,,,,,,
