,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving
,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Touches_Opp,Def_Pen_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Att_Pen_Opp,Live_Opp,Succ_Opp,Att_Opp,Succ%_Opp,Mis_Opp,Dis_Opp,Rec_Opp,Prog_Opp
Arsenal,26586,2481,8012,12353,6431,965,26581,304,536,56.7,564,409,18226,1327,20676.0,2241.0,6303.0,9410.0,5181.0,820.0,20669.0,307.0,537.0,57.2,551.0,380.0,12148.0,920.0
Bournemouth,21977,2441,7577,9464,5189,834,21968,291,578,50.3,565,356,13338,1068,24619.0,2170.0,6511.0,11770.0,6554.0,906.0,24614.0,278.0,494.0,56.3,551.0,309.0,15921.0,1190.0
Brighton,20174,2480,7049,9025,4302,576,20169,269,516,52.1,590,336,11334,794,25995.0,1788.0,6318.0,12958.0,6965.0,959.0,25985.0,318.0,582.0,54.6,548.0,415.0,17477.0,1233.0
Burnley,19109,2550,6116,8854,4340,628,19106,207,370,55.9,525,314,9969,807,25425.0,2185.0,7432.0,11616.0,6579.0,1048.0,25422.0,302.0,539.0,56.0,548.0,347.0,16434.0,1184.0
Cardiff City,16231,2239,5485,6519,4426,702,16227,260,475,54.7,519,332,7035,640,26395.0,2115.0,7093.0,13013.0,6521.0,990.0,26389.0,366.0,607.0,60.3,631.0,414.0,17360.0,1296.0
Chelsea,30666,2116,7626,14418,8866,1019,30661,449,703,63.9,512,458,22750,1449,20240.0,2656.0,7527.0,8545.0,4403.0,600.0,20239.0,300.0,541.0,55.5,542.0,377.0,11958.0,836.0
Crystal Palace,21602,2335,7091,9708,5052,878,21591,377,667,56.5,576,473,12527,1059,25564.0,2129.0,6337.0,12482.0,6971.0,859.0,25559.0,309.0,590.0,52.4,642.0,452.0,16586.0,1267.0
Everton,22893,2178,6893,10447,5800,848,22889,328,587,55.9,693,469,13698,1098,22193.0,2305.0,7182.0,10317.0,4931.0,702.0,22189.0,291.0,512.0,56.8,575.0,478.0,12994.0,985.0
Fulham,23683,2600,7312,11886,4690,586,23680,352,566,62.2,594,486,14908,1056,24685.0,2149.0,6803.0,11765.0,6344.0,1015.0,24679.0,300.0,524.0,57.3,582.0,372.0,15896.0,1226.0
Huddersfield,21903,2088,6895,9998,5247,592,21902,230,443,51.9,567,399,12883,825,24779.0,2283.0,7040.0,12298.0,5651.0,814.0,24771.0,362.0,625.0,57.9,610.0,445.0,15721.0,1244.0
Leicester City,23546,2241,7078,10972,5751,788,23540,392,664,59.0,582,357,14488,1088,22879.0,2267.0,6489.0,10970.0,5660.0,750.0,22874.0,312.0,549.0,56.8,616.0,438.0,13943.0,1022.0
Liverpool,29426,1946,6907,15327,7425,1117,29419,356,619,57.5,603,424,20960,1497,20226.0,2785.0,7689.0,8972.0,3766.0,540.0,20224.0,305.0,556.0,54.9,529.0,362.0,11434.0,748.0
Manchester City,32110,1824,6104,16557,9689,1457,32106,437,734,59.5,509,393,24454,1621,17786.0,3086.0,7704.0,7276.0,2999.0,412.0,17782.0,274.0,468.0,58.5,453.0,325.0,9837.0,582.0
Manchester Utd,24998,2272,6751,12538,5908,878,24987,321,553,58.0,528,424,16677,1275,21814.0,2273.0,6550.0,9886.0,5629.0,843.0,21808.0,304.0,544.0,55.9,516.0,341.0,13263.0,961.0
Newcastle Utd,19978,2366,7047,8734,4396,632,19975,236,444,53.2,590,400,10638,749,27269.0,2072.0,6562.0,14062.0,6870.0,930.0,27263.0,324.0,565.0,57.3,596.0,471.0,18266.0,1358.0
Southampton,20735,2164,5998,9937,5018,701,20730,287,508,56.5,539,380,11296,971,25322.0,2254.0,7459.0,12024.0,6052.0,942.0,25319.0,369.0,648.0,56.9,589.0,420.0,16046.0,1133.0
Tottenham,27206,2495,7727,13405,6329,869,27202,370,672,55.1,603,349,18617,1255,20386.0,2370.0,6677.0,9004.0,4924.0,740.0,20381.0,309.0,577.0,53.6,591.0,359.0,11678.0,861.0
Watford,21427,2264,6519,9866,5229,831,21426,292,543,53.8,586,418,12387,966,24001.0,2205.0,6872.0,11254.0,6100.0,883.0,23996.0,365.0,622.0,58.7,544.0,399.0,14937.0,1112.0
West Ham,22451,2360,6349,11060,5283,777,22446,389,668,58.2,552,390,13706,1009,23766.0,2108.0,6298.0,11583.0,6153.0,900.0,23761.0,402.0,697.0,57.7,522.0,428.0,15193.0,1240.0
Wolves,22613,2106,6758,11079,5005,701,22609,331,596,55.5,498,401,13790,987,,,,,,,,,,,,,,
