,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks
,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,GA_Opp,GA90_Opp,SoTA_Opp,Saves_Opp,Save%_Opp,CS_Opp,CS%_Opp,PKatt_Opp,PKA_Opp,PKsv_Opp,PKm_Opp,Save%_Opp
Arsenal,51,1.34,182,132,75.8,8,21.1,7,7,0,0,0.0,73.0,1.92,164.0,94.0,57.9,4.0,10.5,5.0,4.0,1.0,0.0,20.0
Bournemouth,70,1.84,173,106,62.4,10,26.3,5,5,0,0,0.0,56.0,1.47,161.0,105.0,69.6,12.0,31.6,9.0,7.0,1.0,1.0,12.5
Brighton,60,1.58,170,110,70.6,7,18.4,10,10,0,0,0.0,35.0,0.92,105.0,69.0,71.4,13.0,34.2,6.0,5.0,1.0,0.0,16.7
Burnley,68,1.79,199,134,66.8,8,21.1,3,2,1,0,33.3,45.0,1.18,114.0,71.0,62.3,12.0,31.6,2.0,2.0,0.0,0.0,0.0
Cardiff City,69,1.82,207,135,68.6,10,26.3,7,4,3,0,42.9,34.0,0.89,117.0,83.0,73.5,17.0,44.7,4.0,3.0,1.0,0.0,25.0
Chelsea,39,1.03,124,84,69.4,16,42.1,2,1,1,0,50.0,63.0,1.66,197.0,136.0,70.6,10.0,26.3,5.0,5.0,0.0,0.0,0.0
Crystal Palace,53,1.39,163,110,69.9,12,31.6,5,4,1,0,20.0,51.0,1.34,146.0,97.0,71.9,11.0,28.9,11.0,10.0,1.0,0.0,9.1
Everton,46,1.21,136,89,67.6,14,36.8,5,2,3,0,60.0,54.0,1.42,167.0,112.0,68.9,10.0,26.3,5.0,2.0,2.0,1.0,50.0
Fulham,81,2.13,226,146,66.4,5,13.2,7,5,1,1,16.7,34.0,0.89,143.0,109.0,77.6,15.0,39.5,3.0,2.0,1.0,0.0,33.3
Huddersfield,76,2.0,186,110,62.9,5,13.2,8,7,1,0,12.5,22.0,0.58,117.0,96.0,82.1,19.0,50.0,1.0,1.0,0.0,0.0,0.0
Leicester City,48,1.26,138,90,68.8,10,26.3,5,5,0,0,0.0,51.0,1.34,180.0,130.0,74.4,8.0,21.1,7.0,5.0,2.0,0.0,28.6
Liverpool,22,0.58,96,74,77.1,21,55.3,1,0,0,1,,89.0,2.34,218.0,132.0,62.4,3.0,7.9,7.0,7.0,0.0,0.0,0.0
Manchester City,23,0.61,81,58,76.5,20,52.6,4,4,0,0,0.0,95.0,2.5,255.0,164.0,63.9,2.0,5.3,4.0,3.0,0.0,1.0,0.0
Manchester Utd,54,1.42,171,120,71.9,7,18.4,6,6,0,0,0.0,65.0,1.71,222.0,154.0,74.8,7.0,18.4,12.0,9.0,3.0,0.0,25.0
Newcastle Utd,48,1.26,140,93,70.0,11,28.9,6,6,0,0,0.0,42.0,1.11,139.0,96.0,70.5,13.0,34.2,3.0,1.0,2.0,0.0,66.7
Southampton,65,1.71,175,112,64.0,7,18.4,3,2,1,0,33.3,45.0,1.18,160.0,115.0,74.4,10.0,26.3,5.0,4.0,1.0,0.0,20.0
Tottenham,39,1.03,156,118,76.9,13,34.2,5,3,2,0,40.0,67.0,1.76,186.0,120.0,66.1,6.0,15.8,4.0,4.0,0.0,0.0,0.0
Watford,59,1.55,180,123,69.4,7,18.4,5,4,1,0,20.0,52.0,1.37,149.0,98.0,65.8,10.0,26.3,1.0,1.0,0.0,0.0,0.0
West Ham,55,1.45,198,143,74.2,7,18.4,5,4,1,0,20.0,52.0,1.37,154.0,103.0,69.5,14.0,36.8,5.0,5.0,0.0,0.0,0.0
Wolves,46,1.21,141,99,69.5,9,23.7,4,3,0,1,0.0,,,,,,,,,,,,
