,SCA,SCA,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA,GCA,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,SCA_Opp,SCA_Opp,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA_Opp,GCA_Opp,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types
,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,SCA_Opp,SCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp,GCA_Opp,GCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp
Arsenal,831,21.87,655,58,50,34,22,12,116,3.05,91,6,5,6,7,1,861.0,22.66,614.0,74.0,46.0,56.0,54.0,17.0,91.0,2.39,56.0,6.0,11.0,7.0,10.0,1.0
Bournemouth,787,20.71,559,83,45,39,47,14,99,2.61,64,9,8,6,9,3,927.0,24.39,704.0,67.0,39.0,61.0,40.0,16.0,119.0,3.13,91.0,2.0,9.0,9.0,8.0,0.0
Brighton,646,17.0,427,87,40,35,45,12,55,1.45,29,9,1,7,8,1,1018.0,26.79,724.0,81.0,68.0,69.0,60.0,16.0,103.0,2.71,65.0,3.0,13.0,10.0,11.0,1.0
Burnley,624,16.42,417,81,14,55,52,5,69,1.82,45,8,0,13,3,0,1147.0,30.18,893.0,81.0,51.0,86.0,27.0,9.0,107.0,2.82,82.0,4.0,6.0,11.0,4.0,0.0
Cardiff City,692,18.21,456,96,32,57,47,4,50,1.32,32,4,3,9,2,0,1017.0,26.76,719.0,94.0,78.0,62.0,52.0,12.0,124.0,3.26,87.0,6.0,15.0,8.0,7.0,1.0
Chelsea,1128,29.68,890,58,61,45,54,20,114,3.0,82,5,13,7,6,1,604.0,15.89,430.0,65.0,34.0,30.0,29.0,16.0,66.0,1.74,46.0,7.0,3.0,5.0,3.0,2.0
Crystal Palace,860,22.63,607,72,55,62,50,14,86,2.26,51,6,7,8,13,1,917.0,24.13,662.0,84.0,54.0,54.0,54.0,9.0,85.0,2.24,61.0,6.0,5.0,6.0,6.0,1.0
Everton,842,22.16,573,88,56,61,56,8,93,2.45,65,5,8,12,3,0,700.0,18.42,489.0,74.0,38.0,42.0,44.0,13.0,75.0,1.97,47.0,5.0,3.0,12.0,6.0,2.0
Fulham,813,21.39,600,73,47,56,28,9,59,1.55,42,3,6,5,3,0,991.0,26.08,727.0,75.0,53.0,70.0,47.0,19.0,135.0,3.55,98.0,6.0,10.0,14.0,5.0,2.0
Huddersfield,681,17.92,486,74,27,43,37,14,33,0.87,23,4,0,3,3,0,924.0,24.32,680.0,76.0,55.0,54.0,50.0,9.0,135.0,3.55,97.0,7.0,11.0,7.0,12.0,1.0
Leicester City,899,23.66,627,87,64,55,50,16,85,2.24,59,3,7,7,9,0,743.0,19.55,534.0,73.0,41.0,47.0,34.0,14.0,81.0,2.13,58.0,5.0,7.0,6.0,4.0,1.0
Liverpool,1013,26.66,746,75,77,56,45,14,149,3.92,104,10,14,10,10,1,549.0,14.45,421.0,43.0,28.0,24.0,23.0,10.0,39.0,1.03,31.0,2.0,1.0,5.0,0.0,0.0
Manchester City,1214,31.95,926,71,91,71,44,11,168,4.42,139,6,9,5,8,1,416.0,10.95,294.0,43.0,30.0,14.0,30.0,5.0,43.0,1.13,23.0,6.0,3.0,4.0,7.0,0.0
Manchester Utd,957,25.18,730,61,54,53,52,7,118,3.11,81,4,12,10,10,1,888.0,23.37,638.0,85.0,58.0,42.0,53.0,12.0,93.0,2.45,63.0,10.0,7.0,6.0,7.0,0.0
Newcastle Utd,784,20.63,571,77,33,43,42,18,68,1.79,46,5,4,10,2,1,852.0,22.42,598.0,91.0,35.0,56.0,58.0,14.0,83.0,2.18,51.0,9.0,3.0,11.0,8.0,1.0
Southampton,819,21.55,565,73,49,62,47,23,77,2.03,54,3,3,6,7,4,895.0,23.55,646.0,88.0,52.0,54.0,38.0,17.0,98.0,2.58,72.0,6.0,7.0,9.0,2.0,2.0
Tottenham,937,24.66,676,81,62,55,46,17,115,3.03,81,9,6,11,7,1,822.0,21.63,590.0,75.0,56.0,48.0,41.0,12.0,60.0,1.58,43.0,5.0,4.0,3.0,5.0,0.0
Watford,724,19.05,523,56,46,42,46,11,83,2.18,48,8,15,6,4,2,858.0,22.58,592.0,88.0,55.0,57.0,49.0,17.0,95.0,2.5,64.0,7.0,4.0,10.0,7.0,3.0
West Ham,771,20.29,545,77,43,54,35,17,88,2.32,60,5,7,10,5,1,929.0,24.45,668.0,79.0,71.0,54.0,50.0,7.0,102.0,2.68,69.0,11.0,8.0,7.0,7.0,0.0
Wolves,830,21.84,607,69,53,48,40,13,83,2.18,58,6,5,6,8,0,,,,,,,,,,,,,,,,
