Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,0,4,-1,-3,19,-1,20,11,0.5700000000000003,9.3,-3.900000000000002,13.100000000000001,0.69
2,Manchester City,0,4,1,-5,12,-9,21,13,0.6800000000000002,-0.5,-7.4,6.800000000000001,0.3599999999999999
3,Manchester Utd,0,2,2,-4,14,-2,16,8,0.41999999999999993,5.200000000000003,-1.6999999999999993,6.899999999999999,0.35999999999999993
4,Chelsea,0,2,0,-2,-9,-22,13,6,0.30999999999999983,11.599999999999998,-14.799999999999999,26.4,1.39
5,Leicester City,0,4,0,-4,3,-7,10,12,0.6299999999999999,-5.399999999999999,-1.7000000000000028,-3.6999999999999993,-0.2
6,Tottenham,0,8,-5,-3,11,-13,24,19,0.9999999999999998,3.3000000000000007,-8.400000000000002,11.7,0.61
7,Wolves,0,1,0,-1,3,-2,5,3,0.15999999999999992,4.899999999999999,-1.7999999999999972,6.8,0.36
8,Arsenal,0,6,-2,-4,16,0,16,16,0.8399999999999999,5.600000000000001,2.6999999999999993,2.8999999999999995,0.15999999999999998
9,Sheffield Utd,0,6,-6,0,9,-9,18,12,0.6299999999999999,10.7,-8.399999999999999,19.1,1.0
10,Burnley,0,1,-1,0,5,-4,9,2,0.09999999999999987,13.600000000000001,-1.9000000000000021,15.4,0.81
11,Southampton,0,-3,-1,4,-9,10,-19,-10,-0.5199999999999998,-4.899999999999999,5.599999999999998,-10.5,-0.55
12,Everton,0,3,4,-7,4,-14,18,13,0.6799999999999999,3.400000000000002,0.09999999999999787,3.4,0.18
13,Newcastle Utd,0,1,5,-6,2,-16,18,8,0.42000000000000015,2.1999999999999993,-3.8000000000000043,6.100000000000001,0.31999999999999995
14,Crystal Palace,0,1,0,-1,-1,-10,9,3,0.15999999999999992,2.1999999999999993,-12.7,14.8,0.7799999999999999
15,Brighton,0,1,0,-1,1,0,1,3,0.15999999999999992,1.6000000000000014,-3.5,5.1,0.27
16,West Ham,0,2,-1,-1,11,4,7,5,0.2699999999999999,0.8000000000000007,-4.400000000000002,5.199999999999999,0.27
17,Aston Villa,0,5,-2,-3,3,-7,10,13,0.68,3.5,-3.5,7.100000000000001,0.37000000000000005
18,Bournemouth,0,1,5,-6,4,-5,9,8,0.43000000000000005,3.599999999999998,-5.900000000000002,9.4,0.5
19,Watford,0,4,2,-6,8,-10,18,14,0.73,9.400000000000002,-4.300000000000001,13.7,0.73
20,Norwich City,0,3,0,-3,12,-1,13,9,0.47000000000000003,-0.6000000000000014,0.19999999999999574,-0.8999999999999986,-0.050000000000000044
