,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes
,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Live_Opp,Dead_Opp,FK_Opp,TB_Opp,Sw_Opp,Crs_Opp,TI_Opp,CK_Opp,In_Opp,Out_Opp,Str_Opp,Cmp_Opp,Off_Opp,Blocks_Opp
Arsenal,18463,1874,487,67,153,699,756,231,96,71,3,16634,73,320,15826.0,1790.0,465.0,31.0,131.0,784.0,741.0,229.0,105.0,71.0,6.0,13968.0,52.0,325.0
Aston Villa,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307,18345.0,1878.0,481.0,48.0,172.0,857.0,803.0,242.0,101.0,87.0,7.0,16142.0,43.0,370.0
Bournemouth,14488,1832,450,28,92,646,790,194,104,57,0,12042,67,390,19272.0,1842.0,412.0,67.0,146.0,812.0,851.0,251.0,118.0,85.0,6.0,16667.0,71.0,377.0
Brighton,18194,1791,394,34,200,689,853,178,78,78,0,15881,71,365,16526.0,1862.0,428.0,38.0,195.0,676.0,843.0,204.0,110.0,52.0,3.0,14322.0,70.0,356.0
Burnley,12767,1838,408,29,99,743,868,170,158,1,0,10049,89,287,18589.0,1988.0,471.0,46.0,177.0,820.0,922.0,238.0,93.0,59.0,12.0,15824.0,50.0,353.0
Chelsea,23308,1842,401,61,215,862,876,247,106,82,2,20958,63,361,14807.0,1750.0,428.0,36.0,134.0,518.0,766.0,133.0,64.0,40.0,4.0,12445.0,43.0,320.0
Crystal Palace,14377,1965,501,19,79,588,886,177,93,32,36,12274,53,318,18460.0,1896.0,452.0,34.0,190.0,843.0,888.0,235.0,128.0,79.0,5.0,16178.0,31.0,340.0
Everton,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362,16627.0,1943.0,497.0,54.0,173.0,655.0,897.0,182.0,81.0,65.0,11.0,14366.0,78.0,319.0
Leicester City,19817,1919,495,68,126,779,883,221,70,100,7,17600,64,368,14485.0,1995.0,448.0,43.0,184.0,647.0,974.0,175.0,104.0,49.0,7.0,12319.0,65.0,403.0
Liverpool,23952,1886,440,68,283,896,879,257,63,125,2,21276,53,343,13360.0,1740.0,364.0,54.0,135.0,551.0,742.0,160.0,77.0,47.0,3.0,10923.0,142.0,292.0
Manchester City,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329,12728.0,1585.0,399.0,37.0,112.0,420.0,570.0,97.0,44.0,35.0,4.0,10925.0,83.0,254.0
Manchester Utd,19836,1833,466,64,171,635,822,204,86,63,11,17744,56,381,15381.0,1826.0,451.0,35.0,162.0,692.0,775.0,186.0,95.0,45.0,3.0,13147.0,67.0,345.0
Newcastle Utd,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304,21702.0,1777.0,417.0,51.0,179.0,868.0,820.0,252.0,126.0,80.0,6.0,19474.0,52.0,322.0
Norwich City,16961,1858,461,47,124,473,773,162,75,77,2,14965,50,373,17728.0,1798.0,384.0,26.0,157.0,893.0,846.0,266.0,126.0,88.0,0.0,15431.0,39.0,371.0
Sheffield Utd,14962,1818,375,15,206,866,882,212,150,18,18,12125,78,341,20552.0,1993.0,455.0,48.0,210.0,761.0,946.0,218.0,99.0,72.0,9.0,17999.0,57.0,295.0
Southampton,15450,1960,448,27,133,690,950,210,106,87,5,12488,58,331,16297.0,2115.0,481.0,37.0,130.0,737.0,1032.0,222.0,92.0,66.0,5.0,13419.0,69.0,419.0
Tottenham,18404,1826,464,79,113,641,785,200,116,51,1,16101,66,344,17045.0,1749.0,456.0,49.0,171.0,740.0,740.0,207.0,92.0,69.0,12.0,14672.0,54.0,359.0
Watford,13907,1800,398,11,134,684,838,167,92,49,2,11230,68,285,19570.0,1820.0,508.0,48.0,170.0,746.0,763.0,201.0,117.0,47.0,8.0,17002.0,81.0,320.0
West Ham,14967,1828,432,38,156,737,815,190,111,54,6,12451,66,358,19739.0,1753.0,427.0,60.0,140.0,770.0,768.0,219.0,115.0,57.0,8.0,17330.0,99.0,327.0
Wolves,16650,1775,405,40,203,718,816,193,55,80,0,14298,49,323,,,,,,,,,,,,,,
