,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks
,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,GA_Opp,GA90_Opp,SoTA_Opp,Saves_Opp,Save%_Opp,CS_Opp,CS%_Opp,PKatt_Opp,PKA_Opp,PKsv_Opp,PKm_Opp,Save%_Opp
Arsenal,48,1.26,193,144,78.8,10,26.3,8,7,1,0,12.5,56.0,1.47,149.0,93.0,64.4,7.0,18.4,3.0,3.0,0.0,0.0,0.0
Aston Villa,67,1.76,182,115,65.9,7,18.4,6,5,1,0,16.7,41.0,1.08,149.0,108.0,73.2,11.0,28.9,3.0,1.0,1.0,1.0,50.0
Bournemouth,65,1.71,192,126,68.8,5,13.2,6,5,1,0,16.7,40.0,1.05,121.0,83.0,70.2,15.0,39.5,4.0,4.0,0.0,0.0,0.0
Brighton,54,1.42,168,116,69.0,9,23.7,2,2,0,0,0.0,39.0,1.03,141.0,105.0,73.0,13.0,34.2,2.0,1.0,1.0,0.0,50.0
Burnley,50,1.32,167,117,72.5,15,39.5,5,4,1,0,20.0,43.0,1.13,127.0,86.0,68.5,10.0,26.3,3.0,3.0,0.0,0.0,0.0
Chelsea,54,1.42,115,64,54.8,9,23.7,2,2,0,0,0.0,69.0,1.82,217.0,148.0,71.4,7.0,18.4,7.0,7.0,0.0,0.0,0.0
Crystal Palace,50,1.32,172,124,70.9,10,26.3,1,0,0,1,,31.0,0.82,118.0,89.0,76.3,16.0,42.1,3.0,3.0,0.0,0.0,0.0
Everton,56,1.47,147,94,63.9,9,23.7,4,3,0,1,0.0,44.0,1.16,160.0,118.0,73.1,10.0,26.3,1.0,1.0,0.0,0.0,0.0
Leicester City,41,1.08,135,94,75.6,13,34.2,10,8,2,0,20.0,67.0,1.76,190.0,123.0,67.4,9.0,23.7,7.0,5.0,2.0,0.0,28.6
Liverpool,33,0.87,107,75,70.1,15,39.5,1,1,0,0,0.0,85.0,2.24,229.0,146.0,65.1,3.0,7.9,5.0,5.0,0.0,0.0,0.0
Manchester City,35,0.92,110,76,70.9,17,44.7,3,3,0,0,0.0,102.0,2.68,261.0,156.0,63.2,4.0,10.5,11.0,6.0,5.0,0.0,45.5
Manchester Utd,36,0.95,131,96,74.8,13,34.2,3,3,0,0,0.0,66.0,1.74,214.0,146.0,73.8,8.0,21.1,14.0,10.0,3.0,1.0,23.1
Newcastle Utd,58,1.53,195,139,71.3,11,28.9,2,2,0,0,0.0,38.0,1.0,133.0,94.0,71.4,13.0,34.2,1.0,0.0,1.0,0.0,100.0
Norwich City,75,1.97,210,135,66.2,5,13.2,7,4,3,0,42.9,26.0,0.68,128.0,103.0,81.3,20.0,52.6,2.0,2.0,0.0,0.0,0.0
Sheffield Utd,39,1.03,139,99,72.7,13,34.2,3,1,1,1,50.0,39.0,1.03,110.0,74.0,65.5,12.0,31.6,1.0,1.0,0.0,0.0,0.0
Southampton,60,1.58,168,108,66.1,9,23.7,4,3,1,0,25.0,51.0,1.34,175.0,122.0,72.0,6.0,15.8,5.0,2.0,2.0,1.0,50.0
Tottenham,47,1.24,181,134,76.8,8,21.1,7,5,2,0,28.6,61.0,1.61,158.0,101.0,63.3,7.0,18.4,4.0,3.0,1.0,0.0,25.0
Watford,64,1.68,178,116,68.5,9,23.7,9,8,1,0,11.1,36.0,0.95,120.0,84.0,75.8,16.0,42.1,8.0,7.0,1.0,0.0,12.5
West Ham,62,1.63,187,127,69.5,7,18.4,6,5,1,0,16.7,49.0,1.29,160.0,111.0,71.9,12.0,31.6,4.0,4.0,0.0,0.0,0.0
Wolves,40,1.05,129,88,69.8,13,34.2,3,1,2,0,66.7,,,,,,,,,,,,
