Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,19,14,2,3,33,17,16,44,2.32,29.8,20.8,9.0,0.47
2,Manchester City,19,11,1,7,45,22,23,34,1.79,46.2,21.8,24.5,1.29
3,Manchester Utd,19,8,5,6,26,19,7,29,1.53,28.5,19.7,8.8,0.46
4,Chelsea,19,9,3,7,39,38,1,30,1.58,28.8,26.7,2.1,0.11
5,Leicester City,19,7,4,8,32,24,8,25,1.32,33.8,23.6,10.2,0.54
6,Tottenham,19,4,8,7,25,30,-5,20,1.05,22.3,31.3,-9.0,-0.47
7,Wolves,19,7,7,5,24,21,3,28,1.47,24.6,19.9,4.7,0.24
8,Arsenal,19,4,8,7,20,24,-4,20,1.05,20.7,26.3,-5.6,-0.3
9,Sheffield Utd,19,4,9,6,15,24,-9,21,1.11,16.2,29.7,-13.5,-0.71
10,Burnley,19,7,5,7,19,27,-8,26,1.37,16.9,25.8,-8.9,-0.47
11,Southampton,19,9,4,6,30,25,5,31,1.63,30.5,23.6,6.9,0.36
12,Everton,19,5,3,11,20,35,-15,18,0.95,23.7,24.1,-0.4,-0.02
13,Newcastle Utd,19,5,3,11,18,37,-19,18,0.95,16.7,34.7,-18.1,-0.95
14,Crystal Palace,19,5,5,9,16,30,-14,20,1.05,16.8,34.9,-18.0,-0.95
15,Brighton,19,4,7,8,19,27,-8,19,1.0,21.9,29.2,-7.3,-0.39
16,West Ham,19,4,5,10,19,29,-10,17,0.89,23.9,34.1,-10.2,-0.54
17,Aston Villa,19,2,5,12,19,37,-18,11,0.58,20.4,35.6,-15.3,-0.8
18,Bournemouth,19,4,1,14,18,35,-17,13,0.68,20.6,34.1,-13.4,-0.71
19,Watford,19,2,4,13,14,37,-23,10,0.53,19.7,31.2,-11.5,-0.61
20,Norwich City,19,1,3,15,7,38,-31,6,0.32,18.8,33.1,-14.3,-0.75
