Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,1.0,1.2857142857142858,0.5,0.0,1.5757575757575757,0.9411764705882353,2.25,1.25,1.245689655172414,1.3120805369127517,0.8124999999999999,2.4555555555555557,2.4680851063829787
2,Manchester City,1.0,1.3636363636363635,2.0,0.2857142857142857,1.2666666666666666,0.5909090909090909,1.9130434782608696,1.3823529411764706,1.3798882681564246,0.9891774891774892,0.6605504587155964,1.2775510204081633,1.2790697674418603
3,Manchester Utd,1.0,1.25,1.4,0.3333333333333333,1.5384615384615385,0.8947368421052632,3.2857142857142856,1.2758620689655173,1.2745098039215685,1.1824561403508773,0.9137055837563453,1.784090909090909,1.7826086956521738
4,Chelsea,1.0,1.2222222222222223,1.0,0.7142857142857143,0.7692307692307693,0.42105263157894735,14.0,1.2,1.1962025316455696,1.4027777777777777,0.4456928838951311,13.571428571428571,13.636363636363637
5,Leicester City,1.0,1.5714285714285714,1.0,0.5,1.09375,0.7083333333333334,2.25,1.48,1.477272727272727,0.8402366863905326,0.9279661016949151,0.6372549019607844,0.6296296296296297
6,Tottenham,1.0,3.0,0.375,0.5714285714285714,1.44,0.5666666666666667,-3.8,1.95,1.952380952380952,1.147982062780269,0.731629392971246,-0.30000000000000004,-0.29787234042553196
7,Wolves,1.0,1.1428571428571428,1.0,0.8,1.125,0.9047619047619048,2.6666666666666665,1.1071428571428572,1.1088435374149659,1.1991869918699187,0.9095477386934675,2.4468085106382977,2.5
8,Arsenal,1.0,2.5,0.75,0.42857142857142855,1.8,1.0,-3.0,1.8,1.7999999999999998,1.2705314009661837,1.1026615969581748,0.4821428571428572,0.46666666666666673
9,Sheffield Utd,1.0,2.5,0.3333333333333333,1.0,1.6,0.625,-1.0,1.5714285714285714,1.5675675675675673,1.6604938271604939,0.7171717171717172,-0.4148148148148148,-0.4084507042253521
10,Burnley,1.0,1.1428571428571428,0.8,1.0,1.263157894736842,0.8518518518518519,-0.125,1.0769230769230769,1.072992700729927,1.804733727810651,0.9263565891472867,-0.7303370786516854,-0.723404255319149
11,Southampton,1.0,0.6666666666666666,0.75,1.6666666666666667,0.7,1.4,-2.8,0.6774193548387096,0.6809815950920246,0.839344262295082,1.2372881355932202,-0.5217391304347826,-0.5277777777777778
12,Everton,1.0,1.6,2.3333333333333335,0.36363636363636365,1.2,0.6,-0.2,1.7222222222222223,1.7157894736842105,1.1434599156118144,1.004149377593361,-7.5,-8.0
13,Newcastle Utd,1.0,1.2,2.6666666666666665,0.45454545454545453,1.1111111111111112,0.5675675675675675,0.05263157894736842,1.4444444444444444,1.442105263157895,1.1317365269461077,0.8904899135446684,0.6629834254143646,0.6631578947368422
14,Crystal Palace,1.0,1.2,1.0,0.8888888888888888,0.9375,0.6666666666666666,0.35714285714285715,1.15,1.1523809523809523,1.130952380952381,0.6361031518624641,0.17777777777777778,0.17894736842105266
15,Brighton,1.0,1.25,1.0,0.875,1.0526315789473684,1.0,0.875,1.1578947368421053,1.16,1.0730593607305936,0.8801369863013698,0.30136986301369867,0.30769230769230765
16,West Ham,1.0,1.5,0.8,0.9,1.5789473684210527,1.1379310344827587,0.3,1.2941176470588236,1.3033707865168538,1.0334728033472804,0.8709677419354838,0.4901960784313726,0.5
17,Aston Villa,1.0,3.5,0.6,0.75,1.1578947368421053,0.8108108108108109,0.4444444444444444,2.1818181818181817,2.1724137931034484,1.1715686274509804,0.901685393258427,0.5359477124183006,0.5375
18,Bournemouth,1.0,1.25,6.0,0.5714285714285714,1.2222222222222223,0.8571428571428571,0.47058823529411764,1.6153846153846154,1.6323529411764706,1.174757281553398,0.8269794721407624,0.29850746268656714,0.29577464788732394
19,Watford,1.0,3.0,1.5,0.5384615384615384,1.5714285714285714,0.7297297297297297,0.21739130434782608,2.4,2.3773584905660377,1.4771573604060915,0.8621794871794871,-0.19130434782608696,-0.19672131147540983
20,Norwich City,1.0,4.0,1.0,0.8,2.7142857142857144,0.9736842105263158,0.5806451612903226,2.5,2.46875,0.9680851063829786,1.0060422960725075,1.062937062937063,1.0666666666666667
