,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA_Opp,PKA_Opp,FK_Opp,CK_Opp,OG_Opp,PSxG_Opp,PSxG/SoT_Opp,PSxG+/-_Opp,/90_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Att_Opp,Thr_Opp,Launch%_Opp,AvgLen_Opp,Att_Opp,Launch%_Opp,AvgLen_Opp,Opp_Opp,Stp_Opp,Stp%_Opp,#OPA_Opp,#OPA/90_Opp,AvgDist_Opp
Arsenal,48,7,0,9,0,51.8,0.23,3.8,0.1,92,364,25.3,964,233,24.8,28.8,314,39.8,35.5,606,25,4.1,42,1.11,15.2,56.0,3.0,1.0,9.0,0.0,52.8,0.35,-3.2,-0.08,242.0,539.0,44.9,840.0,146.0,46.1,36.7,261.0,58.2,44.6,524.0,16.0,3.1,35.0,0.92,16.3
Aston Villa,67,5,1,9,1,51.6,0.25,-14.4,-0.38,240,665,36.1,862,179,50.1,38.7,343,67.9,49.4,628,23,3.7,28,0.74,13.5,41.0,1.0,1.0,8.0,1.0,37.3,0.24,-2.7,-0.07,240.0,577.0,41.6,903.0,181.0,45.4,36.9,274.0,60.9,45.0,654.0,31.0,4.7,23.0,0.61,11.9
Bournemouth,65,5,4,4,0,62.6,0.3,-2.4,-0.06,185,616,30.0,866,190,47.5,39.0,295,69.5,53.2,603,20,3.3,26,0.68,11.7,40.0,4.0,3.0,7.0,2.0,40.7,0.31,2.7,0.07,214.0,624.0,34.3,918.0,136.0,47.6,38.3,250.0,74.8,52.4,497.0,40.0,8.0,35.0,0.92,13.7
Brighton,54,2,0,7,2,50.2,0.29,-1.8,-0.05,207,412,50.2,1201,255,25.3,29.0,274,39.4,33.4,526,20,3.8,26,0.68,13.7,39.0,1.0,2.0,5.0,4.0,39.5,0.27,4.5,0.12,171.0,551.0,31.0,893.0,172.0,39.9,35.8,310.0,62.9,47.6,537.0,22.0,4.1,37.0,0.97,14.3
Burnley,50,4,0,7,1,45.7,0.25,-3.3,-0.09,263,870,30.2,883,180,67.6,47.1,304,89.8,63.7,623,52,8.3,48,1.26,14.9,43.0,3.0,0.0,7.0,2.0,38.3,0.28,-2.7,-0.07,191.0,660.0,28.9,1075.0,201.0,43.6,36.5,276.0,69.2,49.3,571.0,23.0,4.0,47.0,1.24,14.1
Chelsea,54,2,2,9,3,37.5,0.31,-13.5,-0.36,102,302,33.8,1028,168,22.0,28.7,226,33.6,32.7,389,21,5.4,38,1.0,16.0,69.0,7.0,2.0,7.0,0.0,67.4,0.29,-1.6,-0.04,222.0,639.0,34.7,922.0,147.0,46.2,37.6,316.0,67.4,48.2,656.0,24.0,3.7,18.0,0.47,11.7
Crystal Palace,50,0,1,5,2,55.7,0.34,7.7,0.2,237,710,33.4,848,180,53.4,39.6,313,82.1,57.4,651,23,3.5,27,0.71,12.4,31.0,3.0,2.0,2.0,2.0,29.3,0.22,0.3,0.01,189.0,466.0,40.6,775.0,160.0,41.2,35.1,252.0,58.3,45.5,461.0,20.0,4.3,27.0,0.71,13.8
Everton,56,3,3,5,3,50.2,0.32,-2.8,-0.07,270,730,37.0,1115,195,50.8,40.1,264,62.1,48.5,510,24,4.7,25,0.66,13.4,44.0,1.0,0.0,8.0,2.0,46.1,0.29,4.1,0.11,206.0,573.0,36.0,935.0,172.0,41.0,35.8,284.0,66.9,49.6,607.0,21.0,3.5,36.0,0.95,14.2
Leicester City,41,8,0,5,2,44.3,0.26,5.3,0.14,180,398,45.2,951,159,31.5,33.0,241,40.7,36.1,507,14,2.8,34,0.89,17.2,67.0,5.0,1.0,5.0,2.0,62.4,0.29,-2.6,-0.07,215.0,587.0,36.6,803.0,157.0,48.9,39.1,291.0,66.7,48.3,578.0,17.0,2.9,37.0,0.97,14.6
