,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected
,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,xG,npxG,xAG,npxG+xAG,Gls_Opp_Opp,Ast_Opp_Opp,G-PK_Opp_Opp,PK_Opp_Opp,PKatt_Opp_Opp,CrdY_Opp_Opp,CrdR_Opp_Opp,Gls_Opp_Opp,Ast_Opp_Opp,G+A_Opp_Opp,G-PK_Opp_Opp,G+A-PK_Opp_Opp,xG_Opp_Opp,xAG_Opp_Opp,xG+xAG_Opp_Opp,npxG_Opp_Opp,npxG+xAG_Opp_Opp,xG_Opp_Opp,npxG_Opp_Opp,xAG_Opp_Opp,npxG+xAG_Opp_Opp
Arsenal,56,35,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2.0,47.0,44.6,31.4,76.1,48.0,30.0,41.0,7.0,8.0,79.0,1.0,1.26,0.79,2.05,1.08,1.87,1.46,1.03,2.48,1.29,2.32,55.3,48.9,39.1,88.1
Aston Villa,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,1.16,0.9,2.06,1.1,2.0,44.3,41.8,34.2,76.0,66.0,44.0,61.0,5.0,6.0,90.0,7.0,1.74,1.16,2.89,1.61,2.76,1.78,1.23,3.01,1.66,2.88,67.8,63.0,46.6,109.6
Bournemouth,38,24,34,4,4,78,3,1.0,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9,44.8,41.7,30.6,72.3,65.0,45.0,60.0,5.0,6.0,67.0,3.0,1.71,1.18,2.89,1.58,2.76,1.64,1.12,2.76,1.52,2.64,62.3,57.6,42.6,100.2
Brighton,35,24,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,1.2,0.83,2.03,1.15,1.99,45.4,43.8,31.6,75.4,52.0,42.0,50.0,2.0,2.0,61.0,1.0,1.37,1.11,2.47,1.32,2.42,1.45,1.13,2.58,1.4,2.54,55.0,53.4,43.1,96.5
Burnley,41,30,38,3,3,67,0,1.08,0.79,1.87,1.0,1.79,1.25,0.85,2.1,1.19,2.04,47.4,45.3,32.4,77.7,49.0,38.0,45.0,4.0,5.0,42.0,3.0,1.29,1.0,2.29,1.18,2.18,1.31,0.96,2.27,1.21,2.17,49.8,45.8,36.6,82.4
Chelsea,69,46,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.7,2.92,69.2,64.4,46.7,111.1,51.0,36.0,49.0,2.0,2.0,76.0,3.0,1.34,0.95,2.29,1.29,2.24,1.01,0.72,1.74,0.97,1.69,38.6,37.0,27.4,64.4
Crystal Palace,29,20,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57,35.8,33.6,26.0,59.5,48.0,36.0,48.0,0.0,1.0,88.0,5.0,1.26,0.95,2.21,1.26,2.21,1.5,1.05,2.55,1.48,2.53,57.0,56.2,40.0,96.2
Everton,42,32,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,1.34,1.0,2.34,1.32,2.32,50.8,50.0,38.1,88.1,53.0,39.0,50.0,3.0,4.0,61.0,2.0,1.39,1.03,2.42,1.32,2.34,1.27,0.9,2.17,1.19,2.09,48.3,45.2,34.2,79.4
Leicester City,65,48,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67,62.2,56.7,44.9,101.6,39.0,26.0,31.0,8.0,10.0,69.0,3.0,1.03,0.68,1.71,0.82,1.5,1.2,0.77,1.97,0.99,1.76,45.5,37.7,29.2,66.9
