,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected
Liverpool,83,69,78,5,5,38,1,2.18,1.82,4.0,2.05,3.87,1.81,1.39,3.21,1.71,3.1,68.9,65.0,53.0,118.0,32.0,23.0,31.0,1.0,1.0,47.0,0.0,0.84,0.61,1.45,0.82,1.42,0.99,0.78,1.77,0.97,1.75,37.7,36.9,29.6,66.5
Manchester City,100,69,94,6,11,64,4,2.63,1.82,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4.0,92.0,83.6,68.4,152.0,34.0,25.0,31.0,3.0,3.0,53.0,1.0,0.89,0.66,1.55,0.82,1.47,0.95,0.61,1.56,0.91,1.52,36.2,34.6,23.1,57.8
Manchester Utd,65,43,55,10,14,73,0,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36,62.2,51.2,38.5,89.7,35.0,24.0,32.0,3.0,3.0,79.0,2.0,0.92,0.63,1.55,0.84,1.47,0.99,0.66,1.65,0.93,1.59,37.7,35.3,25.2,60.5
Newcastle Utd,38,29,38,0,1,66,3,1.0,0.76,1.76,1.0,1.76,0.94,0.71,1.64,0.91,1.62,35.5,34.8,26.9,61.7,56.0,38.0,54.0,2.0,2.0,57.0,2.0,1.47,1.0,2.47,1.42,2.42,1.73,1.33,3.05,1.69,3.01,65.6,64.0,50.4,114.4
Norwich City,25,18,23,2,2,68,3,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65,37.0,35.4,27.4,62.8,72.0,50.0,68.0,4.0,7.0,58.0,2.0,1.89,1.32,3.21,1.79,3.11,1.75,1.23,2.97,1.6,2.83,66.4,60.9,46.6,107.5
Sheffield Utd,36,25,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01,43.0,42.2,34.0,76.3,39.0,28.0,38.0,1.0,3.0,46.0,0.0,1.03,0.74,1.76,1.0,1.74,1.34,1.0,2.34,1.28,2.28,51.0,48.6,38.1,86.7
Southampton,51,32,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33,56.1,52.1,36.4,88.5,59.0,41.0,56.0,3.0,4.0,67.0,3.0,1.55,1.08,2.63,1.47,2.55,1.39,1.02,2.41,1.31,2.33,52.8,49.6,38.7,88.4
Tottenham,56,39,53,3,4,84,3,1.47,1.03,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03,47.9,44.7,32.6,77.3,45.0,27.0,40.0,5.0,7.0,83.0,1.0,1.18,0.71,1.89,1.05,1.76,1.43,0.9,2.32,1.29,2.19,54.2,49.1,34.0,83.1
Watford,35,21,28,7,8,80,3,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95,48.9,42.6,31.4,74.0,61.0,37.0,53.0,8.0,9.0,66.0,1.0,1.61,0.97,2.58,1.39,2.37,1.53,1.04,2.57,1.35,2.38,58.1,51.2,39.4,90.6
West Ham,49,36,45,4,4,64,1,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16,48.6,45.4,36.7,82.1,59.0,49.0,54.0,5.0,6.0,45.0,0.0,1.55,1.29,2.84,1.42,2.71,1.68,1.28,2.96,1.55,2.84,63.8,59.1,48.7,107.8
Wolves,49,34,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33,54.1,51.0,37.5,88.5,,,,,,,,,,,,,,,,,,,,,
