Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,19,18,1,0,52,16,36,55,2.89,39.1,16.9,22.1,1.16
2,Manchester City,19,15,2,2,57,13,44,47,2.47,45.7,14.4,31.3,1.65
3,Manchester Utd,19,10,7,2,40,17,23,37,1.95,33.7,18.0,15.7,0.82
4,Chelsea,19,11,3,5,30,16,14,36,1.89,40.4,11.9,28.5,1.5
5,Leicester City,19,11,4,4,35,17,18,37,1.95,28.4,21.9,6.5,0.34
6,Tottenham,19,12,3,4,36,17,19,39,2.05,25.6,22.9,2.7,0.14
7,Wolves,19,8,7,4,27,19,8,31,1.63,29.5,18.1,11.5,0.6
8,Arsenal,19,10,6,3,36,24,12,36,1.89,26.3,29.0,-2.7,-0.14
9,Sheffield Utd,19,10,3,6,24,15,9,33,1.74,26.9,21.3,5.6,0.29
10,Burnley,19,8,4,7,24,23,1,28,1.47,30.5,23.9,6.5,0.34
11,Southampton,19,6,3,10,21,35,-14,21,1.11,25.6,29.2,-3.6,-0.19
12,Everton,19,8,7,4,24,21,3,31,1.63,27.1,24.2,3.0,0.16
13,Newcastle Utd,19,6,8,5,20,21,-1,26,1.37,18.9,30.9,-12.0,-0.63
14,Crystal Palace,19,6,5,8,15,20,-5,23,1.21,19.0,22.2,-3.2,-0.17
15,Brighton,19,5,7,7,20,27,-7,22,1.16,23.5,25.7,-2.2,-0.12
16,West Ham,19,6,4,9,30,33,-3,22,1.16,24.7,29.7,-5.0,-0.27
17,Aston Villa,19,7,3,9,22,30,-8,24,1.26,23.9,32.1,-8.2,-0.43
18,Bournemouth,19,5,6,8,22,30,-8,21,1.11,24.2,28.2,-4.0,-0.21
19,Watford,19,6,6,7,22,27,-5,24,1.26,29.1,26.9,2.2,0.12
20,Norwich City,19,4,3,12,19,37,-18,15,0.79,18.2,33.3,-15.2,-0.8
