,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels
,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,CrdY_Opp,CrdR_Opp,2CrdY_Opp,Fls_Opp,Fld_Opp,Off_Opp,Crs_Opp,Int_Opp,TklW_Opp,PKwon_Opp,PKcon_Opp,OG_Opp,Recov_Opp,Won_Opp,Lost_Opp,Won%_Opp
Arsenal,88,5,1,421,437,73,699,351,336,2,8,0,1861,501,589,46.0,79.0,1.0,0.0,459.0,408.0,52.0,784.0,425.0,388.0,8.0,3.0,0.0,1898.0,589.0,501.0,54.0
Aston Villa,70,1,1,451,525,62,798,423,291,2,6,1,1900,705,742,48.7,90.0,7.0,6.0,543.0,431.0,43.0,857.0,346.0,315.0,5.0,3.0,1.0,1905.0,742.0,705.0,51.3
Bournemouth,78,3,2,369,388,67,646,475,299,2,6,0,1979,792,835,48.7,67.0,3.0,0.0,410.0,347.0,71.0,812.0,402.0,389.0,2.0,4.0,2.0,2047.0,835.0,792.0,51.3
Brighton,59,2,1,386,325,71,689,419,379,2,2,2,2065,690,577,54.5,61.0,1.0,0.0,342.0,372.0,70.0,676.0,428.0,385.0,2.0,2.0,4.0,2021.0,577.0,690.0,45.5
Burnley,67,0,0,412,369,89,743,387,344,1,5,1,1860,937,917,50.5,42.0,3.0,1.0,393.0,401.0,50.0,820.0,293.0,319.0,5.0,3.0,2.0,1911.0,917.0,937.0,49.5
Chelsea,60,0,0,386,384,63,862,459,362,6,2,3,2210,703,701,50.1,76.0,3.0,0.0,397.0,368.0,43.0,518.0,434.0,381.0,2.0,7.0,0.0,2091.0,701.0,703.0,49.9
Crystal Palace,62,2,0,424,479,53,588,444,390,2,1,2,1915,771,776,49.8,88.0,5.0,3.0,492.0,410.0,31.0,843.0,449.0,425.0,1.0,3.0,2.0,2018.0,776.0,771.0,50.2
Everton,76,3,3,472,394,58,804,408,408,0,4,3,1966,860,835,50.7,61.0,2.0,1.0,410.0,452.0,78.0,655.0,383.0,358.0,3.0,1.0,2.0,2009.0,835.0,860.0,49.3
Leicester City,43,3,1,418,444,64,779,423,432,6,10,2,2104,659,674,49.4,69.0,3.0,0.0,460.0,397.0,65.0,647.0,432.0,402.0,7.0,7.0,2.0,2038.0,674.0,659.0,50.6
Liverpool,38,1,0,331,293,53,896,352,325,4,1,1,2194,655,588,52.7,47.0,0.0,0.0,322.0,309.0,142.0,551.0,456.0,346.0,1.0,5.0,2.0,2089.0,588.0,655.0,47.3
Manchester City,64,4,2,362,296,68,915,352,301,10,3,1,1959,515,498,50.8,53.0,1.0,0.0,312.0,343.0,83.0,420.0,477.0,337.0,2.0,11.0,2.0,1708.0,498.0,515.0,49.2
Manchester Utd,73,0,0,423,427,56,635,379,333,12,3,1,2084,557,512,52.1,79.0,2.0,1.0,450.0,404.0,67.0,692.0,485.0,385.0,1.0,14.0,1.0,2037.0,512.0,557.0,47.9
Newcastle Utd,66,3,0,370,423,75,591,391,357,0,2,2,1871,733,781,48.4,57.0,2.0,1.0,436.0,355.0,52.0,868.0,341.0,334.0,2.0,1.0,0.0,1924.0,781.0,733.0,51.6
Norwich City,68,3,0,363,430,50,473,397,379,1,7,3,1989,518,673,43.5,58.0,2.0,1.0,444.0,344.0,39.0,893.0,430.0,400.0,5.0,2.0,1.0,2158.0,673.0,518.0,56.5
Sheffield Utd,63,2,1,412,306,78,866,420,377,1,3,0,2041,946,886,51.6,46.0,0.0,0.0,326.0,387.0,57.0,761.0,351.0,296.0,2.0,1.0,3.0,1963.0,886.0,946.0,48.4
Southampton,55,4,1,450,388,58,690,425,416,4,4,1,2150,810,878,48.0,67.0,3.0,1.0,414.0,428.0,69.0,737.0,428.0,362.0,3.0,5.0,0.0,2087.0,878.0,810.0,52.0
Tottenham,84,3,1,423,424,66,641,381,415,4,7,2,2022,642,671,48.9,83.0,1.0,1.0,442.0,411.0,54.0,740.0,450.0,410.0,6.0,4.0,5.0,2112.0,671.0,642.0,51.1
Watford,80,3,2,481,342,68,684,424,369,7,9,3,1996,823,802,50.6,66.0,1.0,1.0,356.0,466.0,81.0,746.0,386.0,351.0,9.0,8.0,1.0,2138.0,802.0,823.0,49.4
West Ham,64,1,1,387,345,66,737,421,417,3,6,3,2052,855,801,51.6,45.0,0.0,0.0,356.0,367.0,99.0,770.0,392.0,333.0,5.0,4.0,0.0,2138.0,801.0,855.0,48.4
Wolves,61,2,2,407,360,49,718,437,367,4,3,1,2113,775,711,52.2,,,,,,,,,,,,,,,,
