Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,14,4,1,41,11,30,46,2.42,47.3,14.7,32.6,1.72
2,Liverpool,19,13,4,2,45,17,28,43,2.26,42.9,21.9,20.9,1.1
3,Chelsea,19,12,4,3,39,11,28,40,2.11,33.7,18.0,15.7,0.83
4,Tottenham,19,9,4,6,31,21,10,31,1.63,31.5,23.7,7.9,0.42
5,Arsenal,19,9,1,9,26,31,-5,28,1.47,25.5,29.9,-4.4,-0.23
6,Manchester Utd,19,6,5,8,25,35,-10,23,1.21,27.6,35.6,-8.0,-0.42
7,West Ham,19,7,3,9,27,25,2,24,1.26,25.8,34.2,-8.4,-0.44
8,Leicester City,19,4,6,9,28,36,-8,18,0.95,23.4,36.0,-12.6,-0.66
9,Brighton,19,7,8,4,23,21,2,29,1.53,23.7,25.9,-2.2,-0.12
10,Wolves,19,8,3,8,18,18,0,27,1.42,19.9,32.8,-12.9,-0.68
11,Newcastle Utd,19,5,4,10,18,35,-17,19,1.0,20.1,32.8,-12.6,-0.66
12,Crystal Palace,19,4,7,8,23,29,-6,19,1.0,21.7,26.6,-4.9,-0.26
13,Brentford,19,6,4,9,26,35,-9,22,1.16,22.7,31.4,-8.7,-0.46
14,Aston Villa,19,7,1,11,23,25,-2,22,1.16,21.3,27.1,-5.8,-0.31
15,Southampton,19,3,6,10,20,43,-23,15,0.79,25.4,37.3,-11.8,-0.62
16,Everton,19,2,4,13,16,41,-25,10,0.53,20.7,34.8,-14.1,-0.74
17,Leeds United,19,5,5,9,23,41,-18,20,1.05,22.2,39.4,-17.3,-0.91
18,Burnley,19,2,8,9,16,28,-12,14,0.74,18.7,34.9,-16.2,-0.85
19,Watford,19,4,3,12,17,31,-14,15,0.79,22.1,35.6,-13.5,-0.71
20,Norwich City,19,2,4,13,11,41,-30,10,0.53,16.7,45.2,-28.5,-1.5
