,SCA,SCA,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA,GCA,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,SCA_Opp,SCA_Opp,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA_Opp,GCA_Opp,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types
,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,SCA_Opp,SCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp,GCA_Opp,GCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp
Arsenal,1029,27.08,787,68,57,66,39,12,99,2.61,69,8,4,13,4,1,763.0,20.08,579.0,59.0,34.0,38.0,39.0,14.0,79.0,2.08,57.0,3.0,6.0,5.0,7.0,1.0
Aston Villa,836,22.0,609,84,48,41,48,6,93,2.45,65,9,9,7,3,0,827.0,21.76,574.0,76.0,60.0,47.0,51.0,19.0,91.0,2.39,63.0,3.0,6.0,10.0,8.0,1.0
Brentford,740,19.47,488,96,37,62,43,14,79,2.08,46,11,5,8,9,0,876.0,23.05,659.0,65.0,35.0,57.0,49.0,11.0,97.0,2.55,73.0,6.0,2.0,8.0,7.0,1.0
Brighton,868,22.84,631,84,47,54,39,13,72,1.89,50,8,3,6,4,1,821.0,21.61,612.0,58.0,49.0,50.0,41.0,11.0,77.0,2.03,49.0,11.0,4.0,7.0,4.0,2.0
Burnley,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0,1064.0,28.0,804.0,77.0,50.0,82.0,38.0,13.0,92.0,2.42,75.0,1.0,2.0,8.0,6.0,0.0
Chelsea,1064,28.0,819,62,47,75,49,12,135,3.55,97,9,8,10,9,2,585.0,15.39,406.0,52.0,43.0,35.0,37.0,12.0,53.0,1.39,34.0,4.0,4.0,3.0,5.0,3.0
Crystal Palace,712,18.74,500,63,44,46,43,16,81,2.13,53,3,7,8,9,1,759.0,19.97,534.0,77.0,33.0,57.0,48.0,10.0,74.0,1.95,47.0,11.0,3.0,7.0,4.0,2.0
Everton,741,19.5,532,69,44,42,45,9,68,1.79,46,4,4,6,8,0,921.0,24.24,649.0,84.0,64.0,65.0,50.0,9.0,104.0,2.74,65.0,14.0,6.0,11.0,6.0,2.0
Leeds United,823,21.66,586,70,51,60,42,14,66,1.74,36,2,10,10,5,3,1005.0,26.45,711.0,87.0,80.0,60.0,51.0,16.0,134.0,3.53,97.0,9.0,9.0,9.0,9.0,1.0
Leicester City,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4,968.0,25.47,669.0,98.0,59.0,75.0,48.0,19.0,96.0,2.53,55.0,9.0,6.0,16.0,9.0,1.0
Liverpool,1249,32.87,911,105,63,104,50,16,164,4.32,121,9,10,19,5,0,518.0,13.63,386.0,35.0,40.0,25.0,22.0,10.0,46.0,1.21,32.0,4.0,4.0,5.0,1.0,0.0
Manchester City,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3,392.0,10.32,286.0,38.0,24.0,15.0,23.0,6.0,49.0,1.29,38.0,2.0,5.0,2.0,1.0,1.0
Manchester Utd,917,24.13,705,65,57,38,39,13,104,2.74,77,6,6,7,5,3,858.0,22.58,594.0,75.0,51.0,68.0,48.0,22.0,89.0,2.34,64.0,4.0,7.0,10.0,3.0,1.0
Newcastle Utd,757,19.92,504,81,61,57,43,11,70,1.84,46,4,5,9,6,0,935.0,24.61,676.0,77.0,60.0,69.0,45.0,8.0,107.0,2.82,76.0,7.0,7.0,12.0,5.0,0.0
Norwich City,637,16.76,435,67,41,33,50,11,35,0.92,27,2,1,1,3,1,1090.0,28.68,798.0,92.0,70.0,69.0,45.0,16.0,138.0,3.63,100.0,5.0,9.0,15.0,8.0,1.0
Southampton,814,21.42,586,68,43,51,49,17,71,1.87,44,5,6,4,9,3,852.0,22.42,646.0,63.0,46.0,56.0,34.0,7.0,110.0,2.89,76.0,7.0,9.0,14.0,3.0,1.0
Tottenham,879,23.13,677,51,46,60,37,8,116,3.05,95,3,4,8,6,0,868.0,22.84,613.0,85.0,54.0,61.0,39.0,16.0,72.0,1.89,54.0,5.0,4.0,4.0,3.0,2.0
Watford,692,18.21,475,59,48,43,52,15,57,1.5,36,5,4,7,3,2,961.0,25.29,717.0,77.0,49.0,54.0,48.0,16.0,130.0,3.42,93.0,7.0,10.0,6.0,9.0,5.0
West Ham,769,20.24,569,68,47,50,27,8,102,2.68,72,10,5,9,5,1,973.0,25.61,769.0,59.0,37.0,58.0,44.0,6.0,86.0,2.26,61.0,8.0,3.0,10.0,3.0,1.0
Wolves,692,18.21,496,44,65,37,31,19,58,1.53,37,4,5,8,2,2,,,,,,,,,,,,,,,,
