,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Gls_Opp,Sh_Opp,SoT_Opp,SoT%_Opp,Sh/90_Opp,SoT/90_Opp,G/Sh_Opp,G/SoT_Opp,Dist_Opp,FK_Opp,PK_Opp,PKatt_Opp,xG_Opp,npxG_Opp,npxG/Sh_Opp,G-xG_Opp,np:G-xG_Opp
Arsenal,60,581,186,32.0,15.29,4.89,0.09,0.3,17.8,22,5,8,67.3,62.3,0.11,-7.3,-7.3,47.0,419.0,142.0,33.9,11.03,3.74,0.1,0.3,17.6,16.0,5.0,6.0,51.2,46.5,0.11,-4.2,-4.5
Aston Villa,50,461,159,34.5,12.13,4.18,0.1,0.3,17.6,20,3,3,47.9,45.9,0.1,2.1,1.1,52.0,471.0,144.0,30.6,12.39,3.79,0.1,0.33,17.4,22.0,4.0,6.0,54.4,49.6,0.11,-2.4,-1.6
Brentford,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11,6,6,51.1,46.4,0.11,-5.1,-6.4,54.0,498.0,174.0,34.9,13.11,4.58,0.1,0.28,18.2,22.0,5.0,5.0,54.0,50.0,0.1,0.0,-1.0
Brighton,40,482,141,29.3,12.68,3.71,0.07,0.26,17.7,15,4,7,53.0,47.5,0.1,-13.0,-11.5,44.0,472.0,143.0,30.3,12.42,3.76,0.09,0.29,18.6,21.0,3.0,4.0,49.8,46.9,0.1,-5.8,-5.9
Burnley,32,405,119,29.4,10.66,3.13,0.08,0.26,17.2,14,1,2,43.8,42.8,0.11,-11.8,-11.8,51.0,598.0,173.0,28.9,15.74,4.55,0.08,0.27,17.7,16.0,5.0,5.0,63.8,59.9,0.1,-12.8,-13.9
Chelsea,75,583,200,34.3,15.34,5.26,0.11,0.34,17.4,26,8,9,70.7,64.0,0.11,4.3,3.0,32.0,335.0,109.0,32.5,8.82,2.87,0.08,0.24,18.1,11.0,6.0,6.0,38.3,34.5,0.11,-6.3,-8.5
Crystal Palace,50,404,140,34.7,10.63,3.68,0.11,0.31,16.1,13,6,8,53.8,47.6,0.12,-3.8,-3.6,44.0,439.0,140.0,31.9,11.55,3.68,0.09,0.29,17.9,20.0,3.0,4.0,46.0,42.9,0.1,-2.0,-1.9
Everton,42,430,130,30.2,11.32,3.42,0.08,0.28,17.7,18,6,7,47.5,42.1,0.1,-5.5,-6.1,61.0,520.0,186.0,35.8,13.68,4.89,0.11,0.32,17.7,20.0,2.0,2.0,60.9,59.4,0.12,0.1,-0.4
Leeds United,42,480,142,29.6,12.63,3.74,0.08,0.26,18.3,13,5,5,50.4,46.5,0.1,-8.4,-9.5,78.0,576.0,219.0,38.0,15.16,5.76,0.13,0.33,17.3,23.0,5.0,5.0,73.2,69.3,0.12,4.8,3.7
