,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes
,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Live_Opp,Dead_Opp,FK_Opp,TB_Opp,Sw_Opp,Crs_Opp,TI_Opp,CK_Opp,In_Opp,Out_Opp,Str_Opp,Cmp_Opp,Off_Opp,Blocks_Opp
Arsenal,18150,1628,404,77,132,633,679,208,153,23,5,16176,66,310,16238.0,1703.0,401.0,49.0,102.0,606.0,744.0,175.0,90.0,50.0,3.0,14226.0,64.0,295.0
Aston Villa,14615,1832,525,71,97,670,716,196,111,42,11,12748,52,277,17229.0,1811.0,424.0,48.0,233.0,685.0,815.0,220.0,118.0,64.0,3.0,15221.0,39.0,373.0
Brentford,14443,1763,432,50,70,640,778,159,84,47,9,11676,66,333,18429.0,1738.0,405.0,73.0,104.0,812.0,774.0,229.0,128.0,69.0,2.0,15770.0,71.0,329.0
Brighton,18838,1697,390,58,152,728,784,200,84,96,0,16410,53,397,15605.0,1733.0,417.0,36.0,113.0,680.0,740.0,211.0,106.0,55.0,6.0,13304.0,42.0,374.0
Burnley,12275,1731,370,32,135,747,783,183,152,14,1,9453,101,335,19529.0,1925.0,473.0,44.0,168.0,861.0,846.0,265.0,95.0,79.0,5.0,16820.0,54.0,364.0
Chelsea,23158,1661,434,77,101,745,713,241,113,100,0,21190,69,364,13651.0,1706.0,451.0,63.0,90.0,533.0,697.0,151.0,66.0,52.0,4.0,11678.0,67.0,346.0
Crystal Palace,17115,1903,528,40,120,643,844,175,88,44,8,14983,63,316,16627.0,1790.0,453.0,43.0,130.0,664.0,825.0,184.0,74.0,96.0,0.0,14264.0,53.0,360.0
Everton,12746,1758,413,30,70,653,783,161,83,60,0,10365,53,345,20390.0,1837.0,397.0,44.0,129.0,719.0,859.0,219.0,114.0,62.0,8.0,18019.0,43.0,415.0
Leeds United,16432,1793,417,66,140,648,798,170,100,38,3,13988,63,368,15101.0,1897.0,498.0,100.0,92.0,568.0,829.0,181.0,86.0,79.0,3.0,13018.0,53.0,366.0
Leicester City,18268,1809,457,65,105,556,769,185,113,42,2,16129,60,379,17017.0,1733.0,391.0,63.0,150.0,738.0,788.0,218.0,129.0,63.0,2.0,14828.0,73.0,382.0
Liverpool,23742,1747,436,112,167,897,780,282,47,207,0,21163,63,374,13387.0,1683.0,403.0,89.0,105.0,460.0,678.0,117.0,70.0,37.0,0.0,11072.0,144.0,323.0
Manchester City,26239,1597,406,102,192,869,664,316,154,50,4,24406,66,355,11640.0,1517.0,376.0,50.0,89.0,397.0,493.0,108.0,52.0,37.0,3.0,9984.0,94.0,251.0
Manchester Utd,18862,1691,376,80,187,659,725,197,74,88,0,16690,88,369,17152.0,1709.0,462.0,61.0,139.0,648.0,668.0,207.0,105.0,67.0,3.0,15051.0,72.0,310.0
Newcastle Utd,12203,1762,415,31,114,592,743,160,90,46,14,10201,71,281,19432.0,1725.0,433.0,72.0,125.0,685.0,764.0,190.0,94.0,72.0,4.0,17236.0,58.0,293.0
Norwich City,14176,1839,474,50,153,568,766,165,90,60,2,12164,55,306,19892.0,1709.0,380.0,77.0,162.0,793.0,784.0,251.0,131.0,78.0,1.0,17698.0,56.0,326.0
Southampton,15114,1784,411,44,81,711,750,233,106,105,4,12505,42,343,16984.0,1763.0,422.0,41.0,109.0,721.0,817.0,197.0,114.0,48.0,4.0,14361.0,65.0,349.0
Tottenham,18976,1658,430,88,133,632,676,193,78,62,0,17204,62,332,17557.0,1652.0,434.0,39.0,130.0,740.0,680.0,192.0,84.0,71.0,10.0,15570.0,43.0,347.0
Watford,12800,1787,394,35,101,610,808,161,90,50,4,10423,53,317,19879.0,1875.0,469.0,69.0,174.0,801.0,850.0,234.0,115.0,86.0,8.0,17339.0,55.0,332.0
West Ham,16646,1672,309,29,146,802,770,200,135,43,1,14325,59,353,18525.0,1612.0,361.0,50.0,92.0,758.0,651.0,200.0,114.0,65.0,2.0,16242.0,35.0,280.0
Wolves,17380,1662,420,58,151,587,718,168,41,86,6,15253,61,328,,,,,,,,,,,,,,
