Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,15,2,2,58,15,43,47,2.47,49.2,11.3,37.9,1.99
2,Liverpool,19,15,4,0,49,9,40,49,2.58,52.2,15.3,36.8,1.94
3,Chelsea,19,9,7,3,37,22,15,34,1.79,37.1,20.3,16.8,0.88
4,Tottenham,19,13,1,5,38,19,19,40,2.11,34.9,21.7,13.3,0.7
5,Arsenal,19,13,2,4,35,17,18,41,2.16,41.8,21.3,20.5,1.08
6,Manchester Utd,19,10,5,4,32,22,10,35,1.84,34.1,24.1,10.0,0.53
7,West Ham,19,9,5,5,33,26,7,32,1.68,32.2,23.8,8.4,0.44
8,Leicester City,19,10,4,5,34,23,11,34,1.79,28.8,32.8,-4.1,-0.21
9,Brighton,19,5,7,7,19,23,-4,22,1.16,29.3,23.9,5.4,0.28
10,Wolves,19,7,3,9,20,25,-5,24,1.26,21.2,30.8,-9.6,-0.5
11,Newcastle Utd,19,8,6,5,26,27,-1,30,1.58,24.2,29.6,-5.4,-0.28
12,Crystal Palace,19,7,8,4,27,17,10,29,1.53,32.1,19.4,12.8,0.67
13,Brentford,19,7,3,9,22,21,1,24,1.26,28.4,22.5,5.9,0.31
14,Aston Villa,19,6,5,8,29,29,0,23,1.21,26.6,27.3,-0.7,-0.04
15,Southampton,19,6,7,6,23,24,-1,25,1.32,24.5,26.0,-1.6,-0.08
16,Everton,19,9,2,8,27,25,2,29,1.53,26.8,26.1,0.7,0.04
17,Leeds United,19,4,6,9,19,38,-19,18,0.95,28.2,33.7,-5.5,-0.29
18,Burnley,19,5,6,8,18,25,-7,21,1.11,25.1,28.9,-3.8,-0.2
19,Watford,19,2,2,15,17,46,-29,8,0.42,22.2,37.0,-14.7,-0.78
20,Norwich City,19,3,3,13,12,43,-31,12,0.63,19.0,37.1,-18.1,-0.95
