,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,M_G_Indv
0,1,Manchester City,38,29,6,3,99,26,73,93,2.45,96.6,26.0,70.5,1.86,52774, 15
1,2,Liverpool,38,28,8,2,94,26,68,92,2.42,95.1,37.3,57.8,1.52,53352, 23
2,3,Chelsea,38,21,11,6,76,33,43,74,1.95,70.7,38.3,32.5,0.86,36443, 11
3,4,Tottenham,38,22,5,11,69,40,29,71,1.87,66.5,45.3,21.2,0.56,56523, 23
4,5,Arsenal,38,22,3,13,61,48,13,69,1.82,67.3,51.2,16.0,0.42,59665, 11
5,6,Manchester Utd,38,16,10,12,57,57,0,58,1.53,61.7,59.6,2.1,0.05,73150, 18
6,7,West Ham,38,16,8,14,60,51,9,56,1.47,58.0,58.1,0.0,0.0,58370, 12
7,8,Leicester City,38,14,10,14,62,59,3,52,1.37,52.1,68.8,-16.7,-0.44,32493, 15
8,9,Brighton,38,12,15,11,42,44,-2,51,1.34,53.0,49.8,3.2,0.08,30966, 8
9,10,Wolves,38,15,6,17,38,43,-5,51,1.34,41.2,63.7,-22.5,-0.59,30841, 6
10,11,Newcastle Utd,38,13,10,15,44,62,-18,49,1.29,44.4,62.4,-18.0,-0.47,51487, 8
11,12,Crystal Palace,38,11,15,12,50,46,4,48,1.26,53.8,46.0,7.8,0.21,24588, 14
12,13,Brentford,38,13,7,18,48,56,-8,46,1.21,51.1,54.0,-2.8,-0.07,16918, 12
13,14,Aston Villa,38,13,6,19,52,54,-2,45,1.18,47.9,54.4,-6.5,-0.17,41681, 11
14,15,Southampton,38,9,13,16,43,67,-24,40,1.05,49.9,63.3,-13.4,-0.35,30134, 10
15,16,Everton,38,11,6,21,43,66,-23,39,1.03,47.5,60.9,-13.4,-0.35,38446, 10
16,17,Leeds United,38,9,11,18,42,79,-37,38,1.0,50.4,73.2,-22.8,-0.6,36308, 11
17,18,Burnley,38,7,14,17,34,53,-19,35,0.92,43.8,63.8,-20.0,-0.53,19278, 9
18,19,Watford,38,6,5,27,34,77,-43,23,0.61,44.3,72.6,-28.2,-0.74,20614, 10
19,20,Norwich City,38,5,7,26,23,84,-61,22,0.58,35.7,82.3,-46.6,-1.23,26836, 11
