,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks
,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,GA_Opp,GA90_Opp,SoTA_Opp,Saves_Opp,Save%_Opp,CS_Opp,CS%_Opp,PKatt_Opp,PKA_Opp,PKsv_Opp,PKm_Opp,Save%_Opp
Arsenal,48,1.26,147,100,70.7,13,34.2,6,5,0,1,0.0,61.0,1.61,194.0,131.0,71.1,11.0,28.9,8.0,5.0,3.0,0.0,37.5
Aston Villa,54,1.42,149,96,66.4,11,28.9,6,4,1,1,20.0,52.0,1.37,162.0,112.0,69.8,8.0,21.1,3.0,3.0,0.0,0.0,0.0
Brentford,56,1.47,179,125,71.5,9,23.7,5,5,0,0,0.0,48.0,1.26,147.0,101.0,71.4,12.0,31.6,6.0,6.0,0.0,0.0,0.0
Brighton,44,1.16,146,102,71.9,11,28.9,4,3,0,1,0.0,42.0,1.11,146.0,105.0,74.0,13.0,34.2,7.0,4.0,1.0,2.0,20.0
Burnley,53,1.39,178,127,73.0,9,23.7,5,5,0,0,0.0,34.0,0.89,120.0,88.0,72.5,16.0,42.1,2.0,1.0,0.0,1.0,0.0
Chelsea,33,0.87,115,83,76.5,16,42.1,6,6,0,0,0.0,76.0,2.0,209.0,133.0,67.5,4.0,10.5,9.0,8.0,1.0,0.0,11.1
Crystal Palace,46,1.21,144,99,70.1,12,31.6,4,3,1,0,25.0,50.0,1.32,147.0,96.0,70.1,11.0,28.9,8.0,6.0,1.0,1.0,14.3
Everton,66,1.74,188,127,66.0,8,21.1,2,2,0,0,0.0,43.0,1.13,136.0,94.0,72.8,12.0,31.6,7.0,6.0,0.0,1.0,0.0
Leeds United,79,2.08,224,146,67.0,5,13.2,5,5,0,0,0.0,42.0,1.11,147.0,105.0,74.8,13.0,34.2,5.0,5.0,0.0,0.0,0.0
Leicester City,59,1.55,192,132,72.9,7,18.4,9,7,2,0,22.2,62.0,1.63,166.0,104.0,63.9,6.0,15.8,2.0,2.0,0.0,0.0,0.0
Liverpool,26,0.68,107,82,75.7,21,55.3,0,0,0,0,,94.0,2.47,245.0,150.0,64.5,1.0,2.6,8.0,7.0,1.0,0.0,12.5
Manchester City,26,0.68,85,59,70.6,21,55.3,1,1,0,0,0.0,99.0,2.61,246.0,148.0,62.6,4.0,10.5,9.0,7.0,2.0,0.0,22.2
Manchester Utd,57,1.5,180,124,70.0,8,21.1,5,3,2,0,40.0,57.0,1.5,182.0,126.0,70.3,9.0,23.7,5.0,3.0,0.0,2.0,0.0
Newcastle Utd,62,1.63,165,104,65.5,8,21.1,6,5,1,0,16.7,44.0,1.16,145.0,104.0,71.7,9.0,23.7,3.0,3.0,0.0,0.0,0.0
Norwich City,84,2.21,222,139,66.2,6,15.8,12,9,1,2,10.0,23.0,0.61,107.0,86.0,81.3,22.0,57.9,3.0,3.0,0.0,0.0,0.0
Southampton,67,1.76,183,118,64.5,8,21.1,2,2,0,0,0.0,43.0,1.13,165.0,124.0,76.4,9.0,23.7,4.0,4.0,0.0,0.0,0.0
Tottenham,40,1.05,137,98,72.3,16,42.1,2,2,0,0,0.0,69.0,1.82,190.0,127.0,66.3,10.0,26.3,5.0,5.0,0.0,0.0,0.0
Watford,77,2.03,188,113,62.2,4,10.5,7,6,1,0,14.3,34.0,0.89,125.0,91.0,73.6,18.0,47.4,2.0,1.0,1.0,0.0,50.0
West Ham,51,1.34,165,113,70.3,8,21.1,6,2,3,1,60.0,60.0,1.58,148.0,88.0,62.2,8.0,21.1,6.0,4.0,2.0,0.0,33.3
Wolves,43,1.13,167,125,79.6,11,28.9,10,9,0,1,0.0,,,,,,,,,,,,
